learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
57.0,0.030454,8.344246819615365E-10,57.0,56.14035087719298,12.307692307692301,57.0,105912.0,10.0,0.0
114.0,0.073125,2.0035891793668273E-9,114.0,53.50877192982456,6.9602710194025255,114.0,105912.0,10.0,0.0
171.0,0.096199,2.635805476456881E-9,171.0,57.30994152046783,11.637290295179433,171.0,105912.0,10.0,0.0
228.0,0.118816,3.2555001974105837E-9,228.0,52.63157894736842,3.5487661574617935,228.0,105912.0,10.0,0.0
285.0,0.136996,3.7536232918500904E-9,285.0,52.28070175438596,2.4611203382153253,285.0,105912.0,10.0,0.0
342.0,0.149455,4.09499378874898E-9,342.0,51.75438596491229,0.6339144215530844,342.0,105912.0,10.0,0.0
399.0,0.160866,4.407649599015713E-9,399.0,53.383458646616546,2.027722772277232,399.0,105912.0,10.0,0.0
456.0,0.172181,4.717675056308508E-9,456.0,52.63157894736842,0.1702748722938383,456.0,105912.0,10.0,0.0
513.0,0.183408,5.0252893567085265E-9,513.0,50.877192982456144,-1.7504643767906054,513.0,105912.0,10.0,0.0
570.0,0.194779,5.336849186569452E-9,570.0,50.70175438596492,-0.5777080062794339,570.0,105912.0,10.0,0.0
627.0,0.206267,5.6516147591173646E-9,627.0,50.717703349282296,-0.6096516053985996,627.0,105912.0,10.0,0.0
684.0,0.218104,5.975942760705947E-9,684.0,50.14619883040936,-1.6473172262315614,684.0,105912.0,10.0,0.0
741.0,0.229476,6.287529990077018E-9,741.0,48.717948717948715,-4.281936759771564,741.0,105912.0,10.0,0.0
798.0,0.240921,6.601117383688687E-9,798.0,49.373433583959894,-3.6656891495601216,798.0,105912.0,10.0,0.0
855.0,0.251734,6.8973882868885985E-9,855.0,49.005847953216374,-4.026789451653406,855.0,105912.0,10.0,0.0
912.0,0.262658,7.196700535714625E-9,912.0,48.68421052631579,-4.661530237416798,912.0,105912.0,10.0,0.0
969.0,0.273273,7.48754633590579E-9,969.0,48.09081527347781,-5.400110285769895,969.0,105912.0,10.0,0.0
1026.0,0.283903,7.778803128749132E-9,1026.0,48.3,-5.3468090308908724,1026.0,105912.0,10.0,0.0
1083.0,0.299782,8.213879950344563E-9,1083.0,47.9,-5.8246195594770995,1083.0,105912.0,10.0,0.0
1140.0,0.314615,8.620296884328128E-9,1140.0,47.3,-6.43970301909048,1140.0,105912.0,10.0,0.0
1197.0,0.328769,9.00810955092311E-9,1197.0,47.199999999999996,-5.932203389830517,1197.0,105912.0,10.0,0.0
1254.0,0.337603,9.250156823545695E-9,1254.0,47.9,-4.362805977324631,1254.0,105912.0,10.0,0.0
1311.0,0.346188,9.485381618142128E-9,1311.0,47.3,-5.071336858307218,1311.0,105912.0,10.0,0.0
1368.0,0.358271,9.816449899226427E-9,1368.0,47.3,-4.731394775751601,1368.0,105912.0,10.0,0.0
1425.0,0.367342,1.006499085575342E-8,1425.0,46.2,-6.9646300972224875,1425.0,105912.0,10.0,0.0
1482.0,0.375987,1.0301859620958565E-8,1482.0,47.5,-4.165839953651164,1482.0,105912.0,10.0,0.0
1539.0,0.385073,1.0550811570137737E-8,1539.0,47.599999999999994,-4.322619692288103,1539.0,105912.0,10.0,0.0
1596.0,0.395183,1.0827820617705581E-8,1596.0,48.5,-3.1501866717941245,1596.0,105912.0,10.0,0.0
1653.0,0.404002,1.1069456897675988E-8,1653.0,48.3,-3.583134982649326,1653.0,105912.0,10.0,0.0
1710.0,0.412594,1.1304873488843438E-8,1710.0,49.3,-1.918561641632626,1710.0,105912.0,10.0,0.0
1767.0,0.421251,1.1542071048170325E-8,1767.0,49.3,-1.913644769638975,1767.0,105912.0,10.0,0.0
1824.0,0.429601,1.1770856957882639E-8,1824.0,49.8,-0.9865297648743945,1824.0,105912.0,10.0,0.0
1881.0,0.438305,1.200934229418635E-8,1881.0,49.8,-1.3093527502865825,1881.0,105912.0,10.0,0.0
1938.0,0.447085,1.2249909993261095E-8,1938.0,50.6,-0.21788260306821297,1938.0,105912.0,10.0,0.0
1995.0,0.455874,1.2490724287927147E-8,1995.0,50.8,0.33707136838011253,1995.0,105912.0,10.0,0.0
2052.0,0.464575,1.2729127425700422E-8,2052.0,50.3,-0.10796351799928715,2052.0,105912.0,10.0,0.0
2109.0,0.473504,1.29737776517868E-8,2109.0,51.2,0.8903619938909578,2109.0,105912.0,10.0,0.0
