learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
57.0,0.090079765,5.3695452534697125E-9,57.0,52.63157894736842,5.640711220110353,57.0,230416.0,10.0,0.0
114.0,0.143331222,8.543799850766858E-9,114.0,50.0,0.0,114.0,230416.0,10.0,0.0
171.0,0.177465946,1.0578529240133034E-8,171.0,54.97076023391813,6.795497982586525,171.0,230416.0,10.0,0.0
228.0,0.216683391,1.291623344765355E-8,228.0,53.94736842105263,4.833836858006042,228.0,230416.0,10.0,0.0
285.0,0.237099282,1.4133199884171286E-8,285.0,53.68421052631579,2.5792417650714725,285.0,230416.0,10.0,0.0
342.0,0.255441866,1.5226579011587632E-8,342.0,53.50877192982456,1.628134158254625,342.0,230416.0,10.0,0.0
399.0,0.276785699,1.6498858942335677E-8,399.0,54.88721804511278,2.4290837952396425,399.0,230416.0,10.0,0.0
456.0,0.296498123,1.7673892566408545E-8,456.0,54.385964912280706,1.5854569602390782,456.0,230416.0,10.0,0.0
513.0,0.311597857,1.8573969348673186E-8,513.0,53.606237816764136,0.7640164507372064,513.0,230416.0,10.0,0.0
570.0,0.327310378,1.951057361885077E-8,570.0,53.333333333333336,0.4464871963230376,570.0,230416.0,10.0,0.0
627.0,0.343073594,2.0450199756332565E-8,627.0,53.90749601275917,0.6796643335178489,627.0,230416.0,10.0,0.0
684.0,0.35755948,2.131368580576446E-8,684.0,53.65497076023392,0.44993755968562077,684.0,230416.0,10.0,0.0
741.0,0.371253613,2.2129976421648428E-8,741.0,53.71120107962213,0.41064060718384976,741.0,230416.0,10.0,0.0
798.0,0.387447522,2.3095275645131865E-8,798.0,54.13533834586466,0.5475421893515323,798.0,230416.0,10.0,0.0
855.0,0.40145916,2.3930492347975572E-8,855.0,53.68421052631579,0.30035335689045334,855.0,230416.0,10.0,0.0
912.0,0.415654049,2.477663242009365E-8,912.0,53.39912280701754,0.15353069068201844,912.0,230416.0,10.0,0.0
969.0,0.429854936,2.562313002569808E-8,969.0,53.35397316821465,0.11402820601702826,969.0,230416.0,10.0,0.0
1026.0,0.446423363,2.6610753811742696E-8,1026.0,53.7,-0.39202761539663133,1026.0,230416.0,10.0,0.0
1083.0,0.457854831,2.7292169718407095E-8,1083.0,53.2,-0.5379208414250739,1083.0,230416.0,10.0,0.0
1140.0,0.46941701,2.7981377148835195E-8,1140.0,52.900000000000006,-0.5722582849333824,1140.0,230416.0,10.0,0.0
1197.0,0.482501081,2.8761302710742585E-8,1197.0,52.400000000000006,-0.6087250591816017,1197.0,230416.0,10.0,0.0
1254.0,0.495064552,2.9510195939706432E-8,1254.0,52.6,0.0,1254.0,230416.0,10.0,0.0
1311.0,0.506856232,3.02130836456683E-8,1311.0,52.300000000000004,0.0,1311.0,230416.0,10.0,0.0
1368.0,0.518506767,3.090755786981434E-8,1368.0,51.9,0.0,1368.0,230416.0,10.0,0.0
1425.0,0.531668356,3.169210418543882E-8,1425.0,51.5,0.0,1425.0,230416.0,10.0,0.0
1482.0,0.54248739,3.233701364609103E-8,1482.0,52.2,0.0,1482.0,230416.0,10.0,0.0
1539.0,0.552909864,3.295828464736542E-8,1539.0,52.6,0.0,1539.0,230416.0,10.0,0.0
1596.0,0.565622137,3.3716047782604075E-8,1596.0,52.800000000000004,0.0,1596.0,230416.0,10.0,0.0
1653.0,0.576879634,3.43870934895095E-8,1653.0,52.6,0.0,1653.0,230416.0,10.0,0.0
1710.0,0.587200808,3.500232612096602E-8,1710.0,52.400000000000006,0.0,1710.0,230416.0,10.0,0.0
1767.0,0.597955814,3.564341895039712E-8,1767.0,52.0,0.0,1767.0,230416.0,10.0,0.0
1824.0,0.610304302,3.637949730415312E-8,1824.0,52.2,0.0,1824.0,230416.0,10.0,0.0
1881.0,0.6214057,3.704123813948699E-8,1881.0,52.2,0.0,1881.0,230416.0,10.0,0.0
1938.0,0.632099361,3.767867426806441E-8,1938.0,52.7,0.0,1938.0,230416.0,10.0,0.0
1995.0,0.64403522,3.839015630889271E-8,1995.0,52.2,0.0,1995.0,230416.0,10.0,0.0
2052.0,0.655445913,3.907033384306978E-8,2052.0,51.7,0.0,2052.0,230416.0,10.0,0.0
2109.0,0.666416833,3.972429704348661E-8,2109.0,52.800000000000004,0.0,2109.0,230416.0,10.0,0.0
2166.0,0.677953393,4.0411977356477754E-8,2166.0,52.900000000000006,0.0,2166.0,230416.0,10.0,0.0
2223.0,0.690993517,4.1189283291155274E-8,2223.0,52.7,0.0,2223.0,230416.0,10.0,0.0
2280.0,0.702277131,4.186188580067208E-8,2280.0,52.800000000000004,0.0,2280.0,230416.0,10.0,0.0
2337.0,0.714075473,4.256517062035287E-8,2337.0,52.7,0.0,2337.0,230416.0,10.0,0.0
2394.0,0.72598823,4.327527557905351E-8,2394.0,52.5,0.0,2394.0,230416.0,10.0,0.0
2451.0,0.737361833,4.395324222343251E-8,2451.0,52.1,0.0,2451.0,230416.0,10.0,0.0
2508.0,0.749229907,4.4660683682838264E-8,2508.0,52.7,0.0,2508.0,230416.0,10.0,0.0
2565.0,0.761032225,4.536420550704418E-8,2565.0,52.7,0.0,2565.0,230416.0,10.0,0.0
2622.0,0.773472025,4.6105726858083585E-8,2622.0,52.900000000000006,0.0,2622.0,230416.0,10.0,0.0
2679.0,0.78508057,4.679769810939002E-8,2679.0,52.5,0.0,2679.0,230416.0,10.0,0.0
2736.0,0.797064592,4.7512051088081476E-8,2736.0,52.1,0.0,2736.0,230416.0,10.0,0.0
2793.0,0.808880605,4.821638925458409E-8,2793.0,51.9,0.0,2793.0,230416.0,10.0,0.0
2850.0,0.821004453,4.8939077091105296E-8,2850.0,52.0,0.0,2850.0,230416.0,10.0,0.0
2907.0,0.832145806,4.960319959540335E-8,2907.0,52.300000000000004,0.0,2907.0,230416.0,10.0,0.0
2964.0,0.843874449,5.030232974244904E-8,2964.0,52.300000000000004,0.0,2964.0,230416.0,10.0,0.0
3021.0,0.855603508,5.1001484686748866E-8,3021.0,52.2,0.0,3021.0,230416.0,10.0,0.0
3078.0,0.866756565,5.1666304852254705E-8,3078.0,52.6,0.0,3078.0,230416.0,10.0,0.0
3135.0,0.87819378,5.2348063330600675E-8,3135.0,52.800000000000004,0.0,3135.0,230416.0,10.0,0.0
3192.0,0.889002334,5.2992348091196696E-8,3192.0,53.5,0.0,3192.0,230416.0,10.0,0.0
3249.0,0.900300035,5.3665790309653525E-8,3249.0,53.400000000000006,0.0,3249.0,230416.0,10.0,0.0
3306.0,0.911240184,5.43179192881783E-8,3306.0,53.5,0.0,3306.0,230416.0,10.0,0.0
3363.0,0.942128874,5.616350360187393E-8,3363.0,53.1,0.0,3363.0,230960.0,10.0,0.0
3420.0,0.976982976,5.851854256036382E-8,3420.0,52.300000000000004,-0.15958340332607385,3420.0,261184.0,10.0,0.0
3477.0,1.009997082,6.074419963444274E-8,3477.0,52.400000000000006,0.8263085301875371,3477.0,260592.0,10.0,0.0
3534.0,1.028533351,6.200188463285567E-8,3534.0,51.4,-0.5295383087870277,3534.0,262272.0,10.0,0.0
3591.0,1.050837223,6.351672460868957E-8,3591.0,50.8,-0.6019760518222753,3591.0,262536.0,10.0,0.0
3648.0,1.073780045,6.507657535922612E-8,3648.0,50.4,-1.001873421845735,3648.0,262808.0,10.0,0.0
3705.0,1.100032386,6.69687957537195E-8,3705.0,50.5,-0.8820556298301103,3705.0,278616.0,10.0,0.0
3762.0,1.122836816,6.861410174288477E-8,3762.0,50.7,-0.21547343171930516,3762.0,278888.0,10.0,0.0
3819.0,1.150255601,7.060810204802702E-8,3819.0,51.2,-0.49423393739702587,3819.0,281112.0,10.0,0.0
3876.0,1.180314304,7.279408742098138E-8,3876.0,50.7,-0.8303677342823153,3876.0,281112.0,10.0,0.0
3933.0,1.210204342,7.507711449047551E-8,3933.0,51.1,-0.5883078948451009,3933.0,295248.0,10.0,0.0
3990.0,1.234124215,7.709948074060802E-8,3990.0,51.300000000000004,1.4002380971663264,3990.0,326816.0,10.0,0.0
4047.0,1.253087498,7.870277953449843E-8,4047.0,50.8,1.093599228047604,4047.0,326816.0,10.0,0.0
4104.0,1.271276382,8.024060480343591E-8,4104.0,50.1,0.9598361371557316,4104.0,326816.0,10.0,0.0
4161.0,1.295446071,8.247847680977027E-8,4161.0,49.2,-0.9639272582728851,4161.0,357904.0,10.0,0.0
4218.0,1.314975606,8.429277962650896E-8,4218.0,49.3,-0.5218411953177092,4218.0,359104.0,10.0,0.0
4275.0,1.333393089,8.600377229910136E-8,4275.0,49.3,-0.663145772942066,4275.0,359104.0,10.0,0.0
4332.0,1.353189969,8.784291158975205E-8,4332.0,50.1,0.5104075285110469,4332.0,359104.0,10.0,0.0
4389.0,1.371368705,8.953172455583387E-8,4389.0,49.9,-0.07670549882545723,4389.0,359104.0,10.0,0.0
4446.0,1.389538642,9.12197200907539E-8,4446.0,50.3,0.5880705684682268,4446.0,359104.0,10.0,0.0
4503.0,1.407258227,9.28658777169821E-8,4503.0,50.7,1.2578112481973949,4503.0,359104.0,10.0,0.0
4560.0,1.425204088,9.453305648806399E-8,4560.0,50.6,0.7414253852799878,4560.0,359104.0,10.0,0.0
4617.0,1.441263037,9.602494026330815E-8,4617.0,50.9,0.9377622829104497,4617.0,359104.0,10.0,0.0
4674.0,1.457248958,9.751003970364107E-8,4674.0,51.1,1.712493970091649,4674.0,359104.0,10.0,0.0
4731.0,1.476768965,9.940199247290068E-8,4731.0,51.1,1.793030317636294,4731.0,374656.0,10.0,0.0
4788.0,1.495993917,1.0134265561896271E-7,4788.0,50.4,0.42719943468345856,4788.0,390200.0,10.0,0.0
4845.0,1.513842359,1.0314436693683885E-7,4845.0,50.0,-1.2965964343597975,4845.0,390200.0,10.0,0.0
4902.0,1.531716458,1.0494866820106902E-7,4902.0,50.6,-1.1698014286650606,4902.0,390200.0,10.0,0.0
4959.0,1.551348552,1.069317711169852E-7,4959.0,49.8,-2.390470751407372,4959.0,390464.0,10.0,0.0
5016.0,1.569943539,1.0881011241573425E-7,5016.0,49.4,-2.979485509605989,5016.0,390464.0,10.0,0.0
5073.0,1.586484213,1.1048094074615172E-7,5073.0,49.4,-2.0560461148110427,5073.0,390464.0,10.0,0.0
5130.0,1.603710595,1.1222103471549019E-7,5130.0,49.9,-0.8161885443832602,5130.0,390464.0,10.0,0.0
5187.0,1.619766845,1.1384292977129418E-7,5187.0,50.1,0.1448799737454969,5187.0,390464.0,10.0,0.0
5244.0,1.636014997,1.154842094844745E-7,5244.0,50.2,0.22759328118990133,5244.0,390464.0,10.0,0.0
5301.0,1.651512147,1.1704962799527576E-7,5301.0,49.6,-0.826214815852115,5301.0,390464.0,10.0,0.0
5358.0,1.667924233,1.1870746722540918E-7,5358.0,49.1,-1.7837146056631017,5358.0,390464.0,10.0,0.0
5415.0,1.684688791,1.2040091082107685E-7,5415.0,50.0,-0.019203687107921717,5415.0,390464.0,10.0,0.0
5472.0,1.701905157,1.2213999304104177E-7,5472.0,49.6,-1.029134076084554,5472.0,390464.0,10.0,0.0
5529.0,1.719535271,1.2392086931849515E-7,5529.0,49.0,-2.509678119610704,5529.0,390464.0,10.0,0.0
5586.0,1.737178065,1.2570302644479602E-7,5586.0,49.3,-2.4548753970884323,5586.0,390464.0,10.0,0.0
5643.0,1.753295954,1.2733114786038792E-7,5643.0,49.3,-2.7555512318505837,5643.0,390464.0,10.0,0.0
5700.0,1.769240027,1.2894171154543755E-7,5700.0,49.1,-2.333772959758111,5700.0,390464.0,10.0,0.0
5757.0,1.785781953,1.3061266634452672E-7,5757.0,48.8,-3.12268376784505,5757.0,390464.0,10.0,0.0
5758.0,1.796255136,1.3167059728893968E-7,5758.0,48.8,-3.0666349951486147,5758.0,390464.0,10.0,0.0
