learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
57.0,0.097268618,6.001586111953689E-9,57.0,52.63157894736842,5.640711220110353,57.0,238504.0,10.0,0.0,0.0,0.0
114.0,0.150452992,9.306238279235033E-9,114.0,50.0,0.0,114.0,240184.0,10.0,0.0,0.0,0.0
171.0,0.184035551,1.1407512085477098E-8,171.0,54.97076023391813,6.795497982586525,171.0,241864.0,10.0,0.0,0.0,0.0
228.0,0.225162311,1.3980829488823398E-8,228.0,53.94736842105263,4.833836858006042,228.0,241864.0,10.0,0.0,0.0,0.0
285.0,0.247004576,1.5347508523422814E-8,285.0,53.68421052631579,2.5792417650714725,285.0,241864.0,10.0,0.0,0.0,0.0
342.0,0.266977533,1.6605904818531128E-8,342.0,53.50877192982456,1.628134158254625,342.0,243544.0,10.0,0.0,0.0,0.0
399.0,0.288756124,1.7978065096404818E-8,399.0,54.88721804511278,2.4290837952396425,399.0,243544.0,10.0,0.0,0.0,0.0
456.0,0.308381549,1.921456513542889E-8,456.0,54.385964912280706,1.5854569602390782,456.0,243544.0,10.0,0.0,0.0,0.0
513.0,0.323949552,2.0195427273040015E-8,513.0,53.606237816764136,0.7640164507372064,513.0,243544.0,10.0,0.0,0.0,0.0
570.0,0.340100404,2.1213011815961863E-8,570.0,53.333333333333336,0.4464871963230376,570.0,243544.0,10.0,0.0,0.0,0.0
627.0,0.356071614,2.22192780134206E-8,627.0,53.90749601275917,0.6796643335178489,627.0,243544.0,10.0,0.0,0.0,0.0
684.0,0.370211735,2.3116321975479108E-8,684.0,53.65497076023392,0.44993755968562077,684.0,245224.0,10.0,0.0,0.0,0.0
741.0,0.384158365,2.4001090941215967E-8,741.0,53.71120107962213,0.41064060718384976,741.0,245224.0,10.0,0.0,0.0,0.0
798.0,0.39925755,2.4958977562996246E-8,798.0,54.13533834586466,0.5475421893515323,798.0,245224.0,10.0,0.0,0.0,0.0
855.0,0.413923764,2.588939666725695E-8,855.0,53.68421052631579,0.30035335689045334,855.0,245224.0,10.0,0.0,0.0,0.0
912.0,0.428035953,2.6784668633732943E-8,912.0,53.39912280701754,0.15353069068201844,912.0,245224.0,10.0,0.0,0.0,0.0
969.0,0.441996874,2.7670344215138917E-8,969.0,53.35397316821465,0.11402820601702826,969.0,245224.0,10.0,0.0,0.0,0.0
1026.0,0.457233196,2.863693075665997E-8,1026.0,53.7,-0.39202761539663133,1026.0,245224.0,10.0,0.0,0.0,0.0
1083.0,0.4698993,2.9440463634207842E-8,1083.0,53.2,-0.5379208414250739,1083.0,245224.0,10.0,0.0,0.0,0.0
1140.0,0.482061167,3.021200790597954E-8,1140.0,52.900000000000006,-0.5722582849333824,1140.0,245224.0,10.0,0.0,0.0,0.0
1197.0,0.496825935,3.1148679238961385E-8,1197.0,52.400000000000006,-0.6087250591816017,1197.0,245224.0,10.0,0.0,0.0,0.0
1254.0,0.509690786,3.196482055149558E-8,1254.0,52.6,0.0,1254.0,245224.0,10.0,0.0,0.0,0.0
1311.0,0.521895067,3.27443597419415E-8,1311.0,52.300000000000004,0.0,1311.0,246904.0,10.0,0.0,0.0,0.0
1368.0,0.534497029,3.3549300504573094E-8,1368.0,51.9,0.0,1368.0,246904.0,10.0,0.0,0.0,0.0
1425.0,0.549125503,3.4483683183849263E-8,1425.0,51.5,0.0,1425.0,246904.0,10.0,0.0,0.0,0.0
1482.0,0.560188908,3.5190349785288164E-8,1482.0,52.2,0.0,1482.0,246904.0,10.0,0.0,0.0,0.0
1539.0,0.571747145,3.592862340533691E-8,1539.0,52.6,0.0,1539.0,246904.0,10.0,0.0,0.0,0.0
1596.0,0.585177107,3.6786452039829965E-8,1596.0,52.800000000000004,0.0,1596.0,246904.0,10.0,0.0,0.0,0.0
1653.0,0.597276244,3.755927523704038E-8,1653.0,52.6,0.0,1653.0,246904.0,10.0,0.0,0.0,0.0
1710.0,0.608379504,3.8268487546369426E-8,1710.0,52.400000000000006,0.0,1710.0,246904.0,10.0,0.0,0.0,0.0
1767.0,0.61995728,3.9008009205220466E-8,1767.0,52.0,0.0,1767.0,246904.0,10.0,0.0,0.0,0.0
1824.0,0.6336584,3.988315785125725E-8,1824.0,52.2,0.0,1824.0,246904.0,10.0,0.0,0.0,0.0
1881.0,0.644794676,4.059447903253965E-8,1881.0,52.2,0.0,1881.0,246904.0,10.0,0.0,0.0,0.0
1938.0,0.656249923,4.1326174244468814E-8,1938.0,52.7,0.0,1938.0,246904.0,10.0,0.0,0.0,0.0
1995.0,0.669015115,4.214154119952063E-8,1995.0,52.2,0.0,1995.0,246904.0,10.0,0.0,0.0,0.0
2052.0,0.682113503,4.2978190796302824E-8,2052.0,51.7,0.0,2052.0,246904.0,10.0,0.0,0.0,0.0
2109.0,0.693265859,4.369053907538659E-8,2109.0,52.800000000000004,0.0,2109.0,246904.0,10.0,0.0,0.0,0.0
2166.0,0.705816302,4.449218910097661E-8,2166.0,52.900000000000006,0.0,2166.0,246904.0,10.0,0.0,0.0,0.0
2223.0,0.720575591,4.543492748913871E-8,2223.0,52.7,0.0,2223.0,246904.0,10.0,0.0,0.0,0.0
2280.0,0.732440356,4.6192780352648746E-8,2280.0,52.800000000000004,0.0,2280.0,246904.0,10.0,0.0,0.0,0.0
2337.0,0.74536095,4.701807349255928E-8,2337.0,52.7,0.0,2337.0,246904.0,10.0,0.0,0.0,0.0
2394.0,0.758208524,4.783870253536435E-8,2394.0,52.5,0.0,2394.0,246904.0,10.0,0.0,0.0,0.0
2451.0,0.771303335,4.867512365398513E-8,2451.0,52.1,0.0,2451.0,246904.0,10.0,0.0,0.0,0.0
2508.0,0.784516354,4.9519095218930795E-8,2508.0,52.7,0.0,2508.0,246904.0,10.0,0.0,0.0,0.0
2565.0,0.797349289,5.034436662101289E-8,2565.0,52.7,0.0,2565.0,248584.0,10.0,0.0,0.0,0.0
2622.0,0.81090547,5.1216149147827576E-8,2622.0,52.900000000000006,0.0,2622.0,248584.0,10.0,0.0,0.0,0.0
2679.0,0.823666888,5.20368213732706E-8,2679.0,52.5,0.0,2679.0,248584.0,10.0,0.0,0.0,0.0
2736.0,0.836819325,5.288263958428675E-8,2736.0,52.1,0.0,2736.0,248584.0,10.0,0.0,0.0,0.0
2793.0,0.849701936,5.3711105593227665E-8,2793.0,51.9,0.0,2793.0,248584.0,10.0,0.0,0.0,0.0
2850.0,0.863541607,5.460111903836122E-8,2850.0,52.0,0.0,2850.0,248584.0,10.0,0.0,0.0,0.0
2907.0,0.87514735,5.534747112366473E-8,2907.0,52.300000000000004,0.0,2907.0,248584.0,10.0,0.0,0.0,0.0
2964.0,0.888053722,5.617746517539437E-8,2964.0,52.300000000000004,0.0,2964.0,248584.0,10.0,0.0,0.0,0.0
3021.0,0.90094196,5.700629305028252E-8,3021.0,52.2,0.0,3021.0,248584.0,10.0,0.0,0.0,0.0
3078.0,0.913898154,5.783949109796434E-8,3078.0,52.6,0.0,3078.0,248584.0,10.0,0.0,0.0,0.0
3135.0,0.927721182,5.872843425076454E-8,3135.0,52.800000000000004,0.0,3135.0,248584.0,10.0,0.0,0.0,0.0
3192.0,0.939672633,5.949701842295005E-8,3192.0,53.5,0.0,3192.0,248584.0,10.0,0.0,0.0,0.0
3249.0,0.951874736,6.028172173915637E-8,3249.0,53.400000000000006,0.0,3249.0,248584.0,10.0,0.0,0.0,0.0
3306.0,0.963630937,6.103774960670413E-8,3306.0,53.5,0.0,3306.0,248584.0,10.0,0.0,0.0,0.0
3363.0,0.993182705,6.294234899035964E-8,3363.0,53.1,0.0,3363.0,249128.0,10.0,0.0,0.0,0.0
3420.0,1.026225604,6.53303117914953E-8,3420.0,52.300000000000004,-0.15958340332607385,3420.0,279352.0,10.0,0.0,0.0,0.0
3477.0,1.057353083,6.757508274421302E-8,3477.0,52.400000000000006,0.8263085301875371,3477.0,278760.0,10.0,0.0,0.0,0.0
3534.0,1.076881888,6.899189810475541E-8,3534.0,51.4,-0.5295383087870277,3534.0,280440.0,10.0,0.0,0.0,0.0
3591.0,1.09977361,7.065425662538243E-8,3591.0,50.8,-0.6019760518222753,3591.0,280704.0,10.0,0.0,0.0,0.0
3648.0,1.123595161,7.238581401245875E-8,3648.0,50.4,-1.001873421845735,3648.0,280976.0,10.0,0.0,0.0,0.0
3705.0,1.151080954,7.449612463301254E-8,3705.0,50.5,-0.8820556298301103,3705.0,296784.0,10.0,0.0,0.0,0.0
3762.0,1.180149124,7.672997279177936E-8,3762.0,50.7,-0.21547343171930516,3762.0,297056.0,10.0,0.0,0.0,0.0
3819.0,1.217927722,7.965494107577535E-8,3819.0,51.2,-0.49423393739702587,3819.0,299280.0,10.0,0.0,0.0,0.0
3876.0,1.235492791,8.101489810041668E-8,3876.0,50.7,-0.8303677342823153,3876.0,299280.0,10.0,0.0,0.0,0.0
3933.0,1.259069042,8.292648277205932E-8,3933.0,51.1,-0.5883078948451009,3933.0,313416.0,10.0,0.0,0.0,0.0
3990.0,1.281141517,8.48963983579104E-8,3990.0,51.300000000000004,1.4002380971663264,3990.0,344984.0,10.0,0.0,0.0,0.0
4047.0,1.29980067,8.656168312155744E-8,4047.0,50.8,1.093599228047604,4047.0,344984.0,10.0,0.0,0.0,0.0
4104.0,1.319160188,8.8289473785847E-8,4104.0,50.1,0.9598361371557316,4104.0,344984.0,10.0,0.0,0.0,0.0
4161.0,1.344407483,9.07457855238724E-8,4161.0,49.2,-0.9639272582728851,4161.0,376072.0,10.0,0.0,0.0,0.0
4218.0,1.364722714,9.272856296278329E-8,4218.0,49.3,-0.5218411953177092,4218.0,377272.0,10.0,0.0,0.0,0.0
4275.0,1.383310468,9.454273772019686E-8,4275.0,49.3,-0.663145772942066,4275.0,377272.0,10.0,0.0,0.0,0.0
