learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
453.0,0.15264268,6.568720036993424E-9,453.0,87.85871964679912,75.87789363617881,453.0,166344.0,10.0,2.0,0.0,0.0
906.0,0.222194731,1.0122730054023365E-8,906.0,89.62472406181016,79.26127231816722,906.0,197520.0,10.0,2.0,0.0,0.0
1359.0,0.288602133,1.4164344004135993E-8,1359.0,91.10000000000001,81.65175442213335,1359.0,235256.0,10.0,0.0,0.0,0.0
1812.0,0.325407588,1.6338162806783287E-8,1812.0,91.3,81.0531817587874,1812.0,228304.0,10.0,1.0,0.0,0.0
2265.0,0.370539372,1.871345191563583E-8,2265.0,90.4,79.09289289027689,2265.0,203440.0,10.0,3.0,0.0,0.0
2718.0,0.422583047,2.1377763693850075E-8,2718.0,87.1,73.42310418143161,2718.0,197888.0,10.0,0.0,0.0,0.0
3171.0,0.46542059,2.3892780479412112E-8,3171.0,89.60000000000001,78.83253276886755,3171.0,226944.0,10.0,2.0,0.0,0.0
3624.0,0.499884657,2.5974531184136868E-8,3624.0,91.5,82.39772040124916,3624.0,233488.0,10.0,3.0,0.0,0.0
4077.0,0.542284463,2.888592991669145E-8,4077.0,92.30000000000001,83.34659838051077,4077.0,265424.0,10.0,2.0,0.0,0.0
4530.0,0.577881718,3.0975054834747894E-8,4530.0,92.30000000000001,81.94319375656612,4530.0,226856.0,10.0,3.0,0.0,0.0
4983.0,0.61229878,3.3090150984565E-8,4983.0,89.7,76.98879376597381,4983.0,237552.0,10.0,2.0,0.0,0.0
5436.0,0.648625099,3.486307304399916E-8,5436.0,86.4,71.74730456821156,5436.0,188656.0,10.0,1.0,0.0,0.0
5889.0,0.687659261,3.698562667315412E-8,5889.0,85.2,69.23844363152644,5889.0,210192.0,10.0,2.0,0.0,0.0
6342.0,0.728816826,3.915950371776604E-8,6342.0,87.6,74.73872919510256,6342.0,204168.0,10.0,2.0,0.0,0.0
6795.0,0.762387954,4.112937228555067E-8,6795.0,88.5,75.78090777369681,6795.0,226816.0,10.0,1.0,0.0,0.0
7248.0,0.795664428,4.303918354323341E-8,7248.0,87.6,73.08618930827166,7248.0,221848.0,10.0,2.0,0.0,0.0
7701.0,0.827736103,4.505766925149908E-8,7701.0,89.5,78.93410588320266,7701.0,243280.0,10.0,4.0,0.0,0.0
8154.0,0.860687594,4.717728759897459E-8,8154.0,89.7,79.07779809059517,8154.0,248648.0,10.0,4.0,0.0,0.0
8607.0,0.893137167,4.920296898205248E-8,8607.0,90.0,79.89036225501435,8607.0,241304.0,10.0,2.0,0.0,0.0
9060.0,0.922511253,5.101891000725744E-8,9060.0,91.2,82.4,9060.0,238968.0,10.0,4.0,0.0,0.0
9513.0,0.95564137,5.2607110743781356E-8,9513.0,89.0,78.00184784478104,9513.0,185304.0,10.0,3.0,0.0,0.0
9966.0,0.984261836,5.411263794276244E-8,9966.0,87.9,75.71841387060523,9966.0,203336.0,10.0,2.0,0.0,0.0
10419.0,1.017287778,5.581333952561643E-8,10419.0,90.10000000000001,80.20854990644042,10419.0,199056.0,10.0,3.0,0.0,0.0
10872.0,1.045065905,5.74044264158586E-8,10872.0,90.9,81.80145588352933,10872.0,221408.0,10.0,1.0,0.0,0.0
11325.0,1.069579147,5.8848229631212455E-8,11325.0,88.2,75.67321290886527,11325.0,227672.0,10.0,1.0,0.0,0.0
11778.0,1.101237306,6.058064149205057E-8,11778.0,88.4,76.30254298228411,11778.0,211528.0,10.0,1.0,0.0,0.0
12231.0,1.135008391,6.216385389380986E-8,12231.0,86.1,72.02656470114711,12231.0,181216.0,10.0,1.0,0.0,0.0
12684.0,1.165696556,6.346992292570572E-8,12684.0,86.6,73.2628856928504,12684.0,164512.0,10.0,4.0,0.0,0.0
13137.0,1.19771878,6.501965959688856E-8,13137.0,87.9,75.82089075039165,13137.0,187072.0,10.0,3.0,0.0,0.0
13590.0,1.226492905,6.657817127082705E-8,13590.0,89.2,78.39870392223534,13590.0,209368.0,10.0,2.0,0.0,0.0
14043.0,1.252012128,6.797057881058712E-8,14043.0,90.7,81.3879393847213,14043.0,210912.0,10.0,3.0,0.0,0.0
14496.0,1.286363232,6.975331293127397E-8,14496.0,88.7,77.3597909887961,14496.0,200608.0,10.0,3.0,0.0,0.0
14949.0,1.314920142,7.13079199530826E-8,14949.0,88.6,76.47544366487826,14949.0,210432.0,10.0,2.0,0.0,0.0
15402.0,1.347968093,7.291338462393732E-8,15402.0,88.6,76.78548155871236,15402.0,187784.0,10.0,3.0,0.0,0.0
15855.0,1.387278166,7.518103022290395E-8,15855.0,86.5,71.71637600878259,15855.0,222984.0,10.0,2.0,0.0,0.0
16308.0,1.421767651,7.714182880962269E-8,16308.0,86.6,72.08333333333333,16308.0,219760.0,10.0,1.0,0.0,0.0
16761.0,1.459929326,7.94894980413798E-8,16761.0,84.8,67.53468662429088,16761.0,237800.0,10.0,3.0,0.0,0.0
17214.0,1.490401967,8.144379816207621E-8,17214.0,87.2,70.60404102573524,17214.0,247904.0,10.0,3.0,0.0,0.0
17667.0,1.524277966,8.351400510074364E-8,17667.0,87.8,73.83097383097383,17667.0,236224.0,10.0,1.0,0.0,0.0
18120.0,1.562924879,8.589200560684626E-8,18120.0,86.5,72.15346534653465,18120.0,237848.0,10.0,1.0,0.0,0.0
18573.0,1.597953965,8.803137427641079E-8,18573.0,86.2,69.90211644827527,18573.0,236080.0,10.0,1.0,0.0,0.0
19026.0,1.625218086,8.970316323583945E-8,19026.0,89.0,74.27598593130286,19026.0,237024.0,10.0,2.0,0.0,0.0
19479.0,1.665385182,9.191882850359504E-8,19479.0,90.60000000000001,80.7837766011816,19479.0,213224.0,10.0,3.0,0.0,0.0
19932.0,1.703952409,9.394431427158208E-8,19932.0,88.7,77.37339110794295,19932.0,203008.0,10.0,3.0,0.0,0.0
20385.0,1.742139833,9.581937008967622E-8,20385.0,87.6,75.17139744986224,20385.0,189800.0,10.0,0.0,0.0,0.0
20838.0,1.77811598,9.748309923396755E-8,20838.0,83.5,66.29819358317606,20838.0,178760.0,10.0,2.0,0.0,0.0
21291.0,1.811862816,9.912642682496457E-8,21291.0,84.3,63.83854948821182,21291.0,188232.0,10.0,1.0,0.0,0.0
21744.0,1.845362455,1.006759756703923E-7,21744.0,87.0,68.54478496731078,21744.0,178800.0,10.0,2.0,0.0,0.0
22197.0,1.875071868,1.0210388295618816E-7,22197.0,85.1,62.99387039410287,22197.0,185784.0,10.0,3.0,0.0,0.0
22650.0,1.907456508,1.0348496788311127E-7,22650.0,84.8,66.39368908856147,22650.0,164848.0,10.0,3.0,0.0,0.0
