learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
453.0,0.045592337,4.023432006604141E-10,453.0,82.560706401766,65.5081682810467,453.0,34112.0,10.0,0.0
906.0,0.07086262,6.253483636511696E-10,906.0,81.78807947019867,63.67175539127772,906.0,34112.0,10.0,0.0
1359.0,0.088756433,7.832576630678441E-10,1359.0,80.4,59.57879454066251,1359.0,34112.0,10.0,0.0
1812.0,0.106079696,9.36131973531511E-10,1812.0,80.30000000000001,52.62692137511784,1812.0,34112.0,10.0,0.0
2265.0,0.121614869,1.0732267495161955E-9,2265.0,77.60000000000001,45.087002779970476,2265.0,34112.0,10.0,0.0
2718.0,0.136247613,1.202357771148284E-9,2718.0,77.8,51.49852092336331,2718.0,34112.0,10.0,0.0
3171.0,0.149301528,1.3175559445222217E-9,3171.0,78.9,55.04325222653088,3171.0,34112.0,10.0,0.0
3624.0,0.162578594,1.4347233805722658E-9,3624.0,86.6,71.70667849074133,3624.0,34112.0,10.0,0.0
4077.0,0.175500388,1.5487556127044887E-9,4077.0,83.0,61.32707286889422,4077.0,34112.0,10.0,0.0
4530.0,0.188348893,1.662141084157758E-9,4530.0,78.2,39.664334425648725,4530.0,34112.0,10.0,0.0
4983.0,0.201325148,1.7766539236572051E-9,4983.0,78.7,46.46627123755907,4983.0,34112.0,10.0,0.0
5436.0,0.214297348,1.891130978597535E-9,5436.0,78.4,53.23966834801811,5436.0,34112.0,10.0,0.0
5889.0,0.226565654,1.999396310614215E-9,5889.0,77.7,52.17055593685656,5889.0,34112.0,10.0,0.0
6342.0,0.238953379,2.108715491278304E-9,6342.0,78.7,55.398274562358665,6342.0,34112.0,10.0,0.0
6795.0,0.251254697,2.2172721475528345E-9,6795.0,79.2,54.173716864072205,6795.0,34112.0,10.0,0.0
7248.0,0.263771027,2.3277262414660717E-9,7248.0,73.8,38.599985938928064,7248.0,34112.0,10.0,0.0
7701.0,0.27568271,2.4328444472617574E-9,7701.0,68.5,35.162772316356275,7701.0,34112.0,10.0,0.0
8154.0,0.287557134,2.537633849879106E-9,8154.0,75.0,51.34293499416115,8154.0,34112.0,10.0,0.0
8607.0,0.299341755,2.641630759090185E-9,8607.0,85.6,71.21669431729597,8607.0,34112.0,10.0,0.0
9060.0,0.311639023,2.7501516749295922E-9,9060.0,85.9,71.78781233492869,9060.0,34112.0,10.0,0.0
9513.0,0.323612714,2.8558170888490144E-9,9513.0,83.6,67.20196788192708,9513.0,34112.0,10.0,0.0
