learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
453.0,0.119864195,4.89122820565891E-9,453.0,89.1832229580574,78.41157762670325,453.0,157736.0,10.0,0.0
906.0,0.177186377,7.665254412676312E-9,906.0,92.27373068432672,84.55491261908938,906.0,187064.0,10.0,0.0
1359.0,0.233877732,1.0966064211262598E-8,1359.0,94.3,88.3049094758958,1359.0,225064.0,10.0,0.0
1812.0,0.26245475,1.2711201431978909E-8,1812.0,95.0,89.07366534822228,1812.0,236056.0,10.0,0.0
2265.0,0.292247183,1.4577853579289384E-8,2265.0,92.10000000000001,82.82862533364634,2265.0,242192.0,10.0,0.0
2718.0,0.321626118,1.644717523030109E-8,2718.0,89.5,78.46030130961368,2718.0,245952.0,10.0,0.0
3171.0,0.35315651,1.852334357180529E-8,3171.0,92.4,84.48726322664926,3171.0,254528.0,10.0,0.0
3624.0,0.3796635,2.0296112743653355E-8,3624.0,93.2,85.93408048188186,3624.0,258520.0,10.0,0.0
4077.0,0.407731587,2.223097024829437E-8,4077.0,93.2,85.2849525656118,4077.0,266464.0,10.0,0.0
4530.0,0.435531563,2.4237733143000965E-8,4530.0,93.30000000000001,84.10453993319163,4530.0,279032.0,10.0,0.0
4983.0,0.457457227,2.5825763421153854E-8,4983.0,91.3,80.6401652039236,4983.0,279968.0,10.0,0.0
5436.0,0.48314564,2.770934218558793E-8,5436.0,89.1,77.723642368406,5436.0,283432.0,10.0,0.0
5889.0,0.512839274,2.998498805717254E-8,5889.0,90.2,79.89826058418117,5889.0,296240.0,10.0,0.0
6342.0,0.539589522,3.2093965848740183E-8,6342.0,93.2,86.19036981377309,6342.0,304752.0,10.0,0.0
6795.0,0.56646136,3.426975666129961E-8,6795.0,91.0,81.12289415397007,6795.0,312984.0,10.0,0.0
