learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
10.0,0.307552475,1.3931982576847077E-8,10.0,30.0,5.405405405405403,10.0,175104.0,10.0,9.9,0.9826268648655783,10760.0,85.33333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,0.45751177,2.0725068163871766E-8,20.0,60.0,13.978494623655905,20.0,175104.0,10.0,18.0,1.4452988925785868,10760.0,85.33333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,0.489441372,2.2171464128494262E-8,30.0,66.66666666666666,9.090909090909062,30.0,175104.0,10.0,26.9,1.9174636024359544,10760.0,85.33333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,0.523959946,2.3735139307975768E-8,40.0,60.0,-6.666666666666672,40.0,175104.0,10.0,44.1,2.8419476889391646,10760.0,85.33333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,0.553209679,2.5060138466358184E-8,50.0,62.0,-1.2793176972281521,50.0,175104.0,10.0,53.70000000000001,3.0769754269050913,10760.0,85.33333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,0.581683581,2.634999284505844E-8,60.0,66.66666666666666,11.242603550295868,60.0,175104.0,10.0,60.8,2.9657301892713632,10760.0,85.33333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.609452875,2.7607928812503813E-8,70.0,64.28571428571429,8.75912408759126,70.0,175104.0,10.0,74.10000000000001,3.156826817479154,10760.0,85.33333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80.0,0.637238545,2.8866606605052945E-8,80.0,62.5,8.745247148288964,80.0,175104.0,10.0,85.4,3.3373309362090198,10760.0,85.33333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,0.663414595,3.005236936807632E-8,90.0,58.88888888888889,1.069518716577547,90.0,175104.0,10.0,98.1,3.6740834079929217,10760.0,85.33333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100.0,0.689435579,3.1231107714176175E-8,100.0,59.0,1.5369836695485017,100.0,175104.0,10.0,104.7,3.4642619865003152,10760.0,85.33333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
