learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10.0,0.056672284,2.583413751969735E-9,10.0,50.0,-31.578947368421012,10.0,176208.0,10.0,4.0
20.0,0.085864439,3.920183721751802E-9,20.0,65.0,2.7777777777777803,20.0,177008.0,10.0,3.0
30.0,0.104768331,4.785832562599745E-9,30.0,63.33333333333333,-6.451612903225781,30.0,177008.0,10.0,3.0
40.0,0.119211582,5.447219301702248E-9,40.0,57.49999999999999,-9.677419354838703,40.0,177008.0,10.0,8.0
50.0,0.135675084,6.201117568926679E-9,50.0,56.00000000000001,-14.345114345114322,50.0,177008.0,10.0,7.0
60.0,0.151419944,6.92210771256023E-9,60.0,56.666666666666664,-10.795454545454527,60.0,177008.0,10.0,6.0
70.0,0.160553092,7.3403337043027085E-9,70.0,52.85714285714286,-13.793103448275868,70.0,177008.0,10.0,7.0
80.0,0.168831074,7.719399852313929E-9,80.0,51.24999999999999,-12.230215827338151,80.0,177008.0,10.0,8.0
90.0,0.176277474,8.06038611739046E-9,90.0,53.333333333333336,-11.045828437132789,90.0,177008.0,10.0,9.0
100.0,0.184343328,8.42973847962088E-9,100.0,54.0,-11.650485436893186,100.0,177008.0,10.0,8.0
110.0,0.191735084,8.76822248139315E-9,110.0,54.54545454545454,-12.244897959183689,110.0,177008.0,10.0,7.0
120.0,0.198219146,9.065141272205443E-9,120.0,55.833333333333336,-11.814345991561174,120.0,177008.0,10.0,8.0
130.0,0.204906731,9.371379807810814E-9,130.0,55.38461538461539,-13.349368610944069,130.0,177008.0,10.0,8.0
140.0,0.211440547,9.670576938576994E-9,140.0,56.42857142857143,-11.082206035379834,140.0,177008.0,10.0,6.0
150.0,0.217930629,9.967771397808357E-9,150.0,57.99999999999999,-4.930046635576294,150.0,177008.0,10.0,6.0
160.0,0.224588415,1.0272645374739333E-8,160.0,58.75,-4.949314251639823,160.0,177008.0,10.0,7.0
170.0,0.23118397,1.0574669663732249E-8,170.0,58.235294117647065,-5.0844506355563,170.0,177008.0,10.0,6.0
180.0,0.253159557,1.1582524204709463E-8,180.0,57.22222222222222,-5.963302752293593,180.0,177280.0,10.0,6.0
190.0,0.264023303,1.2080762351345684E-8,190.0,57.36842105263158,-5.367657127207982,190.0,177280.0,10.0,6.0
200.0,0.275959171,1.2629010539692308E-8,200.0,57.99999999999999,0.0,200.0,177552.0,10.0,5.0
210.0,0.283704045,1.298475451570418E-8,210.0,58.57142857142858,-0.02189860943831285,210.0,177552.0,10.0,6.0
220.0,0.294694479,1.3516780300082431E-8,220.0,59.54545454545455,0.5485574969524581,220.0,187120.0,10.0,5.0
230.0,0.30304946,1.3921228870538372E-8,230.0,60.43478260869565,1.9672131147541059,230.0,187120.0,10.0,4.0
240.0,0.310663622,1.4289815817189712E-8,240.0,61.66666666666667,2.945054945054983,240.0,187120.0,10.0,4.0
250.0,0.320449673,1.4787762643073995E-8,250.0,62.0,3.604188651676299,250.0,196688.0,10.0,5.0
260.0,0.328421891,1.5193415612628063E-8,260.0,62.30769230769231,5.880614657210431,260.0,196688.0,10.0,5.0
270.0,0.336749748,1.5617164677451882E-8,270.0,62.22222222222222,5.84615384615385,270.0,196688.0,10.0,4.0
280.0,0.344394927,1.600617681486739E-8,280.0,61.78571428571429,6.022584692597257,280.0,196688.0,10.0,6.0
290.0,0.352282915,1.640754388185011E-8,290.0,61.724137931034484,5.981657807114915,290.0,196688.0,10.0,4.0
300.0,0.359987687,1.6799588309327763E-8,300.0,62.66666666666667,7.412510333425204,300.0,196688.0,10.0,4.0
310.0,0.367522421,1.7182980637773874E-8,310.0,63.2258064516129,8.9269147510566,310.0,196688.0,10.0,5.0
320.0,0.375113549,1.75692424805214E-8,320.0,63.74999999999999,9.727626459143943,320.0,196688.0,10.0,4.0
330.0,0.382768013,1.7958727069621285E-8,330.0,63.63636363636363,8.978071990070347,330.0,196688.0,10.0,6.0
340.0,0.390490094,1.8351652236593265E-8,340.0,63.8235294117647,8.674004192872133,340.0,196688.0,10.0,7.0
350.0,0.398935161,1.878136533608867E-8,350.0,64.0,10.154021677124938,350.0,196688.0,10.0,4.0
360.0,0.406448247,1.9163656142287782E-8,360.0,63.888888888888886,10.003461405330576,360.0,196688.0,10.0,5.0
370.0,0.414784981,1.9587856898398862E-8,370.0,64.32432432432432,10.680321872713968,370.0,196688.0,10.0,6.0
380.0,0.422658702,1.9988498012965752E-8,380.0,63.94736842105263,10.117403314917118,380.0,196688.0,10.0,5.0
390.0,0.43076529,2.040098817507012E-8,390.0,63.589743589743584,9.598432908912814,390.0,196688.0,10.0,5.0
400.0,0.439847092,2.0864980044253172E-8,400.0,63.0,9.224730127576047,400.0,197488.0,10.0,7.0
410.0,0.447629603,2.12625907635606E-8,410.0,62.19512195121951,8.018526559559994,410.0,197488.0,10.0,5.0
420.0,0.455382285,2.165867751070195E-8,420.0,61.66666666666667,6.782464846980968,420.0,197488.0,10.0,5.0
430.0,0.462989331,2.2047323672829404E-8,430.0,61.395348837209305,5.94281196468573,430.0,197488.0,10.0,5.0
440.0,0.470452188,2.2428603177588022E-8,440.0,61.36363636363637,6.352505195683215,440.0,197488.0,10.0,6.0
450.0,0.478492177,2.2839368521769845E-8,450.0,62.0,7.722748530998935,450.0,197488.0,10.0,4.0
460.0,0.485946426,2.3220208241339363E-8,460.0,62.39130434782608,7.889254132135733,460.0,197488.0,10.0,6.0
470.0,0.4934196,2.3602014844587285E-8,470.0,62.34042553191489,8.229453943739665,470.0,197488.0,10.0,5.0
480.0,0.501065828,2.3992662826333613E-8,480.0,62.083333333333336,7.846157091921775,480.0,197488.0,10.0,5.0
490.0,0.508508048,2.437288798084276E-8,490.0,62.244897959183675,8.087116987406976,490.0,197488.0,10.0,4.0
500.0,0.515928302,2.4751990886111228E-8,500.0,62.4,7.937005406252473,500.0,197488.0,10.0,5.0
510.0,0.523413249,2.5134398975306088E-8,510.0,62.35294117647059,7.874682472480934,510.0,197488.0,10.0,4.0
520.0,0.531520243,2.554858762415747E-8,520.0,62.30769230769231,7.81476121562954,520.0,197488.0,10.0,4.0
530.0,0.539129806,2.5937362380536896E-8,530.0,61.886792452830186,7.56026801132831,530.0,197488.0,10.0,4.0
540.0,0.546944973,2.6336641504251297E-8,540.0,61.85185185185185,7.157641717299853,540.0,197488.0,10.0,4.0
550.0,0.554460141,2.672059359300468E-8,550.0,62.0,7.386519280039982,550.0,197488.0,10.0,3.0
560.0,0.562259409,2.7119060432248648E-8,560.0,61.42857142857143,6.203473945409424,560.0,197488.0,10.0,4.0
570.0,0.571006256,2.7565939354403982E-8,570.0,61.05263157894737,5.662909286097711,570.0,197488.0,10.0,4.0
580.0,0.582110203,2.8134001557808372E-8,580.0,61.03448275862069,5.64761095835192,580.0,197752.0,10.0,5.0
590.0,0.589588036,2.8516556904179356E-8,590.0,61.186440677966104,6.2009691617722735,590.0,197752.0,10.0,4.0
600.0,0.597564584,2.8924625803683368E-8,600.0,61.5,6.6691806281312385,600.0,197752.0,10.0,2.0
610.0,0.607974194,2.9482071328875092E-8,610.0,61.63934426229508,6.882379802987804,610.0,207000.0,10.0,4.0
620.0,0.615706604,2.989614998825308E-8,620.0,62.096774193548384,7.873438211340991,620.0,207000.0,10.0,4.0
630.0,0.624574831,3.0373640714763765E-8,630.0,62.06349206349206,8.116189662537389,630.0,208128.0,10.0,3.0
640.0,0.631871596,3.07665194289676E-8,640.0,62.5,8.765844212927211,640.0,208128.0,10.0,3.0
650.0,0.639270272,3.116488532312628E-8,650.0,62.92307692307693,9.100931911288548,650.0,208128.0,10.0,2.0
660.0,0.647254071,3.15947559144886E-8,660.0,62.57575757575757,8.296206291346028,660.0,208128.0,10.0,4.0
670.0,0.65466345,3.199369808880405E-8,670.0,62.98507462686567,9.195238980031245,670.0,208128.0,10.0,4.0
680.0,0.661977005,3.238748082466837E-8,680.0,63.23529411764706,9.282047450825534,680.0,208128.0,10.0,3.0
690.0,0.669320108,3.278285450943228E-8,690.0,62.89855072463768,8.783888458559264,690.0,208128.0,10.0,5.0
700.0,0.677175821,3.3205828583915196E-8,700.0,62.857142857142854,9.003639854405796,700.0,208128.0,10.0,7.0
710.0,0.684449565,3.359897315980245E-8,710.0,62.394366197183096,8.04268736357017,710.0,208928.0,10.0,8.0
720.0,0.691911806,3.400230596517936E-8,720.0,62.5,8.470266961721356,720.0,208928.0,10.0,7.0
730.0,0.699219958,3.439731028737706E-8,730.0,62.465753424657535,8.155018826338518,730.0,208928.0,10.0,8.0
740.0,0.707314734,3.483483149755745E-8,740.0,62.56756756756757,8.824837647896105,740.0,208928.0,10.0,6.0
750.0,0.714754834,3.52369675858029E-8,750.0,62.66666666666667,9.464807677384341,750.0,208928.0,10.0,6.0
760.0,0.722013333,3.5629288172138224E-8,760.0,63.026315789473685,10.949879075973657,760.0,208928.0,10.0,6.0
770.0,0.730372585,3.608110426331145E-8,770.0,62.727272727272734,10.923455197710528,770.0,208928.0,10.0,6.0
780.0,0.73779961,3.648253365012092E-8,780.0,62.69230769230769,10.844187471522622,780.0,208928.0,10.0,5.0
790.0,0.74515051,3.687984849415305E-8,790.0,62.78481012658228,11.393081137171732,790.0,208928.0,10.0,6.0
800.0,0.753424198,3.732703986626945E-8,800.0,62.74999999999999,11.309523809523805,800.0,208928.0,10.0,6.0
810.0,0.760634009,3.771672887482162E-8,810.0,62.96296296296296,12.022823379482142,810.0,208928.0,10.0,5.0
820.0,0.768178787,3.8124522790441073E-8,820.0,62.5609756097561,11.16772763843213,820.0,208928.0,10.0,5.0
830.0,0.77570704,3.8531423532735134E-8,830.0,62.65060240963856,11.07286288009181,830.0,208928.0,10.0,5.0
840.0,0.783806078,3.8969175103261233E-8,840.0,62.73809523809524,10.97717884472134,840.0,208928.0,10.0,5.0
850.0,0.791092193,3.936298832950906E-8,850.0,62.70588235294118,10.700674094744448,850.0,208928.0,10.0,4.0
860.0,0.798393251,3.975760922226226E-8,860.0,62.906976744186046,10.987527741366128,860.0,208928.0,10.0,5.0
870.0,0.806248044,4.018215939376503E-8,870.0,63.2183908045977,12.037914691943131,870.0,208928.0,10.0,6.0
880.0,0.813539902,4.0576283028146455E-8,880.0,63.06818181818182,11.585403553895816,880.0,208928.0,10.0,5.0
890.0,0.820921665,4.097526601186643E-8,890.0,62.69662921348315,10.79849056603772,890.0,208928.0,10.0,4.0
900.0,0.828242835,4.13709739546602E-8,900.0,62.77777777777778,10.707939441324896,900.0,208928.0,10.0,6.0
910.0,0.835631279,4.1770318045247764E-8,910.0,62.747252747252745,10.833309246466454,910.0,208928.0,10.0,6.0
920.0,0.843418549,4.21912186105508E-8,920.0,63.04347826086957,11.265935537312007,920.0,208928.0,10.0,7.0
930.0,0.85097502,4.2599644530750815E-8,930.0,63.01075268817205,11.00726028540433,930.0,208928.0,10.0,6.0
940.0,0.858376247,4.2999679540226035E-8,940.0,62.65957446808511,10.453351282106965,940.0,208928.0,10.0,4.0
950.0,0.866641234,4.344640062483235E-8,950.0,62.63157894736842,10.207939508506593,950.0,208928.0,10.0,5.0
960.0,0.874213362,4.385567280311138E-8,960.0,62.81250000000001,10.651344192545942,960.0,208928.0,10.0,4.0
970.0,0.881642584,4.425722093738202E-8,970.0,62.78350515463917,11.126621151747418,970.0,208928.0,10.0,5.0
980.0,0.893297656,4.488717551625852E-8,980.0,62.755102040816325,11.061493629844747,980.0,208928.0,10.0,6.0
990.0,0.907653645,4.566311418097467E-8,990.0,62.929292929292934,11.822095805767397,990.0,208928.0,10.0,5.0
1000.0,0.921615221,4.6417734892844334E-8,1000.0,62.8,11.596958174904957,1000.0,208928.0,10.0,5.0
