learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10.0,0.311375959,1.4040742058497335E-8,10.0,60.0,9.090909090909074,10.0,174304.0,10.0,0.0
20.0,0.445399068,2.0111925909262563E-8,20.0,75.0,13.79310344827584,20.0,175104.0,10.0,0.0
30.0,0.472650642,2.134640940402117E-8,30.0,76.66666666666667,8.695652173913016,30.0,175104.0,10.0,0.0
40.0,0.498544226,2.251937658999529E-8,40.0,70.0,-3.700743415417189E-14,40.0,175104.0,10.0,0.0
50.0,0.5217339,2.3569857923727896E-8,50.0,70.0,-0.5361930294906694,50.0,175104.0,10.0,0.0
60.0,0.544450596,2.4598913576346304E-8,60.0,70.0,-0.7462686567164226,60.0,175104.0,10.0,0.0
70.0,0.569235108,2.5721640321951772E-8,70.0,67.14285714285714,-1.7699115044247653,70.0,175104.0,10.0,0.0
80.0,0.594537418,2.686782307360735E-8,80.0,66.25,-1.8867924528301816,80.0,175104.0,10.0,0.0
90.0,0.613704874,2.773609982226458E-8,90.0,68.88888888888889,-1.1235955056179767,90.0,175104.0,10.0,0.0
100.0,0.632165706,2.8572366835814383E-8,100.0,70.0,-0.8064516129032114,100.0,175104.0,10.0,0.0
110.0,0.650860656,2.9419239284735588E-8,110.0,70.9090909090909,-0.5714285714285927,110.0,175104.0,10.0,0.0
120.0,0.669388936,3.025856166098681E-8,120.0,71.66666666666667,-0.39370078740151815,120.0,175104.0,10.0,0.0
130.0,0.687537414,3.108067918513384E-8,130.0,72.3076923076923,-0.2570694087403515,130.0,175104.0,10.0,0.0
140.0,0.70573,3.190479478095141E-8,140.0,72.14285714285714,-0.2939015429831042,140.0,175104.0,10.0,0.0
150.0,0.723857113,3.272594448063936E-8,150.0,71.33333333333334,-0.43600124571786186,150.0,175104.0,10.0,0.0
160.0,0.742040241,3.3549631633501914E-8,160.0,71.875,-0.33444816053509,160.0,175104.0,10.0,0.0
170.0,0.760133364,3.4369241602164175E-8,170.0,71.76470588235294,-0.3443187407771581,170.0,175104.0,10.0,0.0
180.0,0.792656374,3.58425186703023E-8,180.0,71.11111111111111,-0.42918454935621736,180.0,175104.0,10.0,0.0
190.0,0.815977502,3.689895480845538E-8,190.0,71.05263157894737,-0.4228329809725412,190.0,175104.0,10.0,0.0
200.0,0.844123944,3.817397540305224E-8,200.0,69.0,-0.6493506493506498,200.0,175104.0,10.0,0.0
210.0,0.871544786,3.941612665865985E-8,210.0,70.0,-0.5166388086916778,210.0,175104.0,10.0,0.0
220.0,0.89351101,4.041118628237811E-8,220.0,70.9090909090909,-0.3993154592127737,220.0,175104.0,10.0,0.0
230.0,0.91533427,4.139976970408526E-8,230.0,71.30434782608695,-0.3437334743522509,230.0,175104.0,10.0,0.0
240.0,0.93364853,4.222939707491961E-8,240.0,72.08333333333333,-0.2493765586034904,240.0,175104.0,10.0,0.0
250.0,0.95094198,4.301278223250475E-8,250.0,72.0,-0.2520623281393353,250.0,175104.0,10.0,0.0
260.0,0.972907279,4.400779995415774E-8,260.0,71.53846153846153,-0.2919099249374384,260.0,175104.0,10.0,0.0
270.0,0.991132837,4.483340916607943E-8,270.0,71.48148148148148,-0.2894356005788542,270.0,175104.0,10.0,0.0
280.0,1.009080735,4.5646440510493183E-8,280.0,70.71428571428572,-0.3496503496503539,280.0,175104.0,10.0,0.0
290.0,1.026969432,4.6456790077429674E-8,290.0,70.6896551724138,-0.34193600911830524,290.0,175104.0,10.0,0.0
300.0,1.04482252,4.726552657340135E-8,300.0,71.0,-0.3074558032283033,300.0,175104.0,10.0,0.0
310.0,1.062751124,4.807768390868272E-8,310.0,70.96774193548387,-0.30198446937011075,310.0,175104.0,10.0,0.0
320.0,1.080563983,4.8884598049860854E-8,320.0,71.25,-0.2724795640327209,320.0,175104.0,10.0,0.0
330.0,1.09864715,4.970375701640214E-8,330.0,71.21212121212122,-0.2686624448282321,330.0,175104.0,10.0,0.0
340.0,1.116879902,5.052969211314287E-8,340.0,71.76470588235294,-0.2210759027265825,340.0,175104.0,10.0,0.0
350.0,1.1342503,5.13165629789647E-8,350.0,71.42857142857143,-0.24057738572570408,350.0,175104.0,10.0,0.0
360.0,1.152106655,5.212544746850099E-8,360.0,71.38888888888889,-0.23788927335640403,360.0,175104.0,10.0,0.0
370.0,1.17371981,5.3104513232451336E-8,370.0,71.35135135135135,-0.2351257411572178,370.0,175104.0,10.0,0.0
380.0,1.198911069,5.424566542599763E-8,380.0,71.57894736842105,-0.2148857198671548,380.0,175104.0,10.0,0.0
390.0,1.222820545,5.532875345204438E-8,390.0,71.28205128205128,-0.22946305644788717,390.0,175104.0,10.0,0.0
400.0,1.240519973,5.613052922223176E-8,400.0,70.5,-0.2719238613188385,400.0,175104.0,10.0,0.0
410.0,1.264280353,5.7206863269549267E-8,410.0,70.24390243902438,-0.28067361668002677,410.0,175104.0,10.0,0.0
420.0,1.285080935,5.814911985848512E-8,420.0,70.23809523809523,-0.2750401100160848,420.0,175104.0,10.0,0.0
430.0,1.304242467,5.9017128252726454E-8,430.0,70.46511627906978,-0.25702221406278963,430.0,175104.0,10.0,0.0
440.0,1.321992507,5.982119672272767E-8,440.0,70.22727272727273,-0.2644030058447125,440.0,175104.0,10.0,0.0
450.0,1.339844111,6.062986599419679E-8,450.0,70.44444444444444,-0.24789789286791541,450.0,175104.0,10.0,0.0
460.0,1.358260955,6.146414037201967E-8,460.0,70.86956521739131,-0.22112382934443958,460.0,175104.0,10.0,0.0
470.0,1.377565028,6.233860580657091E-8,470.0,70.63829787234043,-0.2287056496476836,470.0,175104.0,10.0,0.0
480.0,1.39525286,6.313985628340807E-8,480.0,70.625,-0.22509181376613877,480.0,175104.0,10.0,0.0
