learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
10.0,0.312176787,1.4458688423602532E-8,10.0,50.0,0.0,10.0,179032.0,10.0,0.0,0.0,0.0
20.0,0.445801868,2.0733359329986076E-8,20.0,70.0,7.692307692307697,20.0,181512.0,10.0,0.0,0.0,0.0
30.0,0.474853391,2.20975399522918E-8,30.0,73.33333333333333,3.999999999999947,30.0,181512.0,10.0,0.0,0.0,0.0
40.0,0.500850349,2.332958522288129E-8,40.0,67.5,-3.9999999999999853,40.0,183192.0,10.0,0.0,0.0,0.0
50.0,0.525528399,2.449912493556117E-8,50.0,68.0,-3.8961038961039,50.0,183192.0,10.0,0.0,0.0,0.0
60.0,0.549386885,2.562982395195092E-8,60.0,68.33333333333333,-3.636363636363623,60.0,183192.0,10.0,0.0,0.0,0.0
70.0,0.576821193,2.692998797203725E-8,70.0,65.71428571428571,-4.347826086956541,70.0,183192.0,10.0,0.0,0.0,0.0
80.0,0.604773179,2.8266834150794898E-8,80.0,65.0,-4.186046511627901,80.0,184872.0,10.0,0.0,0.0,0.0
90.0,0.626009018,2.9282470400035385E-8,90.0,67.77777777777779,-3.1620553359683723,90.0,184872.0,10.0,0.0,0.0,0.0
100.0,0.646625239,3.026847247746463E-8,100.0,69.0,-2.6490066225165583,100.0,184872.0,10.0,0.0,0.0,0.0
110.0,0.666881667,3.1237266908281796E-8,110.0,70.0,-2.2535211267605706,110.0,184872.0,10.0,0.0,0.0,0.0
120.0,0.686733975,3.218673368639623E-8,120.0,70.83333333333334,-1.9417475728154876,120.0,184872.0,10.0,0.0,0.0,0.0
130.0,0.706858239,3.314920717320716E-8,130.0,71.53846153846153,-1.6913319238900886,130.0,184872.0,10.0,0.0,0.0,0.0
140.0,0.726533439,3.409020349226272E-8,140.0,71.42857142857143,-1.633393829401129,140.0,184872.0,10.0,0.0,0.0,0.0
