learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
3.0,0.004710603,1.7333883655567964E-11,3.0,100.0,?,3.0,14224.0,10.0,3.2,0.5120763831912405,803.1999999999999,69.81575753366856
6.0,0.014014776,5.692415730406841E-11,6.0,66.66666666666666,0.0,6.0,16448.0,10.0,6.2,0.9285592184789412,1024.0,17.404980130219435
9.0,0.017606701,7.291440851365527E-11,9.0,66.66666666666666,0.0,9.0,17208.0,10.0,9.5,1.194896555262328,1100.0000000000002,10.946333734279344
12.0,0.021285983,8.946107138155236E-11,12.0,58.333333333333336,0.0,12.0,17384.0,10.0,12.200000000000001,1.4817407180595246,1117.6,12.33891765467656
15.0,0.025134855,1.0683414860525066E-10,15.0,60.0,-12.50000000000002,15.0,17448.0,10.0,15.5,1.3924399049470282,1123.9999999999998,12.691204303243515
18.0,0.027772409,1.187395664325191E-10,18.0,61.111111111111114,-10.526315789473632,18.0,17448.0,10.0,18.7,1.5567059238447487,1123.9999999999998,12.691204303243515
21.0,0.030599787,1.315310715325177E-10,21.0,66.66666666666666,8.695652173913041,21.0,17488.0,10.0,21.200000000000003,1.830604029032797,1128.0,11.43872564774785
24.0,0.032790337,1.4144146607360908E-10,24.0,66.66666666666666,3.030303030302988,24.0,17488.0,10.0,23.200000000000003,1.6983652270475997,1128.0,11.43872564774785
27.0,0.035556938,1.5398090950937738E-10,27.0,66.66666666666666,2.409638554216888,27.0,17520.0,10.0,26.0,1.6193277068654826,1131.2,10.613199329137283
30.0,0.037834644,1.6430446738791138E-10,30.0,70.0,4.255319148936196,30.0,17520.0,10.0,28.900000000000006,1.7091258324392355,1131.2,10.613199329137283
33.0,0.039967108,1.7397413847967986E-10,33.0,72.72727272727273,5.714285714285733,33.0,17528.0,10.0,31.7,1.8976593769987045,1132.0,10.749676997731402
