learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
3.0,0.006595448,2.581210634774632E-11,3.0,100.0,?,3.0,15128.0,10.0,3.2,0.5120763831912405,824.8,72.21154109051174
6.0,0.042572962,2.0302516612741682E-10,6.0,66.66666666666666,0.0,6.0,19040.0,10.0,6.2,0.9285592184789412,1048.0,17.404980130219435
9.0,0.074309402,3.655879126820299E-10,9.0,66.66666666666666,0.0,9.0,19800.0,10.0,9.5,1.194896555262328,1124.0000000000002,10.946333734279344
12.0,0.103483354,5.163532218833765E-10,12.0,58.333333333333336,0.0,12.0,19976.0,10.0,12.200000000000001,1.4817407180595246,1141.6,12.33891765467656
15.0,0.114996086,5.760393960028887E-10,15.0,60.0,-12.50000000000002,15.0,20040.0,10.0,15.5,1.3924399049470282,1147.9999999999998,12.691204303243515
18.0,0.125824782,6.36885617201527E-10,18.0,61.111111111111114,-10.526315789473632,18.0,21720.0,10.0,18.7,1.5567059238447487,1147.9999999999998,12.691204303243515
21.0,0.134457964,6.854846265829272E-10,21.0,66.66666666666666,8.695652173913041,21.0,21760.0,10.0,21.200000000000003,1.830604029032797,1152.0,11.43872564774785
24.0,0.140315608,7.184592234012154E-10,24.0,66.66666666666666,3.030303030302988,24.0,21760.0,10.0,23.200000000000003,1.6983652270475997,1152.0,11.43872564774785
27.0,0.146150676,7.513550376809306E-10,27.0,66.66666666666666,2.409638554216888,27.0,21792.0,10.0,26.0,1.6193277068654826,1155.2,10.613199329137283
30.0,0.150946108,7.783897938248185E-10,30.0,70.0,4.255319148936196,30.0,21792.0,10.0,28.900000000000006,1.7091258324392355,1155.2,10.613199329137283
33.0,0.156123694,8.075896992079086E-10,33.0,72.72727272727273,5.714285714285733,33.0,21800.0,10.0,31.7,1.8976593769987045,1156.0,10.749676997731402
36.0,0.160857482,8.364028959845504E-10,36.0,72.22222222222221,4.761904761904746,36.0,23528.0,10.0,34.6,2.150968773986891,1160.8,8.636871861707547
39.0,0.166284694,8.694367638520069E-10,39.0,74.35897435897436,5.797101449275352,39.0,23528.0,10.0,38.800000000000004,2.075250988836451,1160.8,8.636871861707547
42.0,0.170474594,8.949741576322252E-10,42.0,76.19047619047619,6.666666666666672,42.0,23560.0,10.0,41.599999999999994,1.9731531449264985,1164.0,8.110350040397618
45.0,0.174747136,9.211832605509295E-10,45.0,73.33333333333333,13.461538461538483,45.0,23712.0,10.0,44.7,2.2951639980136007,1179.2,1.3063945294843795
48.0,0.17963642,9.511756509252721E-10,48.0,75.0,14.285714285714274,48.0,23712.0,10.0,46.699999999999996,2.0604745947367453,1179.2,1.3063945294843795
51.0,0.183836016,9.76937280367646E-10,51.0,76.47058823529412,15.000000000000021,51.0,23712.0,10.0,50.6,2.0176994600562073,1179.2,1.3063945294843795
54.0,0.187871798,1.0017190811617507E-9,54.0,75.92592592592592,19.3103448275862,54.0,23736.0,10.0,53.60000000000001,2.161275343659643,1181.6,1.2220201853215538
57.0,0.19182143,1.0259718761427536E-9,57.0,75.43859649122807,17.90123456790125,57.0,23736.0,10.0,55.400000000000006,2.2568414506414336,1181.6,1.2220201853215538
60.0,0.196634282,1.0555252909494773E-9,60.0,76.66666666666667,18.604651162790702,60.0,23736.0,10.0,58.5,2.2521594575478487,1181.6,1.2220201853215538
63.0,0.200595618,1.0798499545786117E-9,63.0,77.77777777777779,19.230769230769234,63.0,23736.0,10.0,60.900000000000006,2.258071940591993,1181.6,1.2220201853215538
66.0,0.2050815,1.1073956035036182E-9,66.0,77.27272727272727,17.91044776119401,66.0,23736.0,10.0,64.5,2.613001679635468,1181.6,1.2220201853215538
69.0,0.209674352,1.1355981038717761E-9,69.0,78.26086956521739,18.43971631205678,69.0,23736.0,10.0,68.2,2.6699979192667707,1181.6,1.2220201853215538
72.0,0.213403572,1.158497454519901E-9,72.0,79.16666666666666,24.581005586592166,72.0,23736.0,10.0,72.20000000000002,2.7720830515055717,1181.6,1.2220201853215538
75.0,0.21673252,1.178945816486246E-9,75.0,80.0,25.049966688874132,75.0,23744.0,10.0,74.7,3.0443025108845174,1182.4,1.0666666666666682
78.0,0.220235572,1.20198611456073E-9,78.0,80.76923076923077,30.274135876042884,78.0,25424.0,10.0,78.4,3.3239868966181096,1182.4,1.0666666666666682
81.0,0.224307538,1.2287682777684595E-9,81.0,80.24691358024691,28.712871287128728,81.0,25424.0,10.0,81.89999999999999,3.4942810419312287,1182.4,1.0666666666666682
84.0,0.227743368,1.2513664428351653E-9,84.0,79.76190476190477,27.291242362525477,84.0,25424.0,10.0,84.10000000000001,3.4073450074801643,1182.4,1.0666666666666682
87.0,0.231103998,1.2734700019367867E-9,87.0,78.16091954022988,24.417009602194803,87.0,25424.0,10.0,86.9,3.5853095325849402,1182.4,1.0666666666666682
90.0,0.235286358,1.3009782493321431E-9,90.0,78.88888888888889,24.80211081794194,90.0,25424.0,10.0,90.2,3.711244175924474,1182.4,1.0666666666666682
93.0,0.238798564,1.324078755159345E-9,93.0,78.49462365591397,23.70795734208367,93.0,25424.0,10.0,93.1,3.8885872898921927,1182.4,1.0666666666666682
