learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.047848944,9.744399309158323E-10,3.0,100.0,?,3.0,78720.0,10.0,0.0
6.0,0.140519063,2.9285944407412573E-9,6.0,66.66666666666666,0.0,6.0,81512.0,10.0,0.0
9.0,0.166296679,3.4772407147515975E-9,9.0,66.66666666666666,0.0,9.0,82272.0,10.0,0.0
12.0,0.178197882,3.7310857170840925E-9,12.0,58.333333333333336,0.0,12.0,82448.0,10.0,0.0
15.0,0.18854716,3.952000509130044E-9,15.0,60.0,-12.50000000000002,15.0,82512.0,10.0,0.0
18.0,0.198578954,4.166138315202875E-9,18.0,61.111111111111114,-10.526315789473632,18.0,82512.0,10.0,0.0
21.0,0.207386018,4.354224276495062E-9,21.0,61.904761904761905,-9.090909090909056,21.0,82552.0,10.0,0.0
24.0,0.216717876,4.55351787565276E-9,24.0,62.5,-14.893617021276615,24.0,82552.0,10.0,0.0
27.0,0.22612925,4.75458755062893E-9,27.0,62.96296296296296,-13.445378151260487,27.0,82584.0,10.0,0.0
30.0,0.23493105,4.942633957583457E-9,30.0,66.66666666666666,-11.940298507462687,30.0,82584.0,10.0,0.0
33.0,0.243291716,5.12127304289283E-9,33.0,69.6969696969697,-10.738255033557019,33.0,82592.0,10.0,0.0
36.0,0.250825798,5.282344386157475E-9,36.0,69.44444444444444,-9.999999999999961,36.0,82640.0,10.0,0.0
39.0,0.259303688,5.46359342623295E-9,39.0,71.7948717948718,-9.160305343511455,39.0,82640.0,10.0,0.0
42.0,0.267254356,5.6336367918737225E-9,42.0,73.80952380952381,-8.450704225352075,42.0,82672.0,10.0,0.0
45.0,0.27522204,5.804357393228758E-9,45.0,68.88888888888889,-8.2474226804124,45.0,82824.0,10.0,0.0
48.0,0.28313605,5.973927941750734E-9,48.0,70.83333333333334,-7.692307692307663,48.0,82824.0,10.0,0.0
51.0,0.290796678,6.138069368408371E-9,51.0,72.54901960784314,-7.207207207207202,51.0,82824.0,10.0,0.0
54.0,0.29889633,6.311667888270069E-9,54.0,72.22222222222221,-6.860158311345689,54.0,82848.0,10.0,0.0
57.0,0.306507702,6.474801182554413E-9,57.0,71.9298245614035,-6.542056074766379,57.0,82848.0,10.0,0.0
60.0,0.314317596,6.6421893664759886E-9,60.0,73.33333333333333,-6.194690265486766,60.0,82848.0,10.0,0.0
63.0,0.322086684,6.808702962057043E-9,63.0,74.60317460317461,-5.88235294117647,63.0,82848.0,10.0,0.0
66.0,0.329251206,6.9622589931947475E-9,66.0,74.24242424242425,-5.649717514124307,66.0,82848.0,10.0,0.0
69.0,0.337232106,7.133312320814777E-9,69.0,75.36231884057972,-5.390835579514846,69.0,82848.0,10.0,0.0
72.0,0.345280568,7.305813693758099E-9,72.0,75.0,-5.194805194805219,72.0,82848.0,10.0,0.0
75.0,0.35320999,7.475780112579877E-9,75.0,76.0,-4.976671850699813,75.0,82856.0,10.0,0.0
78.0,0.361257539,7.648278572596608E-9,78.0,75.64102564102564,-4.809052333804767,78.0,82856.0,10.0,0.0
81.0,0.368742641,7.808721033781764E-9,81.0,75.30864197530865,-4.651162790697718,81.0,82856.0,10.0,0.0
84.0,0.376271795,7.97010774546613E-9,84.0,75.0,-4.502369668246443,84.0,82856.0,10.0,0.0
