learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
1.0,0.005638057,5.964965328574181E-11,1.0,0.0,0.0,1.0,40896.0,10.0,1.7,0.44845413490245695,2528.0,513.248477835054
2.0,0.019854408,2.3371163321038084E-10,2.0,0.0,0.0,2.0,47328.0,10.0,2.3000000000000003,0.42295258468165065,3171.2,333.6003197440514
3.0,0.029347433,3.6379322083666916E-10,3.0,33.33333333333333,0.0,3.0,52968.0,10.0,3.2,0.5120763831912405,3735.2000000000003,412.17808448937853
4.0,0.037635201,4.781998093446923E-10,4.0,25.0,0.0,4.0,53360.0,10.0,3.8,0.69602043392737,3772.8,412.90334623654155
5.0,0.045480538,5.951531508647732E-10,5.0,20.0,-42.85714285714287,5.0,57624.0,10.0,4.8,0.8273115763993905,4199.2,120.6939932225295
6.0,0.053845531,7.239561969124608E-10,6.0,33.33333333333333,-20.0,6.0,59520.0,10.0,6.2,0.9285592184789412,4219.2,121.286144669904
7.0,0.058807877,8.015570700416962E-10,7.0,42.857142857142854,-7.69230769230769,7.0,60448.0,10.0,7.199999999999999,0.8537498983243798,4310.400000000001,85.064576776836
8.0,0.063304588,8.719415155239403E-10,8.0,50.0,0.0,8.0,60504.0,10.0,8.4,1.0666666666666667,4316.0,83.81354968685619
9.0,0.067587429,9.389783762147028E-10,9.0,55.55555555555556,5.263157894736842,9.0,60504.0,10.0,9.5,1.194896555262328,4316.0,83.81354968685619
10.0,0.07132006,9.974340147545767E-10,10.0,60.0,9.090909090909074,10.0,60536.0,10.0,10.1,1.2151817422372124,4319.200000000001,84.06938932942377
11.0,0.075019937,1.055384359800567E-9,11.0,63.63636363636363,11.99999999999999,11.0,60544.0,10.0,11.100000000000001,1.3453624047073707,4320.0,83.27517970893582
12.0,0.079180834,1.1216578191622261E-9,12.0,58.333333333333336,0.0,12.0,61568.0,10.0,12.200000000000001,1.4817407180595246,4422.4,10.586364395348863
13.0,0.082973852,1.182087517564909E-9,13.0,61.53846153846154,2.9850746268656594,13.0,61584.0,10.0,13.4,1.3349989596333858,4424.0,9.83418075444574
14.0,0.086907849,1.2448609705745344E-9,14.0,57.14285714285714,-5.000000000000005,14.0,61680.0,10.0,14.0,1.3416407864998736,4433.6,7.035149844412213
15.0,0.090453787,1.301442298017856E-9,15.0,60.0,-2.2727272727272587,15.0,61680.0,10.0,15.5,1.3924399049470282,4433.6,7.035149844412213
16.0,0.094049145,1.360389689983179E-9,16.0,62.5,12.727272727272727,16.0,63376.0,10.0,16.299999999999997,1.468559384794046,4435.200000000001,7.075466219424864
17.0,0.097905094,1.4236175602301955E-9,17.0,64.70588235294117,14.999999999999991,17.0,63384.0,10.0,17.2,1.3888444437333103,4436.0,6.876691711054761
18.0,0.10176924,1.4870118297057019E-9,18.0,66.66666666666666,24.999999999999986,18.0,63416.0,10.0,18.7,1.5567059238447487,4439.2,6.0162742254284955
19.0,0.105596492,1.5498245876116884E-9,19.0,68.42105263157895,26.923076923076923,19.0,63440.0,10.0,19.5,1.6881943016134129,4441.599999999999,5.306599664568672
20.0,0.109559144,1.6149251357300411E-9,20.0,70.0,28.57142857142857,20.0,63504.0,10.0,20.5,1.727232854404215,4448.0,5.719362823873938
21.0,0.113187986,1.6745416761769186E-9,21.0,71.42857142857143,30.000000000000004,21.0,63504.0,10.0,21.200000000000003,1.830604029032797,4448.0,5.719362823873938
22.0,0.11622085,1.7243671740425954E-9,22.0,72.72727272727273,31.250000000000007,22.0,63504.0,10.0,21.499999999999996,1.8150604520082645,4448.0,5.719362823873938
23.0,0.11930183,1.775002276309662E-9,23.0,73.91304347826086,38.39285714285714,23.0,63528.0,10.0,22.3,1.7387735140993301,4450.400000000001,5.06666666666667
24.0,0.12230113,1.8243322333031225E-9,24.0,75.0,39.49579831932773,24.0,63576.0,10.0,23.200000000000003,1.6983652270475997,4455.200000000001,5.392999577641746
25.0,0.125434466,1.875879670927921E-9,25.0,76.0,40.476190476190474,25.0,63592.0,10.0,23.9,1.69607389776114,4456.799999999999,4.836895239257917
26.0,0.128560929,1.9273140387961427E-9,26.0,76.92307692307693,41.35338345864665,26.0,63592.0,10.0,24.7,1.6536155673083281,4456.799999999999,4.836895239257917
27.0,0.131726053,1.979404081890566E-9,27.0,77.77777777777779,42.14285714285716,27.0,63616.0,10.0,26.0,1.6193277068654826,4459.2,4.332820482472537
28.0,0.134737328,2.0290307080166203E-9,28.0,78.57142857142857,42.857142857142854,28.0,63704.0,10.0,27.4,1.499629583893599,4468.0,4.501851470969077
29.0,0.137708903,2.078003067409412E-9,29.0,79.3103448275862,43.50649350649353,29.0,63704.0,10.0,28.4,1.5930404193798025,4468.0,4.501851470969077
30.0,0.140720037,2.127627369817346E-9,30.0,80.0,44.09937888198758,30.0,63704.0,10.0,28.900000000000006,1.7091258324392355,4468.0,4.501851470969077
31.0,0.143741714,2.177425423715677E-9,31.0,80.64516129032258,49.45652173913041,31.0,63704.0,10.0,29.900000000000002,1.8101565309847283,4468.0,4.501851470969077
32.0,0.146840856,2.228506535759402E-9,32.0,81.25,53.62318840579711,32.0,63712.0,10.0,30.900000000000006,1.852625764212033,4468.8,4.6494922064434006
33.0,0.149809918,2.2774436250204833E-9,33.0,81.81818181818183,54.166666666666686,33.0,63712.0,10.0,31.7,1.8976593769987045,4468.8,4.6494922064434006
34.0,0.15273393,2.3256442364181075E-9,34.0,82.35294117647058,54.66666666666664,34.0,63720.0,10.0,32.6,1.886796226411321,4469.599999999999,3.9642849992849376
35.0,0.155716894,2.374816636728743E-9,35.0,82.85714285714286,55.12820512820513,35.0,63720.0,10.0,33.4,2.050474199897293,4469.599999999999,3.9642849992849376
36.0,0.158638104,2.4242406669259063E-9,36.0,83.33333333333334,55.55555555555557,36.0,65400.0,10.0,34.6,2.150968773986891,4469.599999999999,3.9642849992849376
37.0,0.161676385,2.475645424506316E-9,37.0,83.78378378378379,58.88888888888889,37.0,65400.0,10.0,36.2,1.9595917942265422,4469.599999999999,3.9642849992849376
38.0,0.164578712,2.5247499727209404E-9,38.0,84.21052631578947,59.285714285714285,38.0,65400.0,10.0,37.7,2.016873267654113,4469.599999999999,3.9642849992849376
39.0,0.167533417,2.574759050942957E-9,39.0,84.61538461538461,59.65517241379309,39.0,65424.0,10.0,38.800000000000004,2.075250988836451,4471.999999999999,3.5777087639996963
40.0,0.170621977,2.6270336565747852E-9,40.0,85.0,60.0,40.0,65424.0,10.0,40.199999999999996,2.0319667538837565,4471.999999999999,3.5777087639996963
41.0,0.173658274,2.6784236986190078E-9,41.0,85.36585365853658,60.322580645161274,41.0,65424.0,10.0,40.800000000000004,1.872609587358418,4471.999999999999,3.5777087639996963
42.0,0.176614868,2.7284769865787687E-9,42.0,83.33333333333334,55.58912386706949,42.0,65440.0,10.0,41.599999999999994,1.9731531449264985,4473.599999999999,2.6127890589687177
