learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
1.0,0.007711338,6.498679588238398E-11,1.0,0.0,0.0,1.0,32576.0,10.0,1.1,0.3144660377352201,2196.8,549.9920969129163
2.0,0.078596842,7.225188059608142E-10,2.0,0.0,0.0,2.0,35856.0,10.0,1.6,0.3711842908553348,2523.2,512.4431415614158
3.0,0.115379922,1.1565919539663528E-9,3.0,33.33333333333333,0.0,3.0,45616.0,10.0,2.3000000000000003,0.44845413490245695,3496.0,394.4431799666743
4.0,0.1324385,1.3595577005421124E-9,4.0,25.0,0.0,4.0,45992.0,10.0,2.9,0.6403124237432849,3533.6000000000004,396.80689958159195
5.0,0.14240327,1.4910921193783483E-9,5.0,40.0,0.0,5.0,51024.0,10.0,4.3,0.7895146188218007,4036.7999999999997,151.4197110315856
6.0,0.152649508,1.6288441698046196E-9,6.0,33.33333333333333,0.0,6.0,51968.0,10.0,5.1,0.8491826135237996,4131.2,139.02620056825415
7.0,0.16313001,1.7722184204268789E-9,7.0,28.57142857142857,0.0,7.0,52880.0,10.0,6.0,0.8692269873603531,4222.4,117.4714338798066
8.0,0.173325816,1.911803509551618E-9,8.0,25.0,0.0,8.0,52920.0,10.0,6.8,1.0728984626287388,4226.400000000001,118.01649602209571
9.0,0.1837902,2.0573828651093777E-9,9.0,22.22222222222222,0.0,9.0,53776.0,10.0,7.6,1.0770329614269007,4312.0,79.34845794202796
10.0,0.193866832,2.1976304215937853E-9,10.0,20.0,0.0,10.0,53800.0,10.0,8.1,1.1298967504452195,4314.4,79.5458218750537
11.0,0.204019526,2.3389576285580794E-9,11.0,18.181818181818183,0.0,11.0,53808.0,10.0,8.6,1.1756794725698931,4315.2,79.62757757907185
12.0,0.21454987,2.4884403438038298E-9,12.0,25.0,0.0,12.0,54872.0,10.0,10.0,1.2649110640673518,4421.599999999999,15.413702417726299
13.0,0.22441467,2.6286591249042088E-9,13.0,23.076923076923077,0.0,13.0,54944.0,10.0,11.1,1.1874342087037917,4428.799999999999,9.848632166730352
14.0,0.233611188,2.759626342004372E-9,14.0,28.57142857142857,0.0,14.0,55048.0,10.0,12.3,1.0225241100118645,4439.2,6.79346090819038
15.0,0.243686084,2.903102502404816E-9,15.0,26.666666666666668,0.0,15.0,55048.0,10.0,13.2,0.9865765724632495,4439.2,6.79346090819038
16.0,0.253330332,3.0404857427502673E-9,16.0,31.25,0.0,16.0,55064.0,10.0,14.1,1.0482790129010924,4440.8,6.793460908190387
