learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1.0,0.138272933,3.755128687508404E-9,1.0,0.0,0.0,1.0,104976.0,10.0,1.1,0.3144660377352201,3355.2000000000003,873.9779402250379,0.6,0.1632993161855452,0.6,0.1632993161855452,0.6,0.1632993161855452,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.261227809,7.260172501309878E-9,2.0,0.0,0.0,2.0,110192.0,10.0,1.6,0.3711842908553348,3878.3999999999996,815.0964932652656,0.7,0.15275252316519466,0.7,0.15275252316519466,0.7,0.15275252316519466,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,0.319170882,9.134031723663211E-9,3.0,33.33333333333333,0.0,3.0,125008.0,10.0,2.3000000000000003,0.44845413490245695,5363.2,592.348486018905,0.8999999999999999,0.09999999999999999,0.8999999999999999,0.09999999999999999,0.8999999999999999,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,0.33730514,9.72240151260876E-9,4.0,25.0,0.0,4.0,125416.0,10.0,2.9,0.6403124237432849,5402.4,594.5016811489172,0.8999999999999999,0.09999999999999999,0.8999999999999999,0.09999999999999999,0.8999999999999999,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,0.373642364,1.0973716320987377E-8,5.0,40.0,0.0,5.0,133112.0,10.0,4.5,0.7340905181848414,6172.0,86.69127855659859,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.39377089,1.1671864629586538E-8,6.0,50.0,18.18181818181818,6.0,134072.0,10.0,5.3,0.775313556640867,6266.4,108.37990793705463,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,0.412964052,1.2342178068918488E-8,7.0,57.14285714285714,27.58620689655172,7.0,135000.0,10.0,5.8999999999999995,0.7218802609235905,6357.6,119.07226563916743,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,0.431938642,1.3005054318933852E-8,8.0,62.5,33.33333333333333,8.0,135040.0,10.0,6.700000000000001,0.931545907498808,6361.6,120.21196095046265,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,0.450330282,1.3651523841118648E-8,9.0,66.66666666666666,37.20930232558139,9.0,135872.0,10.0,7.4,0.9333333333333332,6444.8,126.56529276754091,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,0.468939276,1.4305710422864392E-8,10.0,70.0,39.99999999999999,10.0,135888.0,10.0,7.799999999999999,1.0088497300281036,6446.4,127.19636612559158,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11.0,0.486828822,1.493475339461946E-8,11.0,72.72727272727273,42.10526315789474,11.0,135920.0,10.0,8.3,1.054619467970425,6449.6,127.33047117202109,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,0.505397347,1.5592820590606168E-8,12.0,66.66666666666666,27.27272727272727,12.0,136992.0,10.0,11.3,1.125956383603636,6556.8,84.19406154830635,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13.0,0.523903654,1.6248989191200173E-8,13.0,69.23076923076923,29.729729729729726,13.0,137056.0,10.0,12.5,1.0137937550497031,6563.2,87.37719000593538,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.542667203,1.6914589354151656E-8,14.0,64.28571428571429,18.604651162790695,14.0,137120.0,10.0,13.9,0.9122621455602673,6569.599999999999,87.12126924899313,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,0.560980933,1.7564233068794844E-8,15.0,66.66666666666666,21.05263157894737,15.0,137120.0,10.0,14.700000000000001,0.9433981132056602,6569.599999999999,87.12126924899313,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,0.579068591,1.8205894756192965E-8,16.0,68.75,31.03448275862069,16.0,137128.0,10.0,16.0,1.1254628677422753,6570.400000000001,86.96809121102352,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
