learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1.0,0.047828058,6.800284784287214E-11,1.0,0.0,0.0,1.0,5496.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.053721344,7.640642817649576E-11,2.0,0.0,0.0,2.0,5512.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3.0,0.055143396,7.87285237842136E-11,3.0,0.0,-80.0,3.0,6312.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4.0,0.056494476,8.095150508814387E-11,4.0,0.0,-60.0,4.0,6360.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5.0,0.057807317,8.312787274726562E-11,5.0,0.0,-92.3076923076923,5.0,6408.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6.0,0.059132843,8.532526901819639E-11,6.0,16.666666666666664,-66.66666666666667,6.0,6408.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7.0,0.060389294,8.740815591894918E-11,7.0,28.57142857142857,-52.17391304347827,7.0,6408.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8.0,0.061638481,8.9479000893318E-11,8.0,37.5,-42.857142857142854,8.0,6408.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9.0,0.062791019,9.138962558367187E-11,9.0,44.44444444444444,-36.36363636363636,9.0,6408.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10.0,0.06395069,9.331207503461176E-11,10.0,50.0,-31.578947368421012,10.0,6408.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11.0,0.065574533,9.600400756009751E-11,11.0,54.54545454545454,-27.906976744186046,11.0,6408.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12.0,0.06670103,9.787379407841299E-11,12.0,50.0,-33.33333333333333,12.0,6416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13.0,0.067922211,9.990073935232228E-11,13.0,53.84615384615385,-30.000000000000032,13.0,6416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14.0,0.069057398,1.0178729912887017E-10,14.0,50.0,-32.4324324324324,14.0,6424.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15.0,0.070155505,1.0361223589835896E-10,15.0,53.333333333333336,-29.62962962962964,15.0,6424.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16.0,0.07110428,1.0518899880349637E-10,16.0,56.25,-7.6923076923076925,16.0,6424.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17.0,0.07205069,1.0676183133075635E-10,17.0,58.82352941176471,-5.309734513274333,17.0,6424.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18.0,0.07289942,1.0817233011126519E-10,18.0,61.111111111111114,8.695652173913055,18.0,6424.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19.0,0.073870939,1.0978689111976161E-10,19.0,63.1578947368421,10.738255033557051,19.0,6424.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20.0,0.074763245,1.1127165528842145E-10,20.0,65.0,12.500000000000034,20.0,6432.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21.0,0.075583537,1.1263659082560077E-10,21.0,66.66666666666666,14.035087719298259,21.0,6432.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22.0,0.076323478,1.1386782527176871E-10,22.0,68.18181818181817,15.384615384615364,22.0,6432.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23.0,0.07710172,1.1516279116479888E-10,23.0,69.56521739130434,25.116279069767455,23.0,6432.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24.0,0.078375929,1.1728566490527656E-10,24.0,70.83333333333334,26.315789473684227,24.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25.0,0.079080701,1.184598380368617E-10,25.0,72.0,27.385892116182553,25.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26.0,0.079896859,1.1981958387626544E-10,26.0,73.07692307692307,28.346456692913378,26.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27.0,0.080646324,1.2106821700309715E-10,27.0,74.07407407407408,29.213483146067425,27.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28.0,0.08135389,1.222470450297826E-10,28.0,71.42857142857143,23.809523809523814,28.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29.0,0.082066972,1.2343506289232108E-10,29.0,72.41379310344827,24.675324675324696,29.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30.0,0.082766215,1.2460002452962927E-10,30.0,73.33333333333333,25.46583850931675,30.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31.0,0.083434352,1.2571316255670455E-10,31.0,74.19354838709677,32.6086956521739,31.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32.0,0.084119293,1.26854296595686E-10,32.0,75.0,38.164251207729464,32.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33.0,0.084917783,1.2818460697101222E-10,33.0,75.75757575757575,38.88888888888889,33.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34.0,0.085671001,1.2943949271821315E-10,34.0,76.47058823529412,39.55555555555552,34.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35.0,0.086331252,1.3053949241215987E-10,35.0,77.14285714285715,40.17094017094017,35.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36.0,0.087007582,1.3166628024437363E-10,36.0,77.77777777777779,40.74074074074075,36.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37.0,0.087780295,1.329536452972227E-10,37.0,78.37837837837837,45.18518518518518,37.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38.0,0.089049167,1.3506762742168376E-10,38.0,78.94736842105263,45.71428571428573,38.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39.0,0.089748636,1.3623296558236085E-10,39.0,79.48717948717949,46.20689655172411,39.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40.0,0.090503391,1.3749041202167672E-10,40.0,80.0,46.66666666666668,40.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41.0,0.091233483,1.387067690988382E-10,41.0,80.48780487804879,47.096774193548384,41.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42.0,0.091994985,1.3997545626014474E-10,42.0,78.57142857142857,42.900302114803615,42.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43.0,0.092681339,1.4111894440319806E-10,43.0,79.06976744186046,43.3382137628111,43.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
