learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.005455331,5.4272877087609636E-11,1.0,0.0,0.0,1.0,38456.0,10.0,9.0
2.0,0.017178738,1.9041161734610794E-10,2.0,50.0,0.0,2.0,44888.0,10.0,9.0
3.0,0.024379299,2.845346846307317E-10,3.0,33.33333333333333,-50.000000000000014,3.0,50528.0,10.0,9.0
4.0,0.03013179,3.6031248106931644E-10,4.0,50.0,-33.33333333333333,4.0,50920.0,10.0,9.0
5.0,0.036199,4.4692882205256157E-10,5.0,40.0,-36.363636363636374,5.0,55184.0,10.0,9.0
6.0,0.04269389,5.400137129653659E-10,6.0,50.0,-28.571428571428587,6.0,55400.0,10.0,9.0
7.0,0.048113005,6.189815655143725E-10,7.0,57.14285714285714,-23.529411764705912,7.0,56328.0,10.0,9.0
8.0,0.054621433,7.139172785273857E-10,8.0,50.0,-33.33333333333333,8.0,56384.0,10.0,7.0
9.0,0.057417896,7.547081129377087E-10,9.0,55.55555555555556,-28.57142857142857,9.0,56384.0,10.0,7.0
10.0,0.060309875,7.969161402558287E-10,10.0,50.0,-31.578947368421012,10.0,56416.0,10.0,3.0
11.0,0.063030377,8.366271152098974E-10,11.0,54.54545454545454,-27.906976744186046,11.0,56424.0,10.0,3.0
12.0,0.065496281,8.73274982670943E-10,12.0,50.0,-33.33333333333333,12.0,57448.0,10.0,3.0
13.0,0.068275251,9.145870892662142E-10,13.0,53.84615384615385,-30.000000000000032,13.0,57464.0,10.0,3.0
14.0,0.070998825,9.551433208419218E-10,14.0,50.0,-32.4324324324324,14.0,57560.0,10.0,3.0
15.0,0.073243859,9.88573702685535E-10,15.0,46.666666666666664,-36.36363636363634,15.0,57560.0,10.0,3.0
16.0,0.076017041,1.029880116507411E-9,16.0,50.0,-16.363636363636363,16.0,57576.0,10.0,3.0
