learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.156078956,4.454795027350385E-9,1.0,0.0,0.0,1.0,110328.0,10.0,9.0
2.0,0.297220586,8.862405471640327E-9,2.0,50.0,0.0,2.0,120712.0,10.0,9.0
3.0,0.32057353,9.625944715775547E-9,3.0,33.33333333333333,-50.000000000000014,3.0,126384.0,10.0,9.0
4.0,0.335960192,1.0130581713575454E-8,4.0,50.0,-33.33333333333333,4.0,126776.0,10.0,9.0
5.0,0.368990284,1.1272113119562465E-8,5.0,40.0,-36.363636363636374,5.0,133592.0,10.0,9.0
6.0,0.384860898,1.1821493869365916E-8,6.0,50.0,-28.571428571428587,6.0,133808.0,10.0,9.0
7.0,0.400454732,1.2365037218547529E-8,7.0,42.857142857142854,-40.0,7.0,134736.0,10.0,9.0
8.0,0.414287542,1.2847398186893099E-8,8.0,37.5,-42.857142857142854,8.0,134792.0,10.0,8.0
9.0,0.428881908,1.3356315212150415E-8,9.0,44.44444444444444,-36.36363636363636,9.0,134792.0,10.0,8.0
10.0,0.44244943,1.3829537696892188E-8,10.0,40.0,-36.363636363636374,10.0,134824.0,10.0,4.0
11.0,0.457052358,1.4338904397342768E-8,11.0,36.36363636363637,-35.08771929824562,11.0,134832.0,10.0,4.0
12.0,0.470469048,1.4810447979250716E-8,12.0,33.33333333333333,-45.454545454545446,12.0,135856.0,10.0,4.0
13.0,0.484774714,1.531329476526628E-8,13.0,30.76923076923077,-44.44444444444444,13.0,135872.0,10.0,4.0
14.0,0.498305339,1.5789234754563206E-8,14.0,28.57142857142857,-52.17391304347827,14.0,135968.0,10.0,4.0
15.0,0.512483155,1.628793969947845E-8,15.0,26.666666666666668,-51.37614678899083,15.0,135968.0,10.0,4.0
16.0,0.525620286,1.6750092907274765E-8,16.0,25.0,-57.377049180327866,16.0,135984.0,10.0,3.0
17.0,0.539740244,1.7246850364187527E-8,17.0,23.52941176470588,-56.737588652482295,17.0,135992.0,10.0,3.0
18.0,0.55323266,1.7721641819059022E-8,18.0,22.22222222222222,-61.53846153846153,18.0,136024.0,10.0,2.0
19.0,0.566883748,1.820210162034879E-8,19.0,21.052631578947366,-61.016949152542374,19.0,136048.0,10.0,2.0
20.0,0.579752316,1.8655233133712577E-8,20.0,25.0,-56.250000000000014,20.0,136112.0,10.0,2.0
21.0,0.593199284,1.9128731425052716E-8,21.0,28.57142857142857,-52.17391304347827,21.0,136112.0,10.0,2.0
22.0,0.605984438,1.9578925741981303E-8,22.0,31.818181818181817,-48.64864864864864,22.0,136112.0,10.0,1.0
23.0,0.618998026,2.003724453798185E-8,23.0,30.434782608695656,-52.06611570247932,23.0,136136.0,10.0,2.0
24.0,0.63259258,2.0516192885960145E-8,24.0,33.33333333333333,-48.8372093023256,24.0,136184.0,10.0,1.0
25.0,0.645427216,2.0968421765516205E-8,25.0,36.0,-45.98540145985402,25.0,136200.0,10.0,2.0
26.0,0.658884326,2.1442583539746703E-8,26.0,38.46153846153847,-43.44827586206897,26.0,136200.0,10.0,1.0
27.0,0.671913546,2.1901749489866198E-8,27.0,40.74074074074074,-41.17647058823527,27.0,136224.0,10.0,1.0
28.0,0.68539255,2.2377073247138825E-8,28.0,39.285714285714285,-41.6666666666667,28.0,136312.0,10.0,1.0
29.0,0.698254134,2.2830624298192563E-8,29.0,41.37931034482759,-39.660056657223784,29.0,136312.0,10.0,1.0
30.0,0.711723482,2.3305607546166415E-8,30.0,43.333333333333336,-37.8378378378378,30.0,136312.0,10.0,1.0
31.0,0.724646524,2.3761325852862666E-8,31.0,41.935483870967744,-40.2010050251256,31.0,136312.0,10.0,1.0
32.0,0.738167468,2.423815656581687E-8,32.0,43.75,-30.316742081447963,32.0,136320.0,10.0,1.0
33.0,0.751075318,2.469336585580475E-8,33.0,45.45454545454545,-28.571428571428587,33.0,136320.0,10.0,1.0
34.0,0.764614152,2.5170855499005153E-8,34.0,47.05882352941176,-26.970954356846487,34.0,136328.0,10.0,0.0
35.0,0.777499036,2.5625281534795132E-8,35.0,48.57142857142857,-25.498007968127485,35.0,136328.0,10.0,0.0
36.0,0.791090598,2.610463079706662E-8,36.0,50.0,-24.137931034482722,36.0,136328.0,10.0,0.0
37.0,0.804314226,2.6571003707432085E-8,37.0,51.35135135135135,-16.027874564459925,37.0,136328.0,10.0,0.0
38.0,0.817992174,2.7053399644204313E-8,38.0,52.63157894736842,-14.765100671140932,38.0,136328.0,10.0,0.0
39.0,0.831063074,2.7514467275217175E-8,39.0,53.84615384615385,-13.592233009708723,39.0,136352.0,10.0,0.0
40.0,0.844539536,2.798984084618588E-8,40.0,55.00000000000001,-12.499999999999952,40.0,136352.0,10.0,0.0
