learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
1.0,0.008254772,8.328510137895743E-11,1.0,0.0,0.0,1.0,39000.0,10.0,9.0,0.0
2.0,0.072955628,8.450721355030935E-10,2.0,50.0,0.0,2.0,45512.0,10.0,9.0,0.0
3.0,0.113246529,1.3780772323326933E-9,3.0,33.33333333333333,-50.000000000000014,3.0,51136.0,10.0,9.0,0.0
4.0,0.131442105,1.6204796424922017E-9,4.0,50.0,-33.33333333333333,4.0,51496.0,10.0,9.0,0.0
5.0,0.142304281,1.7771906614386375E-9,5.0,40.0,-36.363636363636374,5.0,55768.0,10.0,9.0,0.0
6.0,0.151815209,1.9190326358957423E-9,6.0,50.0,-28.571428571428587,6.0,57648.0,10.0,9.0,0.0
7.0,0.160309531,2.0477174849394296E-9,7.0,57.14285714285714,-23.529411764705912,7.0,58560.0,10.0,9.0,0.0
8.0,0.169296159,2.183990722000599E-9,8.0,50.0,-33.33333333333333,8.0,58616.0,10.0,7.0,0.0
9.0,0.177802281,2.3129775655393803E-9,9.0,55.55555555555556,-28.57142857142857,9.0,58616.0,10.0,7.0,0.0
10.0,0.185323191,2.427086914479733E-9,10.0,50.0,-31.578947368421012,10.0,58648.0,10.0,3.0,0.0
11.0,0.193197369,2.5465724407136442E-9,11.0,54.54545454545454,-27.906976744186046,11.0,58656.0,10.0,3.0,0.0
12.0,0.201309781,2.671822068111764E-9,12.0,50.0,-33.33333333333333,12.0,59680.0,10.0,3.0,0.0
13.0,0.208607579,2.78452486636738E-9,13.0,53.84615384615385,-30.000000000000032,13.0,59696.0,10.0,3.0,0.0
14.0,0.216571039,2.907705522419678E-9,14.0,50.0,-32.4324324324324,14.0,59792.0,10.0,3.0,0.0
15.0,0.224499219,3.0303404592060382E-9,15.0,46.666666666666664,-36.36363636363634,15.0,59792.0,10.0,3.0,0.0
16.0,0.232286389,3.154210891210371E-9,16.0,50.0,-16.363636363636363,16.0,61488.0,10.0,3.0,0.0
17.0,0.238745391,3.256967536273102E-9,17.0,47.05882352941176,-20.472440944881903,17.0,61496.0,10.0,3.0,0.0
18.0,0.245846709,3.3700016123056416E-9,18.0,50.0,-8.000000000000012,18.0,61528.0,10.0,2.0,0.0
19.0,0.252837697,3.481322934246726E-9,19.0,52.63157894736842,-4.907975460122701,19.0,61552.0,10.0,2.0,0.0
20.0,0.259971459,3.5950358372016092E-9,20.0,55.00000000000001,-2.2727272727272494,20.0,61616.0,10.0,2.0,0.0
21.0,0.266347937,3.6966775549948223E-9,21.0,57.14285714285714,0.0,21.0,61616.0,10.0,2.0,0.0
22.0,0.273396041,3.809025060584148E-9,22.0,59.09090909090909,1.980198019802,22.0,61616.0,10.0,1.0,0.0
23.0,0.280690165,3.925339438261258E-9,23.0,60.86956521739131,11.15879828326181,23.0,61640.0,10.0,2.0,0.0
24.0,0.287084881,4.0273909825252165E-9,24.0,62.5,12.903225806451617,24.0,61688.0,10.0,1.0,0.0
25.0,0.293967177,4.137252171503173E-9,25.0,64.0,14.448669201520906,25.0,61704.0,10.0,2.0,0.0
26.0,0.300739471,4.245357412973212E-9,26.0,65.38461538461539,15.827338129496427,26.0,61704.0,10.0,1.0,0.0
27.0,0.307604579,4.3549868563604026E-9,27.0,66.66666666666666,17.064846416382238,27.0,61728.0,10.0,1.0,0.0
28.0,0.313784691,4.4538182397145365E-9,28.0,64.28571428571429,13.043478260869573,28.0,61816.0,10.0,1.0,0.0
29.0,0.320564171,4.562234622269041E-9,29.0,65.51724137931035,14.201183431952652,29.0,61816.0,10.0,1.0,0.0
30.0,0.327373389,4.671126570262843E-9,30.0,66.66666666666666,15.254237288135602,30.0,61816.0,10.0,1.0,0.0
31.0,0.333554403,4.769972378259732E-9,31.0,67.74193548387096,22.110552763819097,31.0,61816.0,10.0,1.0,0.0
32.0,0.340808065,4.885986817325983E-9,32.0,68.75,27.601809954751133,32.0,61824.0,10.0,1.0,0.0
33.0,0.347628821,4.995077395484679E-9,33.0,69.6969696969697,28.571428571428577,33.0,61824.0,10.0,1.0,0.0
34.0,0.354418875,5.103690981260604E-9,34.0,70.58823529411765,29.460580912863072,34.0,61832.0,10.0,1.0,0.0
35.0,0.360625695,5.202975166108873E-9,35.0,71.42857142857143,30.2788844621514,35.0,61832.0,10.0,1.0,0.0
36.0,0.367675335,5.3188049798376035E-9,36.0,72.22222222222221,31.034482758620708,36.0,63512.0,10.0,1.0,0.0
37.0,0.374555039,5.4318426431549925E-9,37.0,72.97297297297297,35.54006968641115,37.0,63512.0,10.0,1.0,0.0
38.0,0.381385053,5.54406386996723E-9,38.0,73.68421052631578,36.241610738255034,38.0,63512.0,10.0,1.0,0.0
39.0,0.387510337,5.644743990935386E-9,39.0,74.35897435897436,36.89320388349516,39.0,63536.0,10.0,1.0,0.0
40.0,0.394252187,5.7555584892589186E-9,40.0,75.0,37.50000000000002,40.0,63536.0,10.0,1.0,0.0
41.0,0.400897537,5.864786835548778E-9,41.0,75.60975609756098,38.0664652567976,41.0,63536.0,10.0,1.0,0.0
42.0,0.406985379,5.964876728393137E-9,42.0,76.19047619047619,38.59649122807018,42.0,63552.0,10.0,1.0,0.0
43.0,0.413686309,6.0750463690732916E-9,43.0,76.74418604651163,39.093484419263454,43.0,63552.0,10.0,1.0,0.0
44.0,0.420525123,6.18748295340687E-9,44.0,77.27272727272727,39.56043956043955,44.0,63552.0,10.0,1.0,0.0
45.0,0.427167141,6.2966840249672534E-9,45.0,77.77777777777779,40.00000000000002,45.0,63552.0,10.0,1.0,0.0
