learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
1.0,0.159382475,4.6747600777695576E-9,1.0,0.0,0.0,1.0,113376.0,10.0,9.0,0.0,0.0
2.0,0.300815738,9.20300064465652E-9,2.0,50.0,0.0,2.0,123760.0,10.0,9.0,0.0,0.0
3.0,0.325417981,1.0026785863370946E-8,3.0,33.33333333333333,-50.000000000000014,3.0,129432.0,10.0,9.0,0.0,0.0
4.0,0.341773891,1.0576108286958189E-8,4.0,50.0,-33.33333333333333,4.0,129824.0,10.0,9.0,0.0,0.0
5.0,0.375744993,1.1776948209949253E-8,5.0,40.0,-36.363636363636374,5.0,136640.0,10.0,9.0,0.0,0.0
6.0,0.393101361,1.2398989370512881E-8,6.0,50.0,-28.571428571428587,6.0,138536.0,10.0,9.0,0.0,0.0
7.0,0.408477747,1.2953760713423708E-8,7.0,42.857142857142854,-40.0,7.0,139464.0,10.0,9.0,0.0,0.0
8.0,0.423652335,1.3501471136098523E-8,8.0,37.5,-42.857142857142854,8.0,139520.0,10.0,8.0,0.0,0.0
9.0,0.438191089,1.402623181484019E-8,9.0,44.44444444444444,-36.36363636363636,9.0,139520.0,10.0,8.0,0.0,0.0
10.0,0.452874275,1.4556327164804358E-8,10.0,40.0,-36.363636363636374,10.0,139552.0,10.0,4.0,0.0,0.0
11.0,0.467296613,1.507703517608138E-8,11.0,36.36363636363637,-35.08771929824562,11.0,139560.0,10.0,4.0,0.0,0.0
12.0,0.481942425,1.560969136860429E-8,12.0,33.33333333333333,-45.454545454545446,12.0,140584.0,10.0,4.0,0.0,0.0
13.0,0.496130857,1.612577175388527E-8,13.0,30.76923076923077,-44.44444444444444,13.0,140600.0,10.0,4.0,0.0,0.0
14.0,0.510906125,1.6663564260856564E-8,14.0,28.57142857142857,-52.17391304347827,14.0,140696.0,10.0,4.0,0.0,0.0
15.0,0.524880921,1.7172221063240953E-8,15.0,26.666666666666668,-51.37614678899083,15.0,140696.0,10.0,4.0,0.0,0.0
16.0,0.539238543,1.7701111524752862E-8,16.0,25.0,-57.377049180327866,16.0,142392.0,10.0,3.0,0.0,0.0
17.0,0.553239051,1.8216875984720476E-8,17.0,23.52941176470588,-56.737588652482295,17.0,142400.0,10.0,3.0,0.0,0.0
18.0,0.567836131,1.875473839056368E-8,18.0,22.22222222222222,-61.53846153846153,18.0,142432.0,10.0,2.0,0.0,0.0
19.0,0.581954329,1.9275042964027576E-8,19.0,21.052631578947366,-61.016949152542374,19.0,142456.0,10.0,2.0,0.0,0.0
20.0,0.597013724,1.9830283248109953E-8,20.0,25.0,-56.250000000000014,20.0,142520.0,10.0,2.0,0.0,0.0
21.0,0.610413904,2.0324348232125246E-8,21.0,28.57142857142857,-52.17391304347827,21.0,142520.0,10.0,2.0,0.0,0.0
22.0,0.624413618,2.0840518050264156E-8,22.0,31.818181818181817,-48.64864864864864,22.0,142520.0,10.0,1.0,0.0,0.0
23.0,0.637817246,2.133479338280443E-8,23.0,30.434782608695656,-52.06611570247932,23.0,142544.0,10.0,2.0,0.0,0.0
24.0,0.652282104,2.186838250125862E-8,24.0,33.33333333333333,-48.8372093023256,24.0,142592.0,10.0,1.0,0.0,0.0
25.0,0.665631688,2.236088592157182E-8,25.0,36.0,-45.98540145985402,25.0,142608.0,10.0,2.0,0.0,0.0
26.0,0.679504018,2.2872674901117057E-8,26.0,38.46153846153847,-43.44827586206897,26.0,142608.0,10.0,1.0,0.0,0.0
27.0,0.692859946,2.3365495293815106E-8,27.0,40.74074074074074,-41.17647058823527,27.0,142632.0,10.0,1.0,0.0,0.0
28.0,0.706648014,2.3874575115057333E-8,28.0,39.285714285714285,-41.6666666666667,28.0,142720.0,10.0,1.0,0.0,0.0
29.0,0.719695034,2.435629413539751E-8,29.0,41.37931034482759,-39.660056657223784,29.0,142720.0,10.0,1.0,0.0,0.0
30.0,0.733666182,2.4872133593571684E-8,30.0,43.333333333333336,-37.8378378378378,30.0,142720.0,10.0,1.0,0.0,0.0
31.0,0.747068994,2.5366989082905154E-8,31.0,41.935483870967744,-40.2010050251256,31.0,142720.0,10.0,1.0,0.0,0.0
32.0,0.761609314,2.590387346924593E-8,32.0,43.75,-30.316742081447963,32.0,142728.0,10.0,1.0,0.0,0.0
33.0,0.774781868,2.6390254688560963E-8,33.0,45.45454545454545,-28.571428571428587,33.0,142728.0,10.0,1.0,0.0,0.0
34.0,0.788871826,2.6910539143077203E-8,34.0,47.05882352941176,-26.970954356846487,34.0,142736.0,10.0,0.0,0.0,0.0
35.0,0.802215614,2.7403270594850183E-8,35.0,48.57142857142857,-25.498007968127485,35.0,142736.0,10.0,0.0,0.0,0.0
36.0,0.81646187,2.7935518162424366E-8,36.0,50.0,-24.137931034482722,36.0,144416.0,10.0,0.0,0.0,0.0
37.0,0.830174218,2.844781864816116E-8,37.0,51.35135135135135,-16.027874564459925,37.0,144416.0,10.0,0.0,0.0,0.0
38.0,0.844649344,2.898861691851583E-8,38.0,52.63157894736842,-14.765100671140932,38.0,144416.0,10.0,0.0,0.0,0.0
39.0,0.858304128,2.9498851563193736E-8,39.0,53.84615384615385,-13.592233009708723,39.0,144440.0,10.0,0.0,0.0,0.0
40.0,0.872355376,3.0023900771629485E-8,40.0,55.00000000000001,-12.499999999999952,40.0,144440.0,10.0,0.0,0.0,0.0
41.0,0.88635192,3.0546905870396235E-8,41.0,56.09756097560976,-11.480362537764313,41.0,144440.0,10.0,0.0,0.0,0.0
42.0,0.899903418,3.105333714738075E-8,42.0,57.14285714285714,-10.526315789473664,42.0,144456.0,10.0,1.0,0.0,0.0
43.0,0.914179996,3.1586865295155185E-8,43.0,58.139534883720934,-9.631728045325788,43.0,144456.0,10.0,1.0,0.0,0.0
44.0,0.927587736,3.2087924210536813E-8,44.0,59.09090909090909,-8.791208791208792,44.0,144456.0,10.0,1.0,0.0,0.0
45.0,0.941592036,3.261127709243033E-8,45.0,60.0,-7.99999999999998,45.0,144456.0,10.0,1.0,0.0,0.0
46.0,0.954890562,3.310825458556E-8,46.0,60.86956521739131,-7.253886010362671,46.0,144456.0,10.0,1.0,0.0,0.0
47.0,0.968944128,3.36334485807601E-8,47.0,61.702127659574465,-6.549118387909347,47.0,144456.0,10.0,1.0,0.0,0.0
48.0,0.982300654,3.413259358437939E-8,48.0,62.5,-5.882352941176482,48.0,144456.0,10.0,1.0,0.0,0.0
49.0,0.996298781,3.465574474649297E-8,49.0,61.224489795918366,-7.879490150637265,49.0,144464.0,10.0,1.0,0.0,0.0
50.0,1.009659647,3.515510724313971E-8,50.0,62.0,-7.223476297968384,50.0,144472.0,10.0,1.0,0.0,0.0
51.0,1.023569067,3.56749719508696E-8,51.0,62.745098039215684,-6.6006600660065615,51.0,144472.0,10.0,1.0,0.0,0.0
52.0,1.036991885,3.617664990411865E-8,52.0,63.46153846153846,-6.008583690987122,52.0,144472.0,10.0,1.0,0.0,0.0
53.0,1.051035659,3.670153609390475E-8,53.0,62.264150943396224,-7.723577235772415,53.0,144472.0,10.0,1.0,0.0,0.0
54.0,1.064419571,3.720175993502555E-8,54.0,62.96296296296296,-1.3133208255159363,54.0,144472.0,10.0,1.0,0.0,0.0
55.0,1.078217519,3.7717458375671685E-8,55.0,63.63636363636363,-0.7326007326007289,55.0,144472.0,10.0,1.0,0.0,0.0
56.0,1.091596385,3.8217493622493426E-8,56.0,62.5,-2.4390243902439246,56.0,144472.0,10.0,1.0,0.0,0.0
57.0,1.105384691,3.8732831693295815E-8,57.0,63.1578947368421,-1.8723404255319278,57.0,144472.0,10.0,1.0,0.0,0.0
58.0,1.118593975,3.922652881121885E-8,58.0,63.793103448275865,-1.331114808652198,58.0,144472.0,10.0,1.0,0.0,0.0
59.0,1.132820503,3.9758274876835456E-8,59.0,64.40677966101694,-0.8136696501220588,59.0,144480.0,10.0,1.0,0.0,0.0
60.0,1.146377133,4.026498211176446E-8,60.0,65.0,4.545454545454531,60.0,144480.0,10.0,1.0,0.0,0.0
61.0,1.160460573,4.0791379965854196E-8,61.0,65.57377049180327,9.21332388377035,61.0,144480.0,10.0,1.0,0.0,0.0
62.0,1.173756253,4.128833365193259E-8,62.0,66.12903225806451,9.70873786407768,62.0,144480.0,10.0,1.0,0.0,0.0
63.0,1.187651103,4.180768256263188E-8,63.0,66.66666666666666,10.183299389002043,63.0,144480.0,10.0,1.0,0.0,0.0
64.0,1.202075559,4.23468265988057E-8,64.0,67.1875,10.638297872340425,64.0,144480.0,10.0,1.0,0.0,0.0
65.0,1.215304031,4.2841268246136616E-8,65.0,67.6923076923077,14.740787008119918,65.0,144480.0,10.0,1.0,0.0,0.0
66.0,1.22926117,4.336294533773016E-8,66.0,68.18181818181817,15.177478580171327,66.0,144480.0,10.0,1.0,0.0,0.0
67.0,1.242816452,4.386960218835623E-8,67.0,68.65671641791045,15.596880623875235,67.0,144480.0,10.0,1.0,0.0,0.0
68.0,1.256976834,4.439908105453685E-8,68.0,67.64705882352942,13.82488479262676,68.0,144536.0,10.0,1.0,0.0,0.0
69.0,1.270236904,4.4894895844637534E-8,69.0,68.11594202898551,14.237288135593234,69.0,144536.0,10.0,1.0,0.0,0.0
70.0,1.284476472,4.5427335599408395E-8,70.0,68.57142857142857,17.82283884738528,70.0,144536.0,10.0,1.0,0.0,0.0
71.0,1.297762916,4.5924136554685744E-8,71.0,69.01408450704226,18.21989528795812,71.0,144536.0,10.0,1.0,0.0,0.0
72.0,1.311655895,4.6443616803791385E-8,72.0,69.44444444444444,21.428571428571434,72.0,144536.0,10.0,1.0,0.0,0.0
73.0,1.324819209,4.693581373547722E-8,73.0,69.86301369863014,21.811100292112954,73.0,144536.0,10.0,1.0,0.0,0.0
74.0,1.338712863,4.745531922389029E-8,74.0,70.27027027027027,22.179732313575514,74.0,144536.0,10.0,1.0,0.0,0.0
75.0,1.351959157,4.795061890776994E-8,75.0,70.66666666666667,22.535211267605643,75.0,144536.0,10.0,1.0,0.0,0.0
76.0,1.366092527,4.8485230358671404E-8,76.0,71.05263157894737,22.878228782287835,76.0,146216.0,10.0,1.0,0.0,0.0
77.0,1.37954856,4.8994220735737026E-8,77.0,71.42857142857143,25.766871165644172,77.0,146216.0,10.0,1.0,0.0,0.0
78.0,1.393526256,4.952294363330636E-8,78.0,71.7948717948718,26.098191214470294,78.0,146216.0,10.0,1.0,0.0,0.0
79.0,1.406894534,5.0028642240679934E-8,79.0,70.88607594936708,24.386183936745713,79.0,146224.0,10.0,1.0,0.0,0.0
80.0,1.420979738,5.056149005725153E-8,80.0,71.25,24.71358428805239,80.0,146232.0,10.0,1.0,0.0,0.0
81.0,1.434361562,5.106772878124483E-8,81.0,71.60493827160494,25.03018108651912,81.0,146232.0,10.0,1.0,0.0,0.0
82.0,1.448530614,5.160374859473772E-8,82.0,71.95121951219512,25.336500395882823,82.0,146232.0,10.0,1.0,0.0,0.0
83.0,1.461839586,5.2107258848365814E-8,83.0,71.08433734939759,23.561013046815013,83.0,146240.0,10.0,1.0,0.0,0.0
84.0,1.476131592,5.2647959630207885E-8,84.0,71.42857142857143,23.867069486404823,84.0,146240.0,10.0,1.0,0.0,0.0
