learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.005325773,5.298395705512828E-11,1.0,0.0,0.0,1.0,38456.0,10.0,0.0
2.0,0.017165249,1.9047055527360902E-10,2.0,0.0,0.0,2.0,44888.0,10.0,0.0
3.0,0.024457691,2.857946569700208E-10,3.0,33.33333333333333,0.0,3.0,50528.0,10.0,0.0
4.0,0.030080491,3.598640286239485E-10,4.0,25.0,0.0,4.0,50920.0,10.0,0.0
5.0,0.035823718,4.4185514285539586E-10,5.0,40.0,0.0,5.0,55184.0,10.0,0.0
6.0,0.041873673,5.285632166183657E-10,6.0,33.33333333333333,0.0,6.0,55400.0,10.0,0.0
7.0,0.047040379,6.038529415221677E-10,7.0,28.57142857142857,0.0,7.0,56328.0,10.0,0.0
8.0,0.053252181,6.944618953226341E-10,8.0,37.5,9.090909090909092,8.0,56384.0,10.0,0.0
9.0,0.055936729,7.336202725064423E-10,9.0,44.44444444444444,15.09433962264151,9.0,56384.0,10.0,0.0
10.0,0.058750412,7.746855807014637E-10,10.0,50.0,19.35483870967742,10.0,56416.0,10.0,0.0
11.0,0.061444668,8.140134446529878E-10,11.0,54.54545454545454,22.53521126760562,11.0,56424.0,10.0,0.0
12.0,0.063897205,8.504626539163291E-10,12.0,50.0,7.692307692307685,12.0,57448.0,10.0,0.0
13.0,0.06671361,8.923312683941589E-10,13.0,53.84615384615385,11.363636363636358,13.0,57464.0,10.0,0.0
14.0,0.069404897,9.324067202852005E-10,14.0,50.0,0.0,14.0,57560.0,10.0,0.0
15.0,0.071565046,9.645730954532823E-10,15.0,53.333333333333336,3.669724770642203,15.0,57560.0,10.0,0.0
16.0,0.074290267,1.0051651324642202E-9,16.0,56.25,12.5,16.0,57576.0,10.0,0.0
17.0,0.077024408,1.0458956910442147E-9,17.0,58.82352941176471,15.602836879432616,17.0,57584.0,10.0,0.0
18.0,0.079824635,1.0876339156822198E-9,18.0,61.111111111111114,22.222222222222232,18.0,57616.0,10.0,0.0
19.0,0.082031413,1.1205403061811295E-9,19.0,63.1578947368421,24.858757062146882,19.0,57640.0,10.0,0.0
20.0,0.084736181,1.1609172615843515E-9,20.0,65.0,27.083333333333336,20.0,57704.0,10.0,0.0
21.0,0.087397447,1.2006448162574735E-9,21.0,66.66666666666666,28.985507246376795,21.0,57704.0,10.0,0.0
22.0,0.089594758,1.233446420037912E-9,22.0,68.18181818181817,30.630630630630623,22.0,57704.0,10.0,0.0
23.0,0.092265352,1.273329804941184E-9,23.0,69.56521739130434,35.85657370517927,23.0,57728.0,10.0,0.0
24.0,0.095034291,1.3147162847800387E-9,24.0,70.83333333333334,37.31343283582089,24.0,57776.0,10.0,0.0
25.0,0.0977302,1.3550223666015598E-9,25.0,72.0,38.596491228070164,25.0,57792.0,10.0,0.0
26.0,0.099902876,1.3875056798838906E-9,26.0,73.07692307692307,39.73509933774833,26.0,57792.0,10.0,0.0
27.0,0.102546695,1.4270493878693216E-9,27.0,74.07407407407408,40.75235109717867,27.0,57816.0,10.0,0.0
28.0,0.105231088,1.4672610748041835E-9,28.0,71.42857142857143,36.000000000000014,28.0,57904.0,10.0,0.0
29.0,0.107316676,1.498502778880712E-9,29.0,72.41379310344827,36.95652173913043,29.0,57904.0,10.0,0.0
30.0,0.11005237,1.5394829448540179E-9,30.0,73.33333333333333,37.82383419689118,30.0,57904.0,10.0,0.0
31.0,0.112353224,1.5739492918944195E-9,31.0,74.19354838709677,42.05607476635514,31.0,57904.0,10.0,0.0
32.0,0.114055911,1.5994587370836074E-9,32.0,75.0,45.53191489361702,32.0,57912.0,10.0,0.0
33.0,0.116326312,1.6334736029203569E-9,33.0,75.75757575757575,46.34146341463415,33.0,57912.0,10.0,0.0
34.0,0.118524853,1.6664164212739304E-9,34.0,76.47058823529412,47.081712062256784,34.0,57920.0,10.0,0.0
35.0,0.120741053,1.6996238411197235E-9,35.0,77.14285714285715,47.761194029850756,35.0,57920.0,10.0,0.0
36.0,0.122446317,1.7251754238270226E-9,36.0,77.77777777777779,48.38709677419356,36.0,57920.0,10.0,0.0
37.0,0.124741061,1.7595597426820963E-9,37.0,78.37837837837837,51.31578947368421,37.0,57920.0,10.0,0.0
38.0,0.126971518,1.7929807886377807E-9,38.0,78.94736842105263,51.8987341772152,38.0,57920.0,10.0,0.0
39.0,0.128672008,1.8184713960211312E-9,39.0,79.48717948717949,52.43902439024388,39.0,57944.0,10.0,0.0
40.0,0.130880428,1.8515759524475371E-9,40.0,80.0,52.94117647058824,40.0,57944.0,10.0,0.0
41.0,0.133130239,1.8853009663480854E-9,41.0,80.48780487804879,53.40909090909092,41.0,57944.0,10.0,0.0
