learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.030201216,8.862528570493063E-10,1.0,0.0,0.0,1.0,113432.0,10.0,0.0
2.0,0.054429138,1.662304398206373E-9,2.0,0.0,0.0,2.0,123816.0,10.0,0.0
3.0,0.065735851,2.040970284541448E-9,3.0,33.33333333333333,0.0,3.0,129456.0,10.0,0.0
4.0,0.076427663,2.400127179084553E-9,4.0,25.0,0.0,4.0,129848.0,10.0,0.0
5.0,0.090062283,2.8801484687791933E-9,5.0,40.0,0.0,5.0,136088.0,10.0,0.0
6.0,0.100904291,3.2624587290816838E-9,6.0,33.33333333333333,0.0,6.0,136304.0,10.0,0.0
7.0,0.111080871,3.623747840606504E-9,7.0,28.57142857142857,0.0,7.0,137232.0,10.0,0.0
8.0,0.120096387,3.9439474487387475E-9,8.0,37.5,9.090909090909092,8.0,137288.0,10.0,0.0
9.0,0.125389884,4.1319539549719134E-9,9.0,44.44444444444444,15.09433962264151,9.0,137288.0,10.0,0.0
10.0,0.130628899,4.3180688218275715E-9,10.0,50.0,19.35483870967742,10.0,137320.0,10.0,0.0
11.0,0.136381654,4.522446096229057E-9,11.0,54.54545454545454,22.53521126760562,11.0,137328.0,10.0,0.0
12.0,0.141650376,4.7110229366479655E-9,12.0,50.0,7.692307692307685,12.0,138352.0,10.0,0.0
13.0,0.147339651,4.914675658788119E-9,13.0,53.84615384615385,11.363636363636358,13.0,138368.0,10.0,0.0
14.0,0.152414067,5.0964449737924674E-9,14.0,50.0,0.0,14.0,138464.0,10.0,0.0
15.0,0.157329753,5.272528463399245E-9,15.0,53.333333333333336,3.669724770642203,15.0,138464.0,10.0,0.0
16.0,0.161593078,5.425261548765832E-9,16.0,50.0,-4.918032786885246,16.0,138480.0,10.0,0.0
17.0,0.165887435,5.57911523928038E-9,17.0,52.94117647058824,-1.4925373134328348,17.0,138488.0,10.0,0.0
18.0,0.170813962,5.755658433263501E-9,18.0,50.0,-8.000000000000012,18.0,138520.0,10.0,0.0
19.0,0.175092371,5.909002738003102E-9,19.0,52.63157894736842,-4.907975460122701,19.0,138544.0,10.0,0.0
20.0,0.180033346,6.086176163860494E-9,20.0,55.00000000000001,-2.2727272727272494,20.0,138608.0,10.0,0.0
21.0,0.184412827,6.243215544194812E-9,21.0,57.14285714285714,0.0,21.0,138608.0,10.0,0.0
22.0,0.1891977,6.41479146629572E-9,22.0,59.09090909090909,1.980198019802,22.0,138608.0,10.0,0.0
23.0,0.19348446,6.5685326737662166E-9,23.0,60.86956521739131,11.15879828326181,23.0,138632.0,10.0,0.0
24.0,0.197766896,6.722171982170808E-9,24.0,62.5,12.903225806451617,24.0,138680.0,10.0,0.0
25.0,0.202602076,6.895661888188786E-9,25.0,64.0,14.448669201520906,25.0,138696.0,10.0,0.0
26.0,0.206894512,7.049677730045385E-9,26.0,65.38461538461539,15.827338129496427,26.0,138696.0,10.0,0.0
27.0,0.211774765,7.224815189904637E-9,27.0,66.66666666666666,17.064846416382238,27.0,138720.0,10.0,0.0
