learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
10000.0,0.549695236,8.112599303151172E-9,10000.0,91.3,82.60292270898489,10000.0,57048.0,10.0,3886.7,323.6840383254427,3288.0,0.0
20000.0,1.037782806,1.5358396842094763E-8,20000.0,90.10000000000001,80.20775855864501,20000.0,57384.0,10.0,3771.5,260.0071046037866,3288.0,0.0
30000.0,1.515318331,2.213622856880228E-8,30000.0,89.60000000000001,79.19975039700476,30000.0,54864.0,10.0,3608.8999999999996,812.4285739545215,3288.0,0.0
40000.0,1.989053323,2.9066011353979513E-8,40000.0,93.2,86.3808787537703,40000.0,56544.0,10.0,5339.1,622.5280261428663,3288.0,0.0
50000.0,2.467567663,3.6460850384111214E-8,50000.0,91.3,82.59846866524254,50000.0,59736.0,10.0,11325.199999999999,1437.1122418083967,3288.0,0.0
60000.0,2.954369732,4.4089552148928254E-8,60000.0,91.2,82.39662015106902,60000.0,60576.0,10.0,21307.5,1429.891777179114,3288.0,0.0
70000.0,3.43636772,5.149632966679832E-8,70000.0,94.5,88.96424415104939,70000.0,59400.0,10.0,22789.9,3326.8509316035056,3288.0,0.0
80000.0,3.917778596,5.904054575217268E-8,80000.0,95.89999999999999,91.79724387394164,80000.0,60576.0,10.0,31243.8,4354.254955532321,3288.0,0.0
90000.0,4.400340692,6.641404585999748E-8,90000.0,93.10000000000001,86.20033119205141,90000.0,59064.0,10.0,31372.2,6172.558237518343,3288.0,0.0
100000.0,4.87516021,7.373114957670372E-8,100000.0,89.0,77.99436655783882,100000.0,59568.0,10.0,31128.0,6673.421291461623,3288.0,0.0
110000.0,5.357411643,8.135141650712119E-8,110000.0,87.6,75.16612659667787,110000.0,61080.0,10.0,41152.4,6685.565240293615,3288.0,0.0
120000.0,5.835849925,8.870349265480416E-8,120000.0,92.80000000000001,85.58425800974665,120000.0,59400.0,10.0,30652.0,5921.699701568423,3288.0,0.0
130000.0,6.309063251,9.593414450087276E-8,130000.0,93.4,86.79619730482379,130000.0,59064.0,10.0,28437.699999999997,7732.059334786993,3288.0,0.0
140000.0,6.785899607,1.0237836152685808E-7,140000.0,85.39999999999999,70.70919851539773,140000.0,52240.0,10.0,21087.6,7360.303381730342,2976.8,311.2
150000.0,7.257870962,1.0956952349448579E-7,150000.0,89.9,79.76941134996115,150000.0,58896.0,10.0,7462.7,659.3851521598655,3288.0,0.0
160000.0,7.729013782,1.1701425834662593E-7,160000.0,89.9,79.80549290592958,160000.0,61080.0,10.0,17414.6,644.5685757845234,3288.0,0.0
170000.0,8.201988297,1.2444682404480876E-7,170000.0,93.2,86.39978239651836,170000.0,60744.0,10.0,27381.100000000002,639.3013799800876,3288.0,0.0
180000.0,8.679652184,1.3193232086127005E-7,180000.0,90.4,80.78301218276958,180000.0,60576.0,10.0,33659.2,3574.6645959213192,3288.0,0.0
190000.0,9.154558475,1.3958100568362825E-7,190000.0,92.30000000000001,84.58112729981498,190000.0,62256.0,10.0,43666.2,3599.701536393137,3288.0,0.0
200000.0,9.631333538,1.4723906686998287E-7,200000.0,89.5,78.99579915983198,200000.0,62088.0,10.0,51702.8,5565.025729799759,3288.0,0.0
210000.0,10.108431348,1.5500598954393842E-7,210000.0,90.5,80.97686787133154,210000.0,62928.0,10.0,61441.500000000015,5798.374148079022,3288.0,0.0
220000.0,10.578999275,1.6240073687590663E-7,220000.0,89.4,78.80271325270365,220000.0,60744.0,10.0,63081.9,9391.355836855742,3288.0,0.0
