learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10000.0,0.769174123,6.691816078406034E-8,10000.0,88.2,76.39546792984252,10000.0,336296.0,10.0,4.0
20000.0,1.467695809,1.8580093345516878E-7,20000.0,77.3,54.673610057267005,20000.0,657872.0,10.0,3.0
30000.0,2.121801236,3.211099873288203E-7,30000.0,88.7,77.39837268283316,30000.0,799616.0,10.0,6.0
40000.0,2.660422882,4.6142829972521086E-7,40000.0,91.7,83.4,40000.0,1007008.0,10.0,4.0
50000.0,3.146980734,6.088163609560724E-7,50000.0,93.30000000000001,86.5917405121555,50000.0,1170928.0,10.0,2.0
60000.0,3.615830777,7.797718746135074E-7,60000.0,92.7,85.39602771953973,60000.0,1409456.0,10.0,5.0
70000.0,4.085269563,9.812584059965466E-7,70000.0,93.2,86.3574351978172,70000.0,1659088.0,10.0,1.0
80000.0,4.532883204,1.2035247333203297E-6,80000.0,94.5,88.99101666960239,80000.0,1919432.0,10.0,3.0
90000.0,4.974254982,1.4389403362734533E-6,90000.0,94.6,89.19995679982719,90000.0,2061736.0,10.0,3.0
100000.0,5.416708725,1.690272000758118E-6,100000.0,89.60000000000001,79.19200973173699,100000.0,2195744.0,10.0,4.0
110000.0,5.883486657,1.9846871627860682E-6,110000.0,88.8,77.5638328986326,110000.0,2438104.0,10.0,3.0
120000.0,6.353100237,2.3071403583260543E-6,120000.0,93.7,87.38304280953602,120000.0,2654168.0,10.0,2.0
130000.0,6.841014814,2.6683718114542816E-6,130000.0,91.60000000000001,83.19516020613938,130000.0,2861832.0,10.0,3.0
140000.0,7.307468234,3.0312899368115533E-6,140000.0,85.0,69.92915308466748,140000.0,3007480.0,10.0,3.0
150000.0,7.771983913,3.406580605398168E-6,150000.0,75.6,51.09593214360159,150000.0,3122984.0,10.0,4.0
160000.0,8.271859555,3.83506969043502E-6,160000.0,85.3,70.58635206735924,160000.0,3313448.0,10.0,3.0
170000.0,8.779707178,4.294647239141167E-6,170000.0,89.9,79.79692913322826,170000.0,3498064.0,10.0,2.0
180000.0,9.301537414,4.793114399852928E-6,180000.0,91.60000000000001,83.18163434470442,180000.0,3692408.0,10.0,5.0
190000.0,9.851757481,5.358629069033682E-6,190000.0,91.8,83.58772361726572,190000.0,3972920.0,10.0,1.0
