learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
10000.0,2.421619025,1.4355790149855118E-7,10000.0,90.4,80.80552800793373,10000.0,229152.0,10.0,3.0,0.0,0.0
20000.0,3.969890599,3.073879504939997E-7,20000.0,89.0,78.02707064896049,20000.0,409024.0,10.0,0.0,0.0,0.0
30000.0,5.130746627,3.8300468485563173E-7,30000.0,90.3,80.59751648210971,30000.0,251792.0,10.0,1.0,0.0,0.0
40000.0,6.241314693,5.296772088784477E-7,40000.0,90.9,81.78863610893198,40000.0,510512.0,10.0,2.0,0.0,0.0
50000.0,7.257384933,6.52358340261231E-7,50000.0,92.60000000000001,85.20065117134847,50000.0,466720.0,10.0,2.0,0.0,0.0
60000.0,8.2718123,8.103703506719094E-7,60000.0,92.5,84.9963991357926,60000.0,602104.0,10.0,4.0,0.0,0.0
70000.0,9.191394339,1.0034148214231267E-6,70000.0,93.5,86.95460201501226,70000.0,811464.0,10.0,0.0,0.0,0.0
80000.0,10.127613956,1.2534298687820158E-6,80000.0,95.1,90.19576457029436,80000.0,1032264.0,10.0,1.0,0.0,0.0
90000.0,11.082975225,1.4968139288103064E-6,90000.0,93.5,87.00062397004945,90000.0,984752.0,10.0,3.0,0.0,0.0
100000.0,12.06438784,1.7838745440608368E-6,100000.0,91.7,83.386709367494,100000.0,1130640.0,10.0,3.0,0.0,0.0
110000.0,12.967591449,2.0995951518153006E-6,110000.0,92.2,84.35148961781523,110000.0,1351200.0,10.0,4.0,0.0,0.0
120000.0,13.901073159,2.481342451688012E-6,120000.0,93.7,87.37879637791491,120000.0,1580784.0,10.0,3.0,0.0,0.0
130000.0,14.950385177,2.71769313076897E-6,130000.0,93.89999999999999,87.79795005560933,130000.0,870672.0,10.0,2.0,0.0,0.0
140000.0,15.805800399,2.914232775097955E-6,140000.0,89.8,79.55182409757388,140000.0,888128.0,10.0,3.0,0.0,0.0
150000.0,16.947528072,3.054978106764847E-6,150000.0,92.2,84.37550078523125,150000.0,476512.0,10.0,0.0,0.0,0.0
160000.0,17.931385667,3.231717996869224E-6,160000.0,92.30000000000001,84.60172460684404,160000.0,694392.0,10.0,3.0,0.0,0.0
170000.0,18.946578045,3.4436338955851687E-6,170000.0,89.3,78.60085596576137,170000.0,806896.0,10.0,2.0,0.0,0.0
180000.0,20.025150081,3.7335388551500484E-6,180000.0,91.7,83.38098785010052,180000.0,1038984.0,10.0,1.0,0.0,0.0
190000.0,21.021735577,4.0586651348676994E-6,190000.0,94.0,87.98774750245249,190000.0,1261072.0,10.0,2.0,0.0,0.0
200000.0,22.064190728,4.466852203046426E-6,200000.0,92.4,84.7978717020383,200000.0,1513576.0,10.0,2.0,0.0,0.0
210000.0,23.027098967,4.900874906730566E-6,210000.0,94.1,88.18563373061642,210000.0,1742328.0,10.0,3.0,0.0,0.0
220000.0,23.990951152,5.386461624947922E-6,220000.0,94.3,88.59342981557377,220000.0,1947416.0,10.0,1.0,0.0,0.0
230000.0,25.011757707,5.967947888539904E-6,230000.0,94.3,88.6,230000.0,2201904.0,10.0,1.0,0.0,0.0
240000.0,26.079562339,6.576382656049768E-6,240000.0,92.60000000000001,85.19946718081852,240000.0,2202544.0,10.0,1.0,0.0,0.0
250000.0,27.28053443,7.305667054705695E-6,250000.0,88.8,77.61074684151608,250000.0,2347288.0,10.0,4.0,0.0,0.0
260000.0,28.464393541,7.869756098116023E-6,260000.0,93.2,86.39869427465038,260000.0,1841832.0,10.0,1.0,0.0,0.0
270000.0,29.512224761,8.437969843308502E-6,270000.0,94.19999999999999,88.36392817734978,270000.0,2096152.0,10.0,1.0,0.0,0.0
280000.0,30.576638094,9.06890479015016E-6,280000.0,92.30000000000001,84.60012319901442,280000.0,2291272.0,10.0,3.0,0.0,0.0
290000.0,31.717667263,9.700747234730577E-6,290000.0,91.60000000000001,83.16909846478134,290000.0,2140496.0,10.0,3.0,0.0,0.0
300000.0,32.808503242,1.0385486461360362E-5,300000.0,92.5,85.00155983777688,300000.0,2426432.0,10.0,3.0,0.0,0.0
310000.0,33.911890806,1.1132038091753877E-5,310000.0,90.7,81.39017401187829,310000.0,2615376.0,10.0,3.0,0.0,0.0
320000.0,35.07812275,1.1865878876063962E-5,320000.0,91.8,83.57536304456686,320000.0,2432312.0,10.0,4.0,0.0,0.0
330000.0,36.135222553,1.2587830895719375E-5,330000.0,92.5,84.96391339214114,330000.0,2639944.0,10.0,5.0,0.0,0.0
