learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10000.0,0.45202,4.66816085908148E-9,10000.0,77.3,54.63157642280972,10000.0,39920.0,10.0,0.0
20000.0,0.847803,8.755543517569701E-9,20000.0,25.8,-48.63305663280023,20000.0,39920.0,10.0,0.0
30000.0,1.2204,1.2603476643562316E-8,30000.0,88.0,75.99875193510063,30000.0,39920.0,10.0,0.0
40000.0,1.587465,1.6394278965890407E-8,40000.0,90.3,80.58384575967206,40000.0,39920.0,10.0,0.0
50000.0,1.969227,2.0336862094700336E-8,50000.0,93.10000000000001,86.19392532714394,50000.0,39920.0,10.0,0.0
60000.0,2.340049,2.4166464205417367E-8,60000.0,88.4,76.79703001984254,60000.0,39920.0,10.0,0.0
70000.0,2.704813,2.793350333554877E-8,70000.0,92.10000000000001,84.1638936775849,70000.0,39920.0,10.0,0.0
80000.0,3.071831,3.172382027324703E-8,80000.0,93.89999999999999,87.79589942220585,80000.0,39920.0,10.0,0.0
90000.0,3.446117,3.558919626391596E-8,90000.0,90.60000000000001,81.2000751996992,90000.0,39920.0,10.0,0.0
100000.0,3.824462,3.949649089740382E-8,100000.0,86.9,73.79077435257211,100000.0,39920.0,10.0,0.0
110000.0,4.195084,4.332402754161093E-8,110000.0,86.3,72.57279220987218,110000.0,39920.0,10.0,0.0
120000.0,4.572856,4.7225404613547856E-8,120000.0,90.7,81.38436286480645,120000.0,39920.0,10.0,0.0
130000.0,4.945336,5.1072129441632166E-8,130000.0,93.89999999999999,87.79619241203255,130000.0,39920.0,10.0,0.0
140000.0,5.319724,5.493855882022116E-8,140000.0,86.0,71.93387621235631,140000.0,39920.0,10.0,0.0
150000.0,5.691706,5.878014063669576E-8,150000.0,75.2,50.34438571199744,150000.0,39920.0,10.0,0.0
160000.0,6.058813,6.257137670699094E-8,160000.0,81.39999999999999,62.80952076268475,160000.0,39920.0,10.0,0.0
170000.0,6.426349,6.63670432029499E-8,170000.0,88.5,76.99981599852799,170000.0,39920.0,10.0,0.0
180000.0,6.795906,7.018358123799166E-8,180000.0,86.8,73.568387791799,180000.0,39920.0,10.0,0.0
190000.0,7.160609,7.394999040083754E-8,190000.0,89.8,79.57917075416925,190000.0,39920.0,10.0,0.0
200000.0,7.545531,7.792520790050429E-8,200000.0,87.1,74.19277397671348,200000.0,39920.0,10.0,0.0
210000.0,7.921536,8.180833657582602E-8,210000.0,88.6,77.17745132190605,210000.0,39920.0,10.0,0.0
220000.0,8.293263,8.564728492250047E-8,220000.0,88.1,76.19238156209988,220000.0,39920.0,10.0,0.0
230000.0,8.667379,8.951090526663597E-8,230000.0,88.5,76.99355819629497,230000.0,39920.0,10.0,0.0
240000.0,9.027147,9.322634904334944E-8,240000.0,83.6,67.19881915748967,240000.0,39920.0,10.0,0.0
250000.0,9.397222,9.70482366366519E-8,250000.0,81.89999999999999,63.78783271179116,250000.0,39920.0,10.0,0.0
260000.0,9.774396,1.0094343796372415E-7,260000.0,85.0,70.0,260000.0,39920.0,10.0,0.0
270000.0,10.145295,1.047738352790475E-7,270000.0,87.2,74.4025597440256,270000.0,39920.0,10.0,0.0
280000.0,10.522693,1.0867134992861088E-7,280000.0,82.6,65.20041759498885,280000.0,39920.0,10.0,0.0
290000.0,10.894002,1.1250598145027958E-7,290000.0,79.2,58.37452520942817,290000.0,39920.0,10.0,0.0
300000.0,11.252471,1.1620801002201109E-7,300000.0,78.9,57.80303818125097,300000.0,39920.0,10.0,0.0
310000.0,11.622492,1.2002933993935587E-7,310000.0,76.2,52.400000000000006,310000.0,39920.0,10.0,0.0
320000.0,11.986214,1.2378561798897056E-7,320000.0,75.7,51.3240655422459,320000.0,39920.0,10.0,0.0
330000.0,12.352877,1.275722687236137E-7,330000.0,77.7,55.373223934360624,330000.0,39920.0,10.0,0.0
340000.0,12.731645,1.3148393181877005E-7,340000.0,71.8,43.52703693171577,340000.0,39920.0,10.0,0.0
350000.0,13.09859,1.352734948611922E-7,350000.0,70.89999999999999,41.85117096954679,350000.0,39920.0,10.0,0.0
360000.0,13.47788,1.3919054882393946E-7,360000.0,72.3,44.582709805459295,360000.0,39920.0,10.0,0.0
370000.0,13.844712,1.4297894487778348E-7,370000.0,76.0,52.00287982721037,370000.0,39920.0,10.0,0.0
380000.0,14.218515,1.4683933276683094E-7,380000.0,75.0,50.07030101616924,380000.0,39920.0,10.0,0.0
390000.0,14.58539,1.506281728959746E-7,390000.0,72.5,45.00967829661979,390000.0,39920.0,10.0,0.0
400000.0,14.948822,1.543814560191499E-7,400000.0,69.6,39.17664383123119,400000.0,39920.0,10.0,0.0
410000.0,15.319482,1.582093851019939E-7,410000.0,69.69999999999999,39.54460929456739,410000.0,39920.0,10.0,0.0
420000.0,15.694689,1.6208427256594103E-7,420000.0,67.7,35.410850977035864,420000.0,39920.0,10.0,0.0
430000.0,16.068388,1.6594358641240332E-7,430000.0,66.60000000000001,33.22484035938632,430000.0,39920.0,10.0,0.0
440000.0,16.440177,1.6978317505369583E-7,440000.0,67.2,34.38635236129116,440000.0,39920.0,10.0,0.0
450000.0,16.815282,1.7365700912972292E-7,450000.0,63.7,27.185634507991523,450000.0,39920.0,10.0,0.0
460000.0,17.185463,1.7747999142027564E-7,460000.0,69.0,38.00371977681338,460000.0,39920.0,10.0,0.0
470000.0,17.554514,1.8129130382504727E-7,470000.0,72.8,45.636532250327775,470000.0,39920.0,10.0,0.0
480000.0,17.931518,1.851847495055861E-7,480000.0,72.89999999999999,45.79566365309224,480000.0,39920.0,10.0,0.0
490000.0,18.309384,1.8908709734678269E-7,490000.0,80.9,61.755636538384536,490000.0,39920.0,10.0,0.0
500000.0,18.685806,1.9297453251977763E-7,500000.0,80.5,60.9775230532787,500000.0,39920.0,10.0,0.0
510000.0,19.057722,1.9681543273230396E-7,510000.0,79.2,58.40249585024899,510000.0,39920.0,10.0,0.0
520000.0,19.420346,2.0056037137077916E-7,520000.0,77.60000000000001,55.20716685330347,520000.0,39920.0,10.0,0.0
530000.0,19.793156,2.0441050421860485E-7,530000.0,74.6,49.23573804041955,530000.0,39920.0,10.0,0.0
540000.0,20.169693,2.0829912703484298E-7,540000.0,75.9,51.773378905155646,540000.0,39920.0,10.0,0.0
550000.0,20.546606,2.1219163292811977E-7,550000.0,75.5,50.98353046623666,550000.0,39920.0,10.0,0.0
560000.0,20.922904,2.1607778751187856E-7,560000.0,75.9,51.699147820649515,560000.0,39920.0,10.0,0.0
570000.0,21.294331,2.199136376587881E-7,570000.0,75.7,51.429919169791404,570000.0,39920.0,10.0,0.0
580000.0,21.675393,2.238489916548133E-7,580000.0,77.5,55.00611916779318,580000.0,39920.0,10.0,0.0
590000.0,22.051864,2.2773693286710317E-7,590000.0,78.7,57.37135354958532,590000.0,39920.0,10.0,0.0
600000.0,22.416656,2.3150426116254597E-7,600000.0,77.8,55.59520428206247,600000.0,39920.0,10.0,0.0
610000.0,22.787113,2.3533009379688237E-7,610000.0,70.89999999999999,41.81629143839724,610000.0,39920.0,10.0,0.0
620000.0,23.163522,2.3921739471455415E-7,620000.0,79.0,58.00000000000001,620000.0,39920.0,10.0,0.0
630000.0,23.528156,2.429830912914541E-7,630000.0,75.3,50.56955084331949,630000.0,39920.0,10.0,0.0
640000.0,23.887731,2.466965418929855E-7,640000.0,75.8,51.569004162664115,640000.0,39920.0,10.0,0.0
650000.0,24.25696,2.50509692562951E-7,650000.0,74.8,49.52105092364458,650000.0,39920.0,10.0,0.0
660000.0,24.638579,2.544507988832063E-7,660000.0,72.3,44.60443164546836,660000.0,39920.0,10.0,0.0
670000.0,25.003512,2.5821958333253864E-7,670000.0,75.6,51.168552547840804,670000.0,39920.0,10.0,0.0
680000.0,25.374162,2.6204740914205713E-7,680000.0,72.7,45.36065967496597,680000.0,39920.0,10.0,0.0
690000.0,25.735373,2.6577775525963974E-7,690000.0,72.89999999999999,45.8623665537301,690000.0,39920.0,10.0,0.0
700000.0,26.106636,2.6961191172401114E-7,700000.0,72.3,44.62126543407331,700000.0,39920.0,10.0,0.0
710000.0,26.492152,2.7359326365921237E-7,710000.0,70.5,40.83860772186524,710000.0,39920.0,10.0,0.0
720000.0,26.860602,2.773983693371217E-7,720000.0,75.1,50.2219023629603,720000.0,39920.0,10.0,0.0
730000.0,27.225631,2.8116814521037875E-7,730000.0,71.1,42.29555855503286,730000.0,39920.0,10.0,0.0
740000.0,27.59332,2.849653917882178E-7,740000.0,75.6,51.062387433462895,740000.0,39920.0,10.0,0.0
750000.0,27.962712,2.8878022581338884E-7,750000.0,77.10000000000001,54.12513221577615,750000.0,39920.0,10.0,0.0
760000.0,28.324796,2.9251958769228724E-7,760000.0,75.6,51.191409688105104,760000.0,39920.0,10.0,0.0
770000.0,28.700823,2.9640294356892505E-7,770000.0,74.4,48.80552900286769,770000.0,39920.0,10.0,0.0
780000.0,29.073698,3.0025374769336645E-7,780000.0,79.3,58.579123878434736,780000.0,39920.0,10.0,0.0
790000.0,29.430816,3.039418240388234E-7,790000.0,77.8,55.61278351834672,790000.0,39920.0,10.0,0.0
800000.0,29.803325,3.0778884835955165E-7,800000.0,75.4,50.801574349620815,800000.0,39920.0,10.0,0.0
810000.0,30.168687,3.1156206323454775E-7,810000.0,74.7,49.41820944459994,810000.0,39920.0,10.0,0.0
820000.0,30.546756,3.154665075242519E-7,820000.0,76.1,52.19196825066612,820000.0,39920.0,10.0,0.0
830000.0,30.906664,3.1918339712752236E-7,830000.0,82.5,64.98179053107614,830000.0,39920.0,10.0,0.0
840000.0,31.279891,3.2303783647302126E-7,840000.0,83.89999999999999,67.72641622900211,840000.0,39920.0,10.0,0.0
850000.0,31.647404,3.2683326544033157E-7,850000.0,82.8,65.59504568657886,850000.0,39920.0,10.0,0.0
860000.0,32.016023,3.306401164374418E-7,860000.0,84.5,68.96275530636763,860000.0,39920.0,10.0,0.0
870000.0,32.394382,3.3454755565358535E-7,870000.0,82.89999999999999,65.79808469274279,870000.0,39920.0,10.0,0.0
880000.0,32.760829,3.3833197568439775E-7,880000.0,84.39999999999999,68.80187188768673,880000.0,39920.0,10.0,0.0
890000.0,33.13071,3.421518597751856E-7,890000.0,81.10000000000001,62.19243848769756,890000.0,39920.0,10.0,0.0
900000.0,33.498287,3.459479496917791E-7,900000.0,84.8,69.6,900000.0,39920.0,10.0,0.0
910000.0,33.869301,3.4977953465034565E-7,910000.0,85.3,70.5922363503965,910000.0,39920.0,10.0,0.0
920000.0,34.246037,3.5367021260576116E-7,920000.0,83.6,67.21049264235445,920000.0,39920.0,10.0,0.0
930000.0,34.608798,3.5741656608879565E-7,930000.0,83.3,66.6,930000.0,39920.0,10.0,0.0
940000.0,34.979403,3.612439271683494E-7,940000.0,81.6,63.213978688098514,940000.0,39920.0,10.0,0.0
950000.0,35.344506,3.6501446726421516E-7,950000.0,80.9,61.79449840777074,950000.0,39920.0,10.0,0.0
960000.0,35.713526,3.688254595216778E-7,960000.0,79.10000000000001,58.13804430557226,960000.0,39920.0,10.0,0.0
970000.0,36.087131,3.726838025988804E-7,970000.0,82.0,63.919178960872344,970000.0,39920.0,10.0,0.0
980000.0,36.465833,3.7659478409008847E-7,980000.0,83.6,67.18950064020486,980000.0,39920.0,10.0,0.0
990000.0,36.844278,3.805031114568313E-7,990000.0,85.0,69.994599027825,990000.0,39920.0,10.0,0.0
1000000.0,37.204289,3.8422106477535435E-7,1000000.0,88.9,77.79733568028165,1000000.0,39920.0,10.0,0.0
