learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
23.0,0.310853419,1.3154455063850102E-8,23.0,69.56521739130434,-14.18439716312053,23.0,163576.0,10.0,0.0
46.0,0.453738233,1.9238500176057635E-8,46.0,71.73913043478261,28.639618138424815,46.0,164592.0,10.0,0.0
69.0,0.49500294,2.0995554210715412E-8,69.0,68.11594202898551,20.18927444794951,69.0,164592.0,10.0,0.0
92.0,0.523270934,2.2199207320608613E-8,92.0,66.30434782608695,12.083847102342759,92.0,164592.0,10.0,1.0
115.0,0.54879255,2.3285919468202112E-8,115.0,65.21739130434783,15.28545119705343,115.0,164592.0,10.0,2.0
138.0,0.570989132,2.4231051441602824E-8,138.0,65.21739130434783,21.161628183765778,138.0,164592.0,10.0,0.0
161.0,0.592943424,2.516586669030082E-8,161.0,65.83850931677019,24.464727458841597,161.0,164592.0,10.0,0.0
184.0,0.627707272,2.6646113705955863E-8,184.0,66.84782608695652,29.069767441860456,184.0,164592.0,10.0,0.0
207.0,0.669496554,2.8425504179843187E-8,207.0,64.73429951690821,25.550573976449716,207.0,164592.0,10.0,1.0
230.0,0.697769258,2.9629357841857194E-8,230.0,64.34782608695652,25.069527214938397,230.0,164592.0,10.0,1.0
253.0,0.722729552,3.0692168860458256E-8,253.0,65.21739130434783,27.54491017964072,253.0,164592.0,10.0,1.0
276.0,0.744429191,3.1616140967071474E-8,276.0,65.21739130434783,28.34658445562227,276.0,164592.0,10.0,1.0
299.0,0.76522944,3.250181698622596E-8,299.0,65.21739130434783,28.214599011958075,299.0,164592.0,10.0,0.0
322.0,0.786884534,3.3423892363705155E-8,322.0,65.21739130434783,28.58331023010813,322.0,164592.0,10.0,2.0
345.0,0.808550906,3.434644795919251E-8,345.0,64.34782608695652,27.22642383083808,345.0,164592.0,10.0,2.0
368.0,0.855995602,3.636311144108367E-8,368.0,64.40217391304348,27.702459508098386,368.0,164304.0,10.0,2.0
391.0,0.96461034,4.122081649481216E-8,391.0,64.19437340153452,27.737881508078978,391.0,172880.0,10.0,2.0
414.0,0.992778349,4.2480607589394276E-8,414.0,64.00966183574879,27.769841455703602,414.0,172880.0,10.0,2.0
437.0,1.020459133,4.37186079455519E-8,437.0,64.07322654462243,28.11972886043856,437.0,172880.0,10.0,2.0
460.0,1.043424237,4.4745703382270625E-8,460.0,64.13043478260869,28.355673022465545,460.0,172880.0,10.0,2.0
