learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
190.0,0.017093482,2.6108054891228673E-11,190.0,78.42105263157895,46.07503807282291,190.0,5904.0
380.0,0.030031364,4.586897507309913E-11,380.0,77.89473684210526,47.20301697045882,380.0,5904.0
570.0,0.035022625,5.3492472507059563E-11,570.0,76.84210526315789,43.59481827995681,570.0,5904.0
760.0,0.038911953,5.943291161209344E-11,760.0,76.97368421052632,44.57963864257617,760.0,5904.0
950.0,0.042445258,6.48295722156763E-11,950.0,76.0,42.12641344077978,950.0,5904.0
1140.0,0.045951735,7.018525656312704E-11,1140.0,73.9,37.398662585986884,1140.0,5904.0
1330.0,0.048879409,7.465689513832331E-11,1330.0,72.39999999999999,34.24563543493176,1330.0,5904.0
1520.0,0.051602175,7.881556358188392E-11,1520.0,72.89999999999999,35.62027842447854,1520.0,5904.0
1710.0,0.055137699,8.421561341732742E-11,1710.0,71.39999999999999,32.322749494786954,1710.0,5904.0
1900.0,0.058332513,8.909527335315944E-11,1900.0,72.2,32.96940704448129,1900.0,5904.0
2090.0,0.061072246,9.327985666692258E-11,2090.0,72.8,33.5155138615265,2090.0,5904.0
2280.0,0.064157236,9.799177482724191E-11,2280.0,73.7,35.48925147908673,2280.0,5904.0
2470.0,0.066939043,1.0224062066525222E-10,2470.0,72.0,31.12947658402202,2470.0,5904.0
2660.0,0.069359708,1.0593786939978601E-10,2660.0,72.39999999999999,30.581056677045947,2660.0,5904.0
2850.0,0.071674103,1.094728046283126E-10,2850.0,72.2,30.4857495786636,2850.0,5904.0
3040.0,0.074305853,1.1349245805293324E-10,3040.0,71.5,29.188324272751647,3040.0,5904.0
3230.0,0.076894069,1.1744561899453405E-10,3230.0,70.0,25.78482547064788,3230.0,5904.0
3420.0,0.078821385,1.2038934174925093E-10,3420.0,70.3,28.03489217349164,3420.0,5904.0
3610.0,0.08081653,1.2343666441738609E-10,3610.0,70.8,28.993852618473248,3610.0,5904.0
3800.0,0.083260274,1.2716916330158713E-10,3800.0,70.7,29.709240955762372,3800.0,5904.0
3990.0,0.084921483,1.2970644246786836E-10,3990.0,71.0,30.342379216087533,3990.0,5904.0
4180.0,0.086520174,1.321482335776091E-10,4180.0,71.39999999999999,31.926804653731157,4180.0,5904.0
4370.0,0.088445589,1.3508905280381443E-10,4370.0,71.6,32.39543907257968,4370.0,5904.0
4560.0,0.089920165,1.373412745073438E-10,4560.0,71.7,30.963486270759727,4560.0,5904.0
4750.0,0.091258551,1.3938548382371667E-10,4750.0,70.39999999999999,28.582458307597264,4750.0,5904.0
4940.0,0.092621744,1.4146758258342746E-10,4940.0,71.8,30.935167225063182,4940.0,5904.0
5130.0,0.094617863,1.4451639290899042E-10,5130.0,73.2,33.342618938655306,5130.0,5904.0
5320.0,0.096085598,1.4675816588103776E-10,5320.0,73.9,34.20389230614097,5320.0,5904.0
5510.0,0.097604279,1.4907775219529872E-10,5510.0,73.3,35.587528587557514,5510.0,5904.0
5700.0,0.099610382,1.5214181177318102E-10,5700.0,73.1,33.85983201872577,5700.0,5904.0
5890.0,0.100957429,1.5419924963265663E-10,5890.0,73.2,34.249263984298324,5890.0,5904.0
6080.0,0.102292755,1.5623878519982105E-10,6080.0,73.1,34.29794052131775,6080.0,5904.0
6270.0,0.104170897,1.5910740111023192E-10,6270.0,72.89999999999999,33.26569610527767,6270.0,5904.0
6460.0,0.105787966,1.6157726220786577E-10,6460.0,73.0,32.21530427796744,6460.0,5904.0
6650.0,0.107229403,1.6377886842936283E-10,6650.0,73.6,33.56317789465735,6650.0,5904.0
6840.0,0.108646076,1.6594265088438994E-10,6840.0,74.8,36.26545941981333,6840.0,5904.0
7030.0,0.110533496,1.6882543772459036E-10,7030.0,74.6,35.97079865084928,7030.0,5904.0
7220.0,0.111844866,1.708283836394549E-10,7220.0,74.1,34.54571185960938,7220.0,5904.0
7410.0,0.113146548,1.7281653240323071E-10,7410.0,74.1,35.225385646545696,7410.0,5904.0
7600.0,0.114981002,1.7561842061579233E-10,7600.0,74.2,35.777761182884014,7600.0,5904.0
7790.0,0.116312162,1.7765159316360956E-10,7790.0,73.4,32.55578093306289,7790.0,5904.0
7980.0,0.117600216,1.7961892694234854E-10,7980.0,74.0,34.8174889691135,7980.0,5904.0
8170.0,0.119398106,1.8236496843397623E-10,8170.0,73.5,33.673060750470526,8170.0,5904.0
8360.0,0.120686854,1.8433336220681672E-10,8360.0,71.8,31.262431262431246,8360.0,5904.0
8550.0,0.121968363,1.862906993553043E-10,8550.0,71.7,30.640654869859326,8550.0,5904.0
8740.0,0.123244964,1.882405401766301E-10,8740.0,70.39999999999999,29.422985216976606,8740.0,5904.0
8930.0,0.125038754,1.9098031945526608E-10,8930.0,70.3,28.69832429058433,8930.0,5904.0
9120.0,0.126325733,1.9294601131230602E-10,9120.0,70.8,29.919887871820585,9120.0,5904.0
9310.0,0.127649928,1.9496854573488244E-10,9310.0,71.5,31.104836682202325,9310.0,5904.0
9500.0,0.129423015,1.976767038926483E-10,9500.0,71.39999999999999,31.210313642486042,9500.0,5904.0
9690.0,0.130781493,1.9975160110741863E-10,9690.0,71.1,31.02427754494162,9690.0,5904.0
9880.0,0.132176286,2.018819647282363E-10,9880.0,69.1,26.603325415676952,9880.0,5904.0
10070.0,0.13349146,2.0389072075486193E-10,10070.0,68.10000000000001,24.1184418352395,10070.0,5904.0
10260.0,0.135279757,2.0662211019545802E-10,10260.0,69.19999999999999,25.449361236572404,10260.0,5904.0
