learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
190.0,0.03607379,4.787104441887803E-10,190.0,74.73684210526315,33.42093736311871,190.0,51296.0,10.0,0.0,206.9,8.74382321667384,3288.0,0.0
380.0,0.06519985,8.778810310694907E-10,380.0,76.31578947368422,43.85527136618841,380.0,52976.0,10.0,0.0,394.2,15.349122305707107,3288.0,0.0
570.0,0.084549265,1.1413814737978908E-9,570.0,75.96491228070175,42.58172673931265,570.0,52640.0,10.0,1.0,870.4000000000001,219.1270154245909,3288.0,0.0
760.0,0.098913691,1.343239334805144E-9,760.0,76.84210526315789,45.54499784231824,760.0,54320.0,10.0,1.0,1018.6,250.98650694144234,3288.0,0.0
950.0,0.117913619,1.608586618022786E-9,950.0,76.73684210526316,44.940390334475005,950.0,53984.0,10.0,2.0,1674.8999999999999,448.9787040235501,3288.0,0.0
1140.0,0.14091307,1.931789228638841E-9,1140.0,76.2,44.850215037817,1140.0,54320.0,10.0,2.0,1957.6000000000001,542.8343966830236,3288.0,0.0
1330.0,0.154458326,2.1233130028388565E-9,1330.0,74.9,42.06016509390409,1330.0,54656.0,10.0,3.0,2228.7,693.8930120863174,3288.0,0.0
1520.0,0.164754402,2.2711322718982895E-9,1520.0,76.1,45.24427012215797,1520.0,55496.0,10.0,3.0,2729.0,901.3036114428921,3288.0,0.0
1710.0,0.17587048,2.4307241906805173E-9,1710.0,75.6,43.817378850466724,1710.0,55496.0,10.0,4.0,4069.8,1638.3426503634698,3288.0,0.0
1900.0,0.187423706,2.5935794414124556E-9,1900.0,76.5,45.44981847556616,1900.0,54488.0,10.0,6.0,4141.5,2418.0388667494803,3288.0,0.0
2090.0,0.1978445,2.7422834574348396E-9,2090.0,76.8,45.3369084251846,2090.0,55160.0,10.0,6.0,4590.5,2668.017579693874,3288.0,0.0
2280.0,0.208143553,2.8888026231734287E-9,2280.0,77.8,47.13404615054891,2280.0,54992.0,10.0,7.0,4791.6,2785.3732213515336,3288.0,0.0
2470.0,0.218741927,3.0409619407521352E-9,2470.0,75.6,41.45873320537427,2470.0,55496.0,10.0,7.0,5033.9,2861.1741080658944,3288.0,0.0
2660.0,0.229581523,3.1951711251172754E-9,2660.0,75.9,41.03831286392326,2660.0,54992.0,10.0,9.0,6340.5,4017.7690361415466,3288.0,0.0
2850.0,0.239900387,3.3392812779711352E-9,2850.0,75.8,41.49077633519498,2850.0,53984.0,10.0,12.0,8248.4,4904.962179489483,3288.0,0.0
3040.0,0.249847006,3.48121884924877E-9,3040.0,76.2,42.66607566150823,3040.0,55160.0,10.0,12.0,9034.0,5104.67227808668,3288.0,0.0
3230.0,0.260236013,3.6303723151899044E-9,3230.0,75.7,41.74114849054432,3230.0,55496.0,10.0,13.0,9388.6,5183.336240513654,3288.0,0.0
3420.0,0.271561816,3.793959703124645E-9,3420.0,77.3,46.99976651879524,3420.0,55832.0,10.0,13.0,9636.800000000001,5215.775018154061,3288.0,0.0
3610.0,0.283448817,3.9666861695920426E-9,3610.0,77.5,47.498599962665665,3610.0,56168.0,10.0,13.0,9866.6,5240.502930063105,3288.0,0.0
3800.0,0.295468401,4.142383943684399E-9,3800.0,76.7,46.40721317508511,3800.0,56504.0,10.0,13.0,10085.599999999999,5260.124612381133,3288.0,0.0
3990.0,0.306840529,4.309111700873408E-9,3990.0,77.60000000000001,48.59815228715276,3990.0,56672.0,10.0,13.0,10299.7,5276.901094076586,3288.0,0.0
4180.0,0.318217323,4.476896776768069E-9,4180.0,78.60000000000001,51.24129634355291,4180.0,57008.0,10.0,13.0,10474.300000000001,5286.246910721358,3288.0,0.0
4370.0,0.329835251,4.6482380993954016E-9,4370.0,79.3,52.58774702470935,4370.0,57008.0,10.0,13.0,10660.1,5298.110024548587,3288.0,0.0
4560.0,0.341340621,4.81891950181375E-9,4560.0,79.5,52.257631792225226,4560.0,57344.0,10.0,13.0,10830.1,5307.463682714497,3288.0,0.0
4750.0,0.352701105,4.987451530011992E-9,4750.0,78.9,51.054985432479086,4750.0,57344.0,10.0,13.0,11007.1,5317.441396950228,3288.0,0.0
4940.0,0.364144092,5.157207484754424E-9,4940.0,78.9,50.82089482663783,4940.0,57344.0,10.0,13.0,11175.6,5326.395537947465,3288.0,0.0
5130.0,0.37582849,5.325974339379205E-9,5130.0,78.9,50.29914731238519,5130.0,55832.0,10.0,15.0,12493.4,5923.103156660741,3288.0,0.0
5320.0,0.387387977,5.491238432998459E-9,5320.0,78.2,48.652722818918406,5320.0,55264.0,10.0,17.0,16969.300000000003,7101.930568592676,3248.0,40.0
5510.0,0.398968505,5.658313275352121E-9,5510.0,76.3,45.370054491641845,5510.0,55768.0,10.0,19.0,20492.6,8288.403788426333,3248.0,40.0
