learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
190.0,0.058753912,8.292944891585244E-11,190.0,78.42105263157895,46.07503807282291,190.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
380.0,0.074329755,1.0491430119921765E-10,380.0,77.89473684210526,47.20301697045882,380.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
570.0,0.081155619,1.1454881098121406E-10,570.0,76.84210526315789,43.59481827995681,570.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
760.0,0.086439205,1.2200643993500207E-10,760.0,76.97368421052632,44.57963864257617,760.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
950.0,0.090976311,1.2841043394058944E-10,950.0,76.0,42.12641344077978,950.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1140.0,0.095507307,1.3480580385774376E-10,1140.0,73.9,37.398662585986884,1140.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1330.0,0.098975768,1.3970143632756341E-10,1330.0,72.39999999999999,34.24563543493176,1330.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1520.0,0.102044429,1.4403276265081436E-10,1520.0,72.89999999999999,35.62027842447854,1520.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1710.0,0.105931609,1.4951940488898097E-10,1710.0,71.39999999999999,32.322749494786954,1710.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1900.0,0.109319534,1.5430136312213215E-10,1900.0,72.2,32.96940704448129,1900.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2090.0,0.112518944,1.588172378804949E-10,2090.0,72.8,33.5155138615265,2090.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2280.0,0.115440852,1.6294142658511804E-10,2280.0,73.7,35.48925147908673,2280.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2470.0,0.119391573,1.685177551085751E-10,2470.0,72.0,31.12947658402202,2470.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2660.0,0.122886179,1.7345029049035583E-10,2660.0,72.39999999999999,30.581056677045947,2660.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2850.0,0.12592258,1.7773608275585712E-10,2850.0,72.2,30.4857495786636,2850.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3040.0,0.128739088,1.817115024063323E-10,3040.0,71.5,29.188324272751647,3040.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3230.0,0.132020402,1.8634298229383105E-10,3230.0,70.0,25.78482547064788,3230.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
