learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
190.0,0.291916434,9.113631742882232E-9,190.0,75.78947368421053,41.42876290041551,190.0,120680.0,10.0,0.0
380.0,0.461713434,1.441469447457542E-8,380.0,76.57894736842105,44.993819530284306,380.0,120680.0,10.0,1.0
570.0,0.541933646,1.691916967826999E-8,570.0,76.14035087719299,42.78122232063776,570.0,120680.0,10.0,1.0
760.0,0.593762174,1.8537256441989708E-8,760.0,76.57894736842105,44.207530828556116,760.0,120680.0,10.0,1.0
950.0,0.64465116,2.012601070230206E-8,950.0,75.68421052631578,41.7598632703648,950.0,120680.0,10.0,1.0
1140.0,0.685394603,2.1398021086750346E-8,1140.0,73.8,37.36612607099141,1140.0,120680.0,10.0,1.0
1330.0,0.724609111,2.2622298116971635E-8,1330.0,72.39999999999999,34.162818213045284,1330.0,120680.0,10.0,1.0
1520.0,0.762611393,2.3808729448676523E-8,1520.0,72.8,35.17635843660628,1520.0,120680.0,10.0,2.0
1710.0,0.800198281,2.4982192178743166E-8,1710.0,71.2,31.67746067895522,1710.0,120680.0,10.0,2.0
1900.0,0.835585035,2.608696672025447E-8,1900.0,72.2,32.874886515095895,1900.0,120680.0,10.0,2.0
2090.0,0.871790009,2.7217286092053268E-8,2090.0,72.89999999999999,33.71036075261977,2090.0,120680.0,10.0,2.0
2280.0,0.904637241,2.824277675086632E-8,2280.0,73.9,35.9798275134663,2280.0,120680.0,10.0,2.0
2470.0,0.937203601,2.925949858519145E-8,2470.0,72.39999999999999,32.0063066614111,2470.0,120680.0,10.0,2.0
2660.0,0.969696291,3.027392044194663E-8,2660.0,72.8,31.470610465848676,2660.0,120680.0,10.0,2.0
2850.0,1.002538877,3.129926605262897E-8,2850.0,72.3,30.56599989973428,2850.0,120680.0,10.0,2.0
3040.0,1.034616427,3.230072723762649E-8,3040.0,71.7,29.458098609103118,3040.0,120680.0,10.0,3.0
3230.0,1.066811601,3.3305860644175355E-8,3230.0,70.3,26.355358949435605,3230.0,120680.0,10.0,3.0
3420.0,1.241368848,3.9769969511479136E-8,3420.0,70.5,28.519505694208867,3420.0,143144.0,10.0,2.0
3610.0,1.488119322,5.168455576431006E-8,3610.0,71.3,29.84668935038521,3610.0,186648.0,10.0,2.0
3800.0,1.544297404,5.450332030355516E-8,3800.0,72.2,32.99267258002313,3800.0,193952.0,10.0,2.0
3990.0,1.61762933,5.8511973073076864E-8,3990.0,73.6,35.98913755061466,3990.0,211304.0,10.0,3.0
4180.0,1.664266762,6.113116953676773E-8,4180.0,75.3,40.64155187495795,4180.0,217088.0,10.0,2.0
4370.0,1.722409646,6.456089629588027E-8,4370.0,76.6,44.505314683324556,4370.0,228016.0,10.0,2.0
4560.0,1.75954506,6.675143646768397E-8,4560.0,77.10000000000001,45.61190173091906,4560.0,228016.0,10.0,1.0
4750.0,1.845026094,7.238024675002113E-8,4750.0,75.9,43.7515170752656,4750.0,254536.0,10.0,3.0
4940.0,1.887309874,7.517997827103981E-8,4940.0,76.6,45.124010356084206,4940.0,255944.0,10.0,2.0
5130.0,1.94348516,7.912075073130841E-8,5130.0,77.5,46.6141508090922,5130.0,271168.0,10.0,0.0
5320.0,1.98212659,8.18434953041747E-8,5320.0,78.2,47.099704923124705,5320.0,272368.0,10.0,1.0
5510.0,2.02929599,8.522893072685018E-8,5510.0,77.9,47.334305623075664,5510.0,277432.0,10.0,2.0
5700.0,2.068333286,8.803474953622038E-8,5700.0,79.0,48.40599080152522,5700.0,277832.0,10.0,2.0
