learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
190.0,0.037839,5.028401377300421E-10,190.0,77.89473684210526,47.94520547945205,190.0,51368.0,10.0,0.0,0.0,0.0
380.0,0.067726,9.129960421058866E-10,380.0,77.63157894736842,48.04400977995109,380.0,53048.0,10.0,0.0,0.0,0.0
570.0,0.087662,1.186588845319218E-9,570.0,76.84210526315789,44.888810758547926,570.0,53048.0,10.0,0.0,0.0,0.0
760.0,0.103478,1.4105145053731069E-9,760.0,77.10526315789473,45.76460262646313,760.0,54728.0,10.0,0.0,0.0,0.0
950.0,0.117981,1.6158504846195378E-9,950.0,76.10526315789473,43.02419589214096,950.0,54728.0,10.0,0.0,0.0,0.0
1140.0,0.132954,1.8278408050537108E-9,1140.0,73.8,37.36612607099141,1140.0,54728.0,10.0,0.0,0.0,0.0
1330.0,0.147688,2.042850972049766E-9,1330.0,72.39999999999999,34.162818213045284,1330.0,56408.0,10.0,0.0,0.0,0.0
1520.0,0.162195,2.2545485757291318E-9,1520.0,72.8,35.17635843660628,1520.0,56408.0,10.0,0.0,0.0,0.0
1710.0,0.176741,2.4668152982162108E-9,1710.0,71.2,31.67746067895522,1710.0,56408.0,10.0,0.0,0.0,0.0
1900.0,0.190713,2.670705759276947E-9,1900.0,72.2,32.874886515095895,1900.0,56408.0,10.0,0.0,0.0,0.0
2090.0,0.204583,2.8731077557636637E-9,2090.0,72.89999999999999,33.71036075261977,2090.0,56408.0,10.0,0.0,0.0,0.0
2280.0,0.218207,3.071919925924805E-9,2280.0,73.9,35.9798275134663,2280.0,56408.0,10.0,0.0,0.0,0.0
2470.0,0.231711,3.2689809612929827E-9,2470.0,72.3,31.813706183536812,2470.0,56408.0,10.0,0.0,0.0,0.0
2660.0,0.245514,3.4764042620857562E-9,2660.0,72.7,31.27718704688254,2660.0,58088.0,10.0,0.0,0.0,0.0
2850.0,0.259383,3.684819371749958E-9,2850.0,72.2,30.3722330476424,2850.0,58088.0,10.0,0.0,0.0,0.0
3040.0,0.273019,3.8897330955498756E-9,3040.0,71.6,29.265959990435945,3040.0,58088.0,10.0,0.0,0.0,0.0
3230.0,0.286407,4.090920022378366E-9,3230.0,70.1,25.859435440677597,3230.0,58088.0,10.0,0.0,0.0,0.0
3420.0,0.302619,4.334544346978268E-9,3420.0,70.19999999999999,27.74005819592627,3420.0,58088.0,10.0,0.0,0.0,0.0
3610.0,0.317,4.550653489099609E-9,3610.0,71.0,29.271052836962458,3610.0,58088.0,10.0,0.0,0.0,0.0
3800.0,0.330645,4.755702459563813E-9,3800.0,70.8,29.807692307692307,3800.0,58088.0,10.0,0.0,0.0,0.0
3990.0,0.344407,4.96250963666373E-9,3990.0,71.1,30.53619328724845,3990.0,58088.0,10.0,0.0,0.0,0.0
4180.0,0.35824,5.170383759670789E-9,4180.0,71.6,32.31649189704479,4180.0,58088.0,10.0,0.0,0.0,0.0
4370.0,0.37187,5.375207319027849E-9,4370.0,71.89999999999999,32.984183313300115,4370.0,58088.0,10.0,0.0,0.0,0.0
4560.0,0.385505,5.580106015420624E-9,4560.0,71.8,31.16074697912853,4560.0,58088.0,10.0,0.0,0.0,0.0
4750.0,0.398945,5.782074367420543E-9,4750.0,70.5,28.778367938194098,4750.0,58088.0,10.0,0.0,0.0,0.0
4940.0,0.414886,6.0216262646847315E-9,4940.0,72.0,31.326766864183973,4940.0,58088.0,10.0,0.0,0.0,0.0
5130.0,0.430629,6.26504491393765E-9,5130.0,73.2,33.342618938655306,5130.0,59768.0,10.0,0.0,0.0,0.0
5320.0,0.444343,6.4770911157959055E-9,5320.0,73.9,34.20389230614097,5320.0,59768.0,10.0,0.0,0.0,0.0
5510.0,0.460832,6.7320444352097E-9,5510.0,73.3,35.587528587557514,5510.0,59768.0,10.0,0.0,0.0,0.0
5700.0,0.476205,6.969742135455213E-9,5700.0,73.1,33.96115246381364,5700.0,59768.0,10.0,0.0,0.0,0.0
5890.0,0.490922,7.1972967477308394E-9,5890.0,73.2,34.249263984298324,5890.0,59768.0,10.0,0.0,0.0,0.0
6080.0,0.503323,7.389041311624979E-9,6080.0,73.3,34.78643166985814,6080.0,59768.0,10.0,0.0,0.0,0.0
6270.0,0.515153,7.571957059618501E-9,6270.0,73.1,33.7582001930616,6270.0,59768.0,10.0,0.0,0.0,0.0
6460.0,0.526984,7.754888269636368E-9,6460.0,73.2,32.71741313516768,6460.0,59768.0,10.0,0.0,0.0,0.0
6650.0,0.538629,7.934943543126188E-9,6650.0,73.8,34.06648715303116,6650.0,59768.0,10.0,0.0,0.0,0.0
6840.0,0.550353,8.11622031653921E-9,6840.0,75.0,36.876656987754075,6840.0,59768.0,10.0,0.0,0.0,0.0
7030.0,0.562083,8.297589862098299E-9,7030.0,74.8,36.575372116318746,7030.0,59768.0,10.0,0.0,0.0,0.0
7220.0,0.573847,8.479485116485094E-9,7220.0,74.3,35.155374786794916,7220.0,59768.0,10.0,0.0,0.0,0.0
7410.0,0.585468,8.65916930139065E-9,7410.0,74.3,35.82572564374039,7410.0,59768.0,10.0,0.0,0.0,0.0
7600.0,0.597313,8.842316979749337E-9,7600.0,74.4,36.3738039020753,7600.0,59768.0,10.0,0.0,0.0,0.0
7790.0,0.609141,9.025201803694172E-9,7790.0,73.5,32.8638021888934,7790.0,59768.0,10.0,0.0,0.0,0.0
7980.0,0.621188,9.211472810970416E-9,7980.0,74.0,34.8174889691135,7980.0,59768.0,10.0,0.0,0.0,0.0
8170.0,0.633374,9.399893039630523E-9,8170.0,73.4,33.476384116361295,8170.0,59768.0,10.0,0.0,0.0,0.0
8360.0,0.647263,9.614645095749038E-9,8360.0,71.8,31.262431262431246,8360.0,59768.0,10.0,0.0,0.0,0.0
8550.0,0.660313,9.816424513442652E-9,8550.0,71.7,30.640654869859326,8550.0,59768.0,10.0,0.0,0.0,0.0
8740.0,0.672104,9.998737242486745E-9,8740.0,70.5,29.617788805649646,8740.0,59768.0,10.0,0.0,0.0,0.0
8930.0,0.684009,1.0182812642306094E-8,8930.0,70.3,28.609201480698044,8930.0,59768.0,10.0,0.0,0.0,0.0
9120.0,0.695796,1.0365063523252809E-8,9120.0,70.8,29.832992911209892,9120.0,59768.0,10.0,0.0,0.0,0.0
9310.0,0.707351,1.0543727214551638E-8,9310.0,71.5,31.01678833530198,9310.0,59768.0,10.0,0.0,0.0,0.0
9500.0,0.719092,1.0725266842378513E-8,9500.0,71.5,31.32199142127331,9500.0,59768.0,10.0,0.0,0.0,0.0
9690.0,0.730831,1.09067755461567E-8,9690.0,71.39999999999999,31.529478235471554,9690.0,59768.0,10.0,0.0,0.0,0.0
9880.0,0.742766,1.1091314806706378E-8,9880.0,69.5,27.38095238095238,9880.0,59768.0,10.0,0.0,0.0,0.0
10070.0,0.756312,1.1300763388474784E-8,10070.0,68.5,24.892703862660976,10070.0,59768.0,10.0,0.0,0.0,0.0
10260.0,0.768134,1.1488693484829533E-8,10260.0,69.5,25.929883527777502,10260.0,61448.0,10.0,0.0,0.0,0.0
10450.0,0.779872,1.1675288263294434E-8,10450.0,69.39999999999999,26.192497684470517,10450.0,61448.0,10.0,0.0,0.0,0.0
10640.0,0.793224,1.1887540221214297E-8,10640.0,70.1,28.451097880812448,10640.0,61448.0,10.0,0.0,0.0,0.0
10830.0,0.8052,1.2077918400367104E-8,10830.0,72.7,33.26814959667563,10830.0,61448.0,10.0,0.0,0.0,0.0
11020.0,0.816946,1.226464035196437E-8,11020.0,73.3,35.724602792489165,11020.0,61448.0,10.0,0.0,0.0,0.0
11210.0,0.828717,1.2451759719600282E-8,11210.0,72.8,34.56505003849114,11210.0,61448.0,10.0,0.0,0.0,0.0
11400.0,0.840637,1.2641247686826522E-8,11400.0,73.1,34.23818976560438,11400.0,61448.0,10.0,0.0,0.0,0.0
11590.0,0.85364,1.2847951716846891E-8,11590.0,72.89999999999999,35.01822367159024,11590.0,61448.0,10.0,0.0,0.0,0.0
11780.0,0.865899,1.3042828645557167E-8,11780.0,72.2,33.349955886301736,11780.0,61448.0,10.0,0.0,0.0,0.0
11970.0,0.877856,1.3232904788520604E-8,11970.0,71.8,31.262431262431246,11970.0,61448.0,10.0,0.0,0.0,0.0
12160.0,0.889872,1.3423918833335244E-8,12160.0,72.3,30.615393864096347,12160.0,61448.0,10.0,0.0,0.0,0.0
12350.0,0.901756,1.3612834521465834E-8,12350.0,71.2,28.350723209887597,12350.0,61448.0,10.0,0.0,0.0,0.0
12540.0,0.916409,1.3845768010036815E-8,12540.0,71.7,27.213431822390465,12540.0,61448.0,10.0,0.0,0.0,0.0
12730.0,0.929324,1.4051073135601152E-8,12730.0,70.1,23.548964459217558,12730.0,61448.0,10.0,0.0,0.0,0.0
12920.0,0.942567,1.426159235959252E-8,12920.0,70.89999999999999,25.785752904811932,12920.0,61448.0,10.0,0.0,0.0,0.0
13110.0,0.954663,1.4453878135730825E-8,13110.0,69.5,23.684368556958972,13110.0,61448.0,10.0,0.0,0.0,0.0
13300.0,0.966388,1.4640266257855629E-8,13300.0,70.5,26.488911039122858,13300.0,61448.0,10.0,0.0,0.0,0.0
13490.0,0.978107,1.4826559000131159E-8,13490.0,70.6,28.496728846948947,13490.0,61448.0,10.0,0.0,0.0,0.0
13680.0,0.989829,1.5012899432331325E-8,13680.0,72.1,31.881439523414212,13680.0,61448.0,10.0,0.0,0.0,0.0
13870.0,1.00168,1.5201290531290902E-8,13870.0,73.6,34.83798353178128,13870.0,61448.0,10.0,0.0,0.0,0.0
14060.0,1.015908,1.542746794720491E-8,14060.0,74.2,35.700293585481226,14060.0,61448.0,10.0,0.0,0.0,0.0
14250.0,1.028104,1.56213433874978E-8,14250.0,73.9,34.88023952095807,14250.0,61448.0,10.0,0.0,0.0,0.0
14440.0,1.040017,1.581072007823322E-8,14440.0,74.1,35.016057808109174,14440.0,61448.0,10.0,0.0,0.0,0.0
14630.0,1.051913,1.599982652606236E-8,14630.0,75.1,36.9664935143838,14630.0,61448.0,10.0,0.0,0.0,0.0
14820.0,1.06384,1.618942576977942E-8,14820.0,74.5,36.07035770515147,14820.0,61448.0,10.0,0.0,0.0,0.0
15010.0,1.075745,1.6378675287382473E-8,15010.0,74.6,37.77803907735121,15010.0,61448.0,10.0,0.0,0.0,0.0
15200.0,1.087506,1.6565635688602926E-8,15200.0,74.4,35.929522474722184,15200.0,61448.0,10.0,0.0,0.0,0.0
15390.0,1.099116,1.675019569694996E-8,15390.0,74.3,36.179511885013845,15390.0,61448.0,10.0,0.0,0.0,0.0
15580.0,1.110744,1.693504184484482E-8,15580.0,73.5,34.88943488943489,15580.0,61448.0,10.0,0.0,0.0,0.0
15770.0,1.122473,1.7121493553535806E-8,15770.0,72.5,33.291933903222365,15770.0,61448.0,10.0,0.0,0.0,0.0
15960.0,1.134217,1.730818371184998E-8,15960.0,71.7,30.401849392553252,15960.0,61448.0,10.0,0.0,0.0,0.0
16150.0,1.145921,1.7494238004502322E-8,16150.0,73.2,33.95761458846721,16150.0,61448.0,10.0,0.0,0.0,0.0
16340.0,1.157684,1.7681230199005866E-8,16340.0,73.3,34.72712515768167,16340.0,61448.0,10.0,0.0,0.0,0.0
16530.0,1.169367,1.7866950662185746E-8,16530.0,73.4,34.98240125146655,16530.0,61448.0,10.0,0.0,0.0,0.0
