learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
190.0,0.074467466,2.3738840776971644E-9,190.0,76.31578947368422,42.4397468695301,190.0,123224.0,10.0,0.0
380.0,0.115714541,3.6887639823535252E-9,380.0,76.84210526315789,45.510835913312675,380.0,123224.0,10.0,0.0
570.0,0.140246449,4.4707955046391326E-9,570.0,76.49122807017544,43.622674933569556,570.0,123224.0,10.0,0.0
760.0,0.167174638,5.329216000756456E-9,760.0,76.97368421052632,45.09667938111988,760.0,123224.0,10.0,0.0
950.0,0.189614326,6.044551447402272E-9,950.0,76.31578947368422,43.272594094511184,950.0,123224.0,10.0,0.0
1140.0,0.207783427,6.623748536906723E-9,1140.0,74.5,38.999301482197374,1140.0,123224.0,10.0,0.0
1330.0,0.225459061,7.187214817816599E-9,1330.0,72.89999999999999,35.47741947772422,1330.0,123224.0,10.0,0.0
1520.0,0.243100153,7.74957996412077E-9,1520.0,73.5,37.045659713973485,1520.0,123224.0,10.0,0.0
1710.0,0.260928297,8.317907979693264E-9,1710.0,72.0,33.74255195293828,1710.0,123224.0,10.0,0.0
1900.0,0.277664386,8.85142331644479E-9,1900.0,72.8,34.600292375163484,1900.0,123224.0,10.0,0.0
2090.0,0.294127255,9.376228908625329E-9,2090.0,73.1,34.29794052131775,2090.0,123224.0,10.0,0.0
2280.0,0.310147071,9.886910796606294E-9,2280.0,74.1,36.372391022365456,2280.0,123224.0,10.0,0.0
2470.0,0.327022568,1.0424870200670429E-8,2470.0,72.2,31.40544808527437,2470.0,123224.0,10.0,0.0
2660.0,0.343085603,1.0936929829851208E-8,2660.0,72.3,30.151397476372495,2660.0,123224.0,10.0,0.0
2850.0,0.358543597,1.1429701879188005E-8,2850.0,71.8,29.25486811802895,2850.0,123224.0,10.0,0.0
3040.0,0.373595669,1.1909533891427435E-8,3040.0,71.39999999999999,28.652683257828237,3040.0,123224.0,10.0,0.0
3230.0,0.388802999,1.2394315239449757E-8,3230.0,70.0,25.669347525532547,3230.0,123224.0,10.0,0.0
3420.0,0.434852065,1.4125882904047354E-8,3420.0,69.89999999999999,27.065665132057187,3420.0,145352.0,10.0,0.0
3610.0,0.475762854,1.6111291044726967E-8,3610.0,70.39999999999999,28.75847196549598,3610.0,187592.0,10.0,0.0
3800.0,0.493157185,1.698542864445597E-8,3800.0,70.19999999999999,29.034101733663537,3800.0,194256.0,10.0,0.0
3990.0,0.517238538,1.8297736876948425E-8,3990.0,71.1,31.452263261259368,3990.0,210648.0,10.0,0.0
4180.0,0.536548139,1.937730440168538E-8,4180.0,72.2,34.746685694971255,4180.0,216112.0,10.0,0.0
4370.0,0.559512752,2.0726140370284104E-8,4370.0,74.2,40.51379480487142,4370.0,227040.0,10.0,0.0
4560.0,0.577045226,2.175591742551782E-8,4560.0,75.0,41.51253269449422,4560.0,227040.0,10.0,0.0
4750.0,0.605603939,2.362925914262318E-8,4750.0,75.4,43.11033819285133,4750.0,253560.0,10.0,0.0
4940.0,0.623822696,2.4829392076695544E-8,4940.0,76.1,44.06635275174822,4940.0,254632.0,10.0,0.0
5130.0,0.645987036,2.6374984540291544E-8,5130.0,77.3,46.13960992739524,5130.0,269552.0,10.0,0.0
5320.0,0.662541848,2.7534545422111532E-8,5320.0,78.60000000000001,47.987555901224965,5320.0,270752.0,10.0,0.0
5510.0,0.681746761,2.8904888875260946E-8,5510.0,77.9,47.54730236488091,5510.0,275816.0,10.0,0.0
5700.0,0.698161327,3.007782906051725E-8,5700.0,78.7,48.185268074340755,5700.0,276216.0,10.0,0.0
5890.0,0.716921843,3.144298185364654E-8,5890.0,79.4,49.53651988163131,5890.0,281280.0,10.0,0.0
6080.0,0.736631016,3.290502560889762E-8,6080.0,80.4,52.44772889382744,6080.0,286744.0,10.0,0.0
6270.0,0.755692316,3.4317589398740477E-8,6270.0,79.3,49.337223190335415,6270.0,286456.0,10.0,0.0
6460.0,0.774880077,3.5766091480364815E-8,6460.0,80.10000000000001,50.488644732389886,6460.0,291808.0,10.0,0.0
6650.0,0.797019038,3.749768011825987E-8,6650.0,80.5,51.61050176187404,6650.0,302336.0,10.0,0.0
6840.0,0.817564035,3.9135764787805576E-8,6840.0,80.2,50.98645939054881,6840.0,308200.0,10.0,0.0
7030.0,0.840506411,4.1029856190743546E-8,7030.0,79.80000000000001,50.792916128717934,7030.0,319128.0,10.0,0.0
