learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
181.0,0.031649492,3.630119161970086E-10,181.0,70.71823204419888,34.75481194314085,181.0,44336.0,10.0,180.4,6.676992004055585,2664.0,0.0
362.0,0.057492835,6.706606878174676E-10,362.0,73.48066298342542,39.98549373121957,362.0,46016.0,10.0,362.5,9.972462083156795,2664.0,0.0
543.0,0.072795341,8.528274134463735E-10,543.0,74.21731123388582,40.45772827670473,543.0,46016.0,10.0,549.3,12.41329931968129,2664.0,0.0
724.0,0.091277791,1.076062492016289E-9,724.0,72.09944751381215,37.7286507476922,724.0,46688.0,10.0,664.6,68.92881996829934,2664.0,0.0
905.0,0.109431518,1.2976941588127779E-9,905.0,73.48066298342542,41.31759823628583,905.0,47192.0,10.0,843.0,69.64114365006428,2664.0,0.0
1086.0,0.12810591,1.5224359336930016E-9,1086.0,71.5,40.20594331943034,1086.0,46520.0,10.0,888.7,135.8253821803732,2664.0,0.0
1267.0,0.151620581,1.8084952556072837E-9,1267.0,73.4,43.14489928525017,1267.0,47024.0,10.0,1062.9999999999998,137.16008489676904,2664.0,0.0
1448.0,0.165605901,1.970119100442777E-9,1448.0,69.8,38.78907770138798,1448.0,44672.0,10.0,916.4,216.5648581321027,2664.0,0.0
1629.0,0.175783859,2.0908389482253955E-9,1629.0,71.2,39.02309923567148,1629.0,45848.0,10.0,1091.0,216.7537773603957,2664.0,0.0
1810.0,0.186228404,2.2165365120934116E-9,1810.0,69.1,36.8671390393998,1810.0,46520.0,10.0,1100.4,236.9968213570244,2664.0,0.0
1991.0,0.196567493,2.339616874820656E-9,1991.0,71.89999999999999,36.76924600138612,1991.0,46016.0,10.0,1277.8000000000002,235.53045568578932,2664.0,0.0
2172.0,0.205951451,2.4517348456672495E-9,2172.0,69.0,34.657330393615815,2172.0,46184.0,10.0,1046.8,261.8951359270008,2664.0,0.0
2353.0,0.215601537,2.568710106983781E-9,2353.0,72.89999999999999,36.4863598012562,2353.0,46856.0,10.0,1230.4,260.83252183047347,2664.0,0.0
2534.0,0.225989645,2.6923740101274517E-9,2534.0,69.8,34.3146978476101,2534.0,46016.0,10.0,1097.3000000000002,287.3709971448058,2664.0,0.0
2715.0,0.235335503,2.806473890894817E-9,2715.0,73.6,37.190711838599164,2715.0,47192.0,10.0,1278.4,287.4299992075365,2664.0,0.0
2896.0,0.244326369,2.9135045053437353E-9,2896.0,69.89999999999999,34.935800440966666,2896.0,46016.0,10.0,826.0,221.29221505612085,2664.0,0.0
3077.0,0.254096625,3.032361061163247E-9,3077.0,73.4,36.69289389633817,3077.0,47024.0,10.0,1003.7,221.06429683088433,2664.0,0.0
3258.0,0.263393697,3.1446531327441336E-9,3258.0,71.5,37.89117662441814,3258.0,46688.0,10.0,988.3,254.28850850078842,2664.0,0.0
3439.0,0.272623169,3.2577332316380407E-9,3439.0,76.4,43.46059490953695,3439.0,47360.0,10.0,1165.4,254.65184075517698,2664.0,0.0
3620.0,0.28227092,3.3700678024358218E-9,3620.0,72.1,39.352572407376805,3620.0,45008.0,10.0,843.1,261.2786273523173,2664.0,0.0
3801.0,0.291355499,3.4790036741685536E-9,3801.0,75.7,41.74338319907939,3801.0,46352.0,10.0,1023.2,260.125473997112,2664.0,0.0
3982.0,0.300572495,3.5879250512810216E-9,3982.0,72.6,38.10874789931151,3982.0,45680.0,10.0,871.1,305.6291670927004,2664.0,0.0
4163.0,0.309434568,3.692266983122875E-9,4163.0,74.7,38.64167709515633,4163.0,45512.0,10.0,780.8000000000001,257.3294818364624,2664.0,0.0
4344.0,0.318231354,3.79889881428952E-9,4344.0,73.0,36.38077285579641,4344.0,46856.0,10.0,940.7999999999998,264.69033479394994,2664.0,0.0
4525.0,0.327133852,3.908359724074188E-9,4525.0,76.2,38.37932445098049,4525.0,47528.0,10.0,1121.6000000000001,263.39633001745995,2664.0,0.0
4706.0,0.336282745,4.019657310497844E-9,4706.0,74.8,38.17741120362692,4706.0,47024.0,10.0,1174.4,303.1952506224331,2664.0,0.0
4887.0,0.345037407,4.128441976675143E-9,4887.0,76.5,38.64037515535735,4887.0,48032.0,10.0,1359.9,303.33041939992324,2664.0,0.0
5068.0,0.354046299,4.236861805164566E-9,5068.0,75.2,37.689381567112065,5068.0,46520.0,10.0,1245.6,373.7864571591052,2664.0,0.0
5249.0,0.362694174,4.343191990827521E-9,5249.0,75.6,37.45385940447872,5249.0,47528.0,10.0,1419.1,372.7018304817464,2664.0,0.0
5430.0,0.371627474,4.450313831360804E-9,5430.0,71.2,32.80447970135324,5430.0,46352.0,10.0,1454.1,421.38663824199375,2664.0,0.0
5611.0,0.380342955,4.557096478665869E-9,5611.0,74.2,36.60559836452272,5611.0,47360.0,10.0,1639.1000000000001,420.40521325660717,2664.0,0.0
5792.0,0.388968921,4.662032583653927E-9,5792.0,70.89999999999999,33.51610692254968,5792.0,47024.0,10.0,1603.9,473.8572792636103,2664.0,0.0
5973.0,0.397012809,4.761635632912318E-9,5973.0,72.1,32.61976293748854,5973.0,47864.0,10.0,1782.2999999999997,471.63764457237477,2664.0,0.0
6154.0,0.405836322,4.86935841034477E-9,6154.0,71.6,38.02509547190398,6154.0,47192.0,10.0,1602.3000000000002,494.2101903261629,2664.0,0.0
6335.0,0.414340772,4.975403582066712E-9,6335.0,74.6,40.33973467623736,6335.0,48200.0,10.0,1778.0,496.22546398901284,2664.0,0.0
6516.0,0.423107387,5.079002604830183E-9,6516.0,71.6,38.24475950247889,6516.0,45680.0,10.0,1629.6,574.801766795398,2664.0,0.0
6697.0,0.431621994,5.1811037738559155E-9,6697.0,74.2,40.15587307478196,6697.0,46352.0,10.0,1813.8000000000002,574.0345866467164,2664.0,0.0
6878.0,0.440074198,5.279517871466363E-9,6878.0,72.2,40.29235269607948,6878.0,45008.0,10.0,1482.7,618.0215215598167,2664.0,0.0
7059.0,0.448556077,5.381226589371348E-9,7059.0,74.7,41.42162537624449,7059.0,46352.0,10.0,1667.3,617.7689616677096,2664.0,0.0
7240.0,0.457118253,5.483526045437903E-9,7240.0,71.5,38.87163472262735,7240.0,46184.0,10.0,1654.4,654.7268336235094,2664.0,0.0
7421.0,0.465563658,5.586999703800927E-9,7421.0,74.0,41.39788581603444,7421.0,47360.0,10.0,1843.2,653.3731246385942,2664.0,0.0
7602.0,0.474201626,5.690204710089085E-9,7602.0,69.1,35.960672806704835,7602.0,46184.0,10.0,1936.1,677.8646611890081,2664.0,0.0
7783.0,0.482200409,5.788206326288896E-9,7783.0,71.7,37.64102383302777,7783.0,47360.0,10.0,2041.9,696.2338759353785,2664.0,0.0
7964.0,0.490721758,5.8889069306871136E-9,7964.0,68.89999999999999,35.18943025048971,7964.0,45680.0,10.0,2022.3,749.1469674829424,2664.0,0.0
8145.0,0.49926855,5.992879872688404E-9,8145.0,71.0,35.815999964588144,8145.0,47024.0,10.0,2208.4,748.7259578777804,2664.0,0.0
8326.0,0.507859591,6.095150821558718E-9,8326.0,70.1,34.26606634070843,8326.0,46016.0,10.0,1699.0,753.3497933305025,2664.0,0.0
8507.0,0.516302633,6.1985955282900905E-9,8507.0,72.5,34.078683683155774,8507.0,47360.0,10.0,1876.3,752.137340443146,2664.0,0.0
8688.0,0.524918648,6.303410577945826E-9,8688.0,72.7,38.056470716366704,8688.0,47024.0,10.0,1867.6,779.7498202771336,2664.0,0.0
8869.0,0.533476182,6.409373823646457E-9,8869.0,74.0,39.75456938419901,8869.0,47864.0,10.0,2046.9,779.4791344937406,2664.0,0.0
9050.0,0.542006454,6.516111719850452E-9,9050.0,73.2,40.117619720072206,9050.0,48368.0,10.0,2235.7999999999997,779.9748542955299,2664.0,0.0
9231.0,0.551537612,6.63620201966208E-9,9231.0,73.7,39.81583186877562,9231.0,48704.0,10.0,2418.0,778.1219413148273,2664.0,0.0
9412.0,0.559944988,6.7432291334639836E-9,9412.0,73.4,41.395492299896446,9412.0,49208.0,10.0,2595.1000000000004,776.454197690444,2664.0,0.0
9593.0,0.568065504,6.847310341118526E-9,9593.0,75.2,43.01496776209668,9593.0,49544.0,10.0,2777.5,778.1411647138468,2664.0,0.0
9774.0,0.576402329,6.952714664965042E-9,9774.0,73.3,39.869198616315934,9774.0,48872.0,10.0,2776.6,824.8823916171323,2664.0,0.0
9955.0,0.584674115,7.056218168193269E-9,9955.0,73.8,36.894536801082914,9955.0,48368.0,10.0,2765.5,868.9723464465878,2664.0,0.0
10136.0,0.592869736,7.160193414398367E-9,10136.0,73.6,37.59307850507056,10136.0,49040.0,10.0,2946.7,866.8792309838268,2664.0,0.0
10317.0,0.601596939,7.271671271473171E-9,10317.0,75.9,39.08542195351283,10317.0,49376.0,10.0,3120.5,865.1942524337782,2664.0,0.0
10498.0,0.610355447,7.385071645594307E-9,10498.0,73.7,37.542153109593336,10498.0,50048.0,10.0,3298.2999999999997,864.5077346868177,2664.0,0.0
10679.0,0.619004236,7.49705143807663E-9,10679.0,76.5,39.91859608933978,10679.0,50048.0,10.0,3480.0,863.69786383897,2664.0,0.0
