learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
181.0,0.053707028,6.13561095794042E-11,181.0,68.50828729281768,31.869510664993726,181.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
362.0,0.068651201,7.842866693933804E-11,362.0,72.65193370165746,39.391171993911726,362.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
543.0,0.074937774,8.561058849096298E-11,543.0,74.03314917127072,41.09315011579328,543.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
724.0,0.079316918,9.061342050631841E-11,724.0,71.96132596685084,38.2761053621825,724.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
905.0,0.084238675,9.62361457447211E-11,905.0,73.14917127071823,41.299490976646844,905.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1086.0,0.088104587,1.006526500483354E-10,1086.0,71.5,40.821276100931904,1086.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1267.0,0.091449415,1.0447385633985202E-10,1267.0,73.2,42.813246841925576,1267.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1448.0,0.095460549,1.0905626550316812E-10,1448.0,68.2,36.306242789385976,1448.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1629.0,0.098367354,1.123770645260811E-10,1629.0,68.8,35.014892420486966,1629.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1810.0,0.100900066,1.1527049134174984E-10,1810.0,66.4,32.108045196644206,1810.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1991.0,0.102949837,1.1761219556132952E-10,1991.0,68.5,27.193217643741406,1991.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2172.0,0.105740752,1.2080059925715127E-10,2172.0,65.4,18.567158558685783,2172.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2353.0,0.107997654,1.2337893456220626E-10,2353.0,70.1,12.833070957961649,2353.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2534.0,0.110546785,1.262911188105742E-10,2534.0,69.1,10.783373947590295,2534.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2715.0,0.11279511,1.2885965555906296E-10,2715.0,73.3,-0.28545673076926614,2715.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2896.0,0.115523194,1.3197627971569698E-10,2896.0,70.6,0.06798096532970019,2896.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3077.0,0.118142885,1.3496907328565917E-10,3077.0,73.9,0.0,3077.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3258.0,0.120293609,1.3742610846956573E-10,3258.0,71.2,0.0,3258.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3439.0,0.137116817,1.7384511674443884E-10,3439.0,73.1,-0.19965432981706752,3439.0,8368.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3620.0,0.142940411,1.8712701963881656E-10,3620.0,71.0,6.5962380829683225,3620.0,8816.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3801.0,0.147806339,1.9822476841509348E-10,3801.0,74.6,17.360749609578335,3801.0,8816.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
