learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
181.0,0.034238,3.959609899255964E-10,181.0,72.37569060773481,37.74934654010182,181.0,44704.0,10.0,0.0,0.0,0.0
362.0,0.05954,6.995742105775408E-10,362.0,74.58563535911603,41.66403923629357,362.0,46384.0,10.0,1.0,0.0,0.0
543.0,0.076242,8.999910950660705E-10,543.0,74.95395948434623,41.19633074276977,543.0,46384.0,10.0,2.0,0.0,0.0
724.0,0.091721,1.088423476450973E-9,724.0,73.75690607734806,39.44356400774783,724.0,47056.0,10.0,3.0,0.0,0.0
905.0,0.107188,1.2787264440622592E-9,905.0,74.58563535911603,42.68808440807514,905.0,47560.0,10.0,2.0,0.0,0.0
1086.0,0.128587,1.5382954395479624E-9,1086.0,71.7,38.33562849721965,1086.0,46888.0,10.0,2.0,0.0,0.0
1267.0,0.153277,1.8410033401515748E-9,1267.0,73.3,40.79822616407983,1267.0,47392.0,10.0,4.0,0.0,0.0
1448.0,0.165524,1.9837039170993698E-9,1448.0,68.8,33.90278625177953,1448.0,45040.0,10.0,3.0,0.0,0.0
1629.0,0.176922,2.119979684551557E-9,1629.0,70.0,33.63272349180364,1629.0,46216.0,10.0,3.0,0.0,0.0
1810.0,0.18888,2.265029735863209E-9,1810.0,69.8,33.81837307152873,1810.0,46888.0,10.0,3.0,0.0,0.0
1991.0,0.200652,2.4062887206673623E-9,1991.0,72.5,33.08286045221385,1991.0,46384.0,10.0,3.0,0.0,0.0
2172.0,0.212074,2.543844274348683E-9,2172.0,71.5,34.24331358325488,2172.0,46552.0,10.0,3.0,0.0,0.0
2353.0,0.223584,2.6844605927666027E-9,2353.0,76.4,38.52725899299315,2353.0,47224.0,10.0,4.0,0.0,0.0
2534.0,0.235261,2.8245796180433698E-9,2534.0,74.4,37.838730356067515,2534.0,46384.0,10.0,2.0,0.0,0.0
