learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
181.0,0.063627739,2.0320209374630617E-9,181.0,67.95580110497238,20.577999697382374,181.0,123448.0,10.0,0.0,0.0,0.0
362.0,0.104203628,3.345490992810163E-9,362.0,71.27071823204419,26.723500330880917,362.0,125128.0,10.0,0.0,0.0,0.0
543.0,0.128188853,4.1219095897819435E-9,543.0,72.55985267034991,31.10369316972231,543.0,125128.0,10.0,0.0,0.0,0.0
724.0,0.154886921,4.997748261630122E-9,724.0,72.23756906077348,32.321973361113166,724.0,126808.0,10.0,0.0,0.0,0.0
905.0,0.175734193,5.68164969675036E-9,905.0,73.37016574585635,36.871003875643645,905.0,126808.0,10.0,0.0,0.0,0.0
1086.0,0.208440673,6.747488849285162E-9,1086.0,71.5,37.12384616742265,1086.0,125968.0,10.0,0.0,0.0,0.0
1267.0,0.225939226,7.320013450624214E-9,1267.0,74.1,43.359750870379116,1267.0,126472.0,10.0,0.0,0.0,0.0
1448.0,0.24442004,7.919053601407342E-9,1448.0,71.39999999999999,39.5992430898155,1448.0,125296.0,10.0,0.0,0.0,0.0
1629.0,0.258516709,8.377823350067354E-9,1629.0,71.7,36.35014169403085,1629.0,125800.0,10.0,0.0,0.0,0.0
1810.0,0.273549284,8.872278470852309E-9,1810.0,71.1,35.273196384257716,1810.0,127144.0,10.0,0.0,0.0,0.0
1991.0,0.291453145,9.45884223277784E-9,1991.0,73.1,27.52842286761139,1991.0,126640.0,10.0,0.0,0.0,0.0
2172.0,0.307553481,9.984919667132199E-9,2172.0,70.1,21.110677234493885,2172.0,126304.0,10.0,0.0,0.0,0.0
2353.0,0.323529066,1.0509698176272214E-8,2353.0,73.9,12.662294204256453,2353.0,126976.0,10.0,0.0,0.0,0.0
2534.0,0.33651887,1.0936397416214977E-8,2534.0,71.39999999999999,11.63675910821099,2534.0,126976.0,10.0,0.0,0.0,0.0
2715.0,0.345701599,1.1239635268180735E-8,2715.0,73.7,6.922423556058897,2715.0,127648.0,10.0,0.0,0.0,0.0
2896.0,0.359951115,1.1708333821482958E-8,2896.0,70.7,5.404532833989791,2896.0,127144.0,10.0,0.0,0.0,0.0
3077.0,0.370713733,1.206421152347492E-8,3077.0,73.7,3.1364634128375375,3077.0,127816.0,10.0,0.0,0.0,0.0
3258.0,0.381806903,1.24319835443505E-8,3258.0,71.89999999999999,10.71201606548208,3258.0,128152.0,10.0,0.0,0.0,0.0
3439.0,0.411570794,1.3454042765320176E-8,3439.0,75.2,17.209699818395453,3439.0,132736.0,10.0,0.0,0.0,0.0
3620.0,0.446721008,1.4768582573230896E-8,3620.0,72.2,21.319567087805087,3620.0,144560.0,10.0,0.0,0.0,0.0
3801.0,0.460649178,1.5292895419034693E-8,3801.0,74.8,27.332287533450234,3801.0,145512.0,10.0,0.0,0.0,0.0
3982.0,0.482786284,1.609378885405345E-8,3982.0,72.3,27.359885873726824,3982.0,139848.0,10.0,0.0,0.0,0.0
4163.0,0.497747729,1.6638326896188987E-8,4163.0,74.5,30.68617963967688,4163.0,140688.0,10.0,0.0,0.0,0.0
4344.0,0.519111882,1.7420541064902725E-8,4344.0,72.89999999999999,30.03201487142414,4344.0,141528.0,10.0,0.0,0.0,0.0
4525.0,0.5430179,1.8324220782586684E-8,4525.0,74.5,27.89929652333235,4525.0,146120.0,10.0,0.0,0.0,0.0
