learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
181.0,0.0702454,2.042592958443695E-9,181.0,63.53591160220995,19.05407236752948,181.0,112400.0,10.0,0.0
362.0,0.107347999,3.1214608623542724E-9,362.0,66.29834254143645,21.51970714717277,362.0,112400.0,10.0,0.0
543.0,0.132811125,3.861876631466051E-9,543.0,69.24493554327809,27.67218344965105,543.0,112400.0,10.0,0.0
724.0,0.157668658,4.584682991314265E-9,724.0,69.47513812154696,26.79708659688164,724.0,112400.0,10.0,0.0
905.0,0.177662641,5.1660672369309596E-9,905.0,70.05524861878453,29.858002888561565,905.0,112400.0,10.0,0.0
1086.0,0.194401453,5.652797749162548E-9,1086.0,69.6,30.713514055584156,1086.0,112400.0,10.0,0.0
1267.0,0.210631187,6.124725311477151E-9,1267.0,72.5,34.95373436524306,1267.0,112400.0,10.0,0.0
1448.0,0.226661788,6.590862492306365E-9,1448.0,71.3,33.552509724022954,1448.0,112400.0,10.0,0.0
1629.0,0.24183921,7.03219096797208E-9,1629.0,71.7,32.93838862559242,1629.0,112400.0,10.0,0.0
1810.0,0.257681545,7.49285375751141E-9,1810.0,70.7,31.820508763275217,1810.0,112400.0,10.0,0.0
1991.0,0.273175741,7.943393375000192E-9,1991.0,72.5,30.003359838727732,1991.0,112400.0,10.0,0.0
2172.0,0.289459693,8.41689748617096E-9,2172.0,71.39999999999999,30.701945676140646,2172.0,112400.0,10.0,0.0
2353.0,0.305888177,8.894604293112126E-9,2353.0,74.5,33.49676611725433,2353.0,112400.0,10.0,0.0
2534.0,0.322121372,9.366632494247621E-9,2534.0,73.8,35.442538931598655,2534.0,112400.0,10.0,0.0
2715.0,0.33780362,9.822640280342763E-9,2715.0,75.1,35.37167774086378,2715.0,112400.0,10.0,0.0
2896.0,0.351750042,1.0228173786774277E-8,2896.0,73.1,35.14008776582921,2896.0,112400.0,10.0,0.0
3077.0,0.364548553,1.0600328382622037E-8,3077.0,73.8,33.23990317237864,3077.0,112400.0,10.0,0.0
3258.0,0.397104012,1.1586457630772557E-8,3258.0,71.1,31.028886725089254,3258.0,117088.0,10.0,0.0
3439.0,0.42563778,1.2458680033961104E-8,3439.0,73.5,34.09534041621903,3439.0,118160.0,10.0,0.0
3620.0,0.460219634,1.3711813221830462E-8,3620.0,71.6,32.78806467492142,3620.0,140072.0,10.0,0.0
3801.0,0.485060512,1.4645588004204134E-8,3801.0,72.8,32.991722506897915,3801.0,145304.0,10.0,0.0
3982.0,0.502795168,1.533462741892785E-8,3982.0,70.1,31.365977724931344,3982.0,150184.0,10.0,0.0
4163.0,0.519910052,1.6001995645186142E-8,4163.0,71.8,32.729007633587784,4163.0,150728.0,10.0,0.0
4344.0,0.534548001,1.6572779651679516E-8,4344.0,68.7,28.257082607499783,4344.0,150728.0,10.0,0.0
4525.0,0.550035524,1.71766914721537E-8,4525.0,69.89999999999999,28.12729825499766,4525.0,150728.0,10.0,0.0
4706.0,0.56598392,1.7798574316944518E-8,4706.0,66.9,25.67343015997054,4706.0,150728.0,10.0,0.0
4887.0,0.580804389,1.8376475406361543E-8,4887.0,68.8,27.096330982657317,4887.0,150728.0,10.0,0.0
5068.0,0.601953386,1.9249557295694124E-8,5068.0,67.60000000000001,26.111407577685664,5068.0,159576.0,10.0,0.0
5249.0,0.616833226,1.986383317932901E-8,5249.0,69.5,29.616467438962456,5249.0,159576.0,10.0,0.0
5430.0,0.635901048,2.067282208618605E-8,5430.0,65.9,25.018690355776418,5430.0,164000.0,10.0,0.0
5611.0,0.650126593,2.127636810727832E-8,5611.0,69.0,27.740275239622548,5611.0,164000.0,10.0,0.0
5792.0,0.666618841,2.1976083349068138E-8,5792.0,67.30000000000001,26.369261530978953,5792.0,164000.0,10.0,0.0
5973.0,0.681660693,2.2614262759731055E-8,5973.0,70.5,30.35422549176999,5973.0,164000.0,10.0,0.0
6154.0,0.698927768,2.334685152256241E-8,6154.0,69.1,30.282929470691734,6154.0,164000.0,10.0,0.0
6335.0,0.713692314,2.397326569449985E-8,6335.0,73.2,34.6723868954758,6335.0,164000.0,10.0,0.0
6516.0,0.731085675,2.4711212383007844E-8,6516.0,70.5,32.08711266632901,6516.0,164000.0,10.0,0.0
6697.0,0.746370763,2.5359711547324233E-8,6697.0,73.5,34.2399126507519,6697.0,164000.0,10.0,0.0
6878.0,0.769837892,2.640794831230616E-8,6878.0,71.39999999999999,32.1879579091129,6878.0,172664.0,10.0,0.0
7059.0,0.790537284,2.7402169287546232E-8,7059.0,73.7,32.42965490308922,7059.0,185664.0,10.0,0.0
7240.0,0.815458108,2.8656194957803113E-8,7240.0,71.1,29.22633857727798,7240.0,194512.0,10.0,0.0
7421.0,0.832341083,2.9505752903411378E-8,7421.0,72.2,30.616217835126168,7421.0,194512.0,10.0,0.0
7602.0,0.850900797,3.043968501531209E-8,7602.0,69.5,27.895299246328563,7602.0,194512.0,10.0,0.0
7783.0,0.866932358,3.1246399473400996E-8,7783.0,70.89999999999999,27.953176992552685,7783.0,194512.0,10.0,0.0
7964.0,0.885951848,3.220346769454786E-8,7964.0,70.0,28.99072145427003,7964.0,194512.0,10.0,0.0
8145.0,0.909839326,3.354283281009438E-8,8145.0,72.8,32.54269402655636,8145.0,216736.0,10.0,0.0
8326.0,0.931100706,3.4750002160165464E-8,8326.0,70.7,27.256296178596962,8326.0,219472.0,10.0,0.0
8507.0,0.953097565,3.60241054441159E-8,8507.0,72.0,26.892950391644906,8507.0,223896.0,10.0,0.0
8688.0,0.973661856,3.721523144511506E-8,8688.0,72.0,32.94730136835399,8688.0,223896.0,10.0,0.0
8869.0,0.993613519,3.8373226421531295E-8,8869.0,72.7,36.130191469052384,8869.0,224352.0,10.0,0.0
9050.0,1.013932803,3.955255812918768E-8,9050.0,71.8,36.51851318253853,9050.0,224352.0,10.0,0.0
9231.0,1.033015943,4.0660144010838125E-8,9231.0,72.8,38.5971249006718,9231.0,224352.0,10.0,0.0
9412.0,1.055902473,4.2016282631839735E-8,9412.0,72.8,40.157438738378,9412.0,229048.0,10.0,0.0
9593.0,1.076772132,4.3299213588117734E-8,9593.0,73.7,41.165416897829154,9593.0,237624.0,10.0,0.0
9774.0,1.098719341,4.4669869951750675E-8,9774.0,72.3,38.20495431182181,9774.0,241408.0,10.0,0.0
9955.0,1.117593088,4.5851706065978445E-8,9955.0,74.2,39.21717373993431,9955.0,242048.0,10.0,0.0
10136.0,1.138271375,4.716780841199268E-8,10136.0,73.0,35.65146929145118,10136.0,246024.0,10.0,0.0
10317.0,1.157384054,4.840835458302457E-8,10317.0,74.0,36.02362204724411,10317.0,250896.0,10.0,0.0
10498.0,1.178950035,4.983281925668733E-8,10498.0,73.8,37.455837136909636,10498.0,255320.0,10.0,0.0
10679.0,1.197387483,5.1051937117829095E-8,10679.0,76.0,39.16935757772383,10679.0,255592.0,10.0,0.0
10860.0,1.215877669,5.229440289007707E-8,10860.0,76.2,41.241821997284305,10860.0,259744.0,10.0,0.0
11041.0,1.231878513,5.336959494044798E-8,11041.0,77.0,41.541276941846284,11041.0,259744.0,10.0,0.0
