learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
181.0,0.059570083,1.7260121843881079E-9,181.0,69.06077348066299,25.184529081783307,181.0,112000.0,10.0,0.0
362.0,0.095109877,2.755759238368935E-9,362.0,71.27071823204419,28.243052643616817,362.0,112000.0,10.0,0.0
543.0,0.116417075,3.3731242227885456E-9,543.0,72.55985267034991,32.07086184459093,543.0,112000.0,10.0,0.0
724.0,0.137573939,3.986133357716931E-9,724.0,72.09944751381215,32.81761052515526,724.0,112000.0,10.0,0.0
905.0,0.155399486,4.502619314524862E-9,905.0,73.37016574585635,37.498746278237384,905.0,112000.0,10.0,0.0
1086.0,0.171622723,4.972679172125127E-9,1086.0,71.6,37.781789343159716,1086.0,112000.0,10.0,0.0
1267.0,0.185770725,5.382610174516837E-9,1267.0,74.0,43.2869158552333,1267.0,112000.0,10.0,0.0
1448.0,0.198088811,5.739520312183433E-9,1448.0,71.1,39.57615495266449,1448.0,112000.0,10.0,0.0
1629.0,0.209115986,6.0590269747707574E-9,1629.0,70.89999999999999,34.77968532879107,1629.0,112000.0,10.0,0.0
1810.0,0.219609405,6.3630683347582814E-9,1810.0,70.3,32.60232192943439,1810.0,112000.0,10.0,0.0
1991.0,0.229093493,6.637864853772852E-9,1991.0,72.2,23.329803194775394,1991.0,112000.0,10.0,0.0
2172.0,0.239204136,6.930815478165944E-9,2172.0,69.1,14.246703077127998,2172.0,112000.0,10.0,0.0
2353.0,0.249238994,7.221570271584723E-9,2353.0,73.2,1.4886969307113058,2353.0,112000.0,10.0,0.0
2534.0,0.259041451,7.50559136685398E-9,2534.0,71.1,1.169550646330613,2534.0,112000.0,10.0,0.0
2715.0,0.267511862,7.751017121805086E-9,2715.0,73.9,-0.19963144963147883,2715.0,112000.0,10.0,0.0
2896.0,0.27578169,7.990631088614464E-9,2896.0,70.89999999999999,-0.19971076372151536,2896.0,112000.0,10.0,0.0
3077.0,0.283208113,8.205807834035821E-9,3077.0,73.9,0.0,3077.0,112000.0,10.0,0.0
3258.0,0.290685842,8.422471144133145E-9,3258.0,71.2,0.0,3258.0,112000.0,10.0,0.0
3439.0,0.322412214,9.481847025139466E-9,3439.0,73.2,0.0,3439.0,129072.0,10.0,0.0
3620.0,0.353284425,1.0726105237301026E-8,3620.0,71.1,4.510791271823743,3620.0,155792.0,10.0,0.0
3801.0,0.369155443,1.1367602258096968E-8,3801.0,75.0,15.967516403140797,3801.0,156240.0,10.0,0.0
3982.0,0.39035191,1.224589008053351E-8,3982.0,72.8,21.2160533877097,3982.0,160168.0,10.0,0.0
4163.0,0.405635375,1.2884356700782148E-8,4163.0,75.5,28.874179875747547,4163.0,161480.0,10.0,0.0
4344.0,0.420648657,1.3512592862033183E-8,4344.0,74.9,32.16949518970923,4344.0,161752.0,10.0,0.0
4525.0,0.438363462,1.4313452045975462E-8,4525.0,76.4,35.11528035147723,4525.0,174752.0,10.0,0.0
4706.0,0.456521629,1.517291227914807E-8,4706.0,75.6,37.37584247457819,4706.0,182960.0,10.0,0.0
4887.0,0.469514506,1.5790040821772483E-8,4887.0,75.8,33.71279562175757,4887.0,183600.0,10.0,0.0
5068.0,0.485429086,1.656415691928731E-8,5068.0,74.0,30.113162916969078,5068.0,188024.0,10.0,0.0
5249.0,0.498221803,1.7186419533861593E-8,5249.0,74.6,30.57681374907073,5249.0,188024.0,10.0,0.0
5430.0,0.512614894,1.788652744975355E-8,5430.0,71.3,26.953423262916747,5430.0,188024.0,10.0,0.0
5611.0,0.525864215,1.853100017019237E-8,5611.0,74.8,31.18063444900814,5611.0,188024.0,10.0,0.0
5792.0,0.541967713,1.9332735930397692E-8,5792.0,71.89999999999999,28.599741841059462,5792.0,192448.0,10.0,0.0
5973.0,0.554207902,1.994213130728859E-8,5973.0,74.8,33.61712888813958,5973.0,192448.0,10.0,0.0
6154.0,0.569070795,2.06821017670114E-8,6154.0,74.7,37.86043404364015,6154.0,192448.0,10.0,0.0
6335.0,0.58034463,2.1243385823068933E-8,6335.0,77.5,40.08946639684738,6335.0,192448.0,10.0,0.0
6516.0,0.595497938,2.1997626842142393E-8,6516.0,75.3,39.0334205459841,6516.0,192400.0,10.0,0.0
6697.0,0.609874924,2.274464815158604E-8,6697.0,77.7,40.70725870779049,6697.0,200848.0,10.0,0.0
6878.0,0.623959293,2.3476465221802807E-8,6878.0,77.0,41.14004063896324,6878.0,200848.0,10.0,0.0
7059.0,0.637757129,2.4209185686941362E-8,7059.0,78.9,41.416227982497055,7059.0,205272.0,10.0,0.0
7240.0,0.651329682,2.492994272067315E-8,7240.0,75.6,37.08778316943498,7240.0,205272.0,10.0,0.0
7421.0,0.663338972,2.5569076067147157E-8,7421.0,76.2,35.62521976684428,7421.0,205720.0,10.0,0.0
7602.0,0.677637264,2.6330029896626042E-8,7602.0,73.8,34.05951757741715,7602.0,205720.0,10.0,0.0
7783.0,0.69445405,2.726156207530035E-8,7783.0,75.1,33.26543739279588,7783.0,214120.0,10.0,0.0
7964.0,0.708218469,2.8024014497496604E-8,7964.0,73.2,30.842279108175074,7964.0,214120.0,10.0,0.0
8145.0,0.724087384,2.893936495197316E-8,8145.0,74.7,28.39109219151561,8145.0,222968.0,10.0,0.0
8326.0,0.737330967,2.9703281055748878E-8,8326.0,74.6,25.452421622319676,8326.0,222968.0,10.0,0.0
8507.0,0.750012866,3.043626791939553E-8,8507.0,76.0,23.50256266415073,8507.0,223416.0,10.0,0.0
8688.0,0.763431953,3.1211862685852164E-8,8688.0,73.5,20.160522541847957,8688.0,223416.0,10.0,0.0
8869.0,0.776378103,3.1947127885154134E-8,8869.0,73.9,25.262868531372405,8869.0,219536.0,10.0,0.0
9050.0,0.791895013,3.2861731350287375E-8,9050.0,72.89999999999999,25.863106636756545,9050.0,227840.0,10.0,0.0
9231.0,0.807445148,3.379428795193218E-8,9231.0,74.7,30.719856291622843,9231.0,231816.0,10.0,0.0
9412.0,0.821273771,3.462360381769844E-8,9412.0,73.3,30.856959363573278,9412.0,231816.0,10.0,0.0
9593.0,0.836380868,3.554863183519699E-8,9593.0,75.0,33.597173895721,9593.0,236688.0,10.0,0.0
9774.0,0.851300941,3.646220811978189E-8,9774.0,74.5,33.98981113320081,9774.0,236688.0,10.0,0.0
9955.0,0.865417565,3.732658813352593E-8,9955.0,75.7,32.95220016113547,9955.0,236688.0,10.0,0.0
10136.0,0.882367192,3.838383547121038E-8,10136.0,75.7,32.78752005310617,10136.0,241112.0,10.0,0.0
10317.0,0.895781971,3.922059367145722E-8,10317.0,78.0,35.63788705034288,10317.0,241112.0,10.0,0.0
10498.0,0.910877608,4.016219681286563E-8,10498.0,76.7,34.81204606242378,10498.0,241112.0,10.0,0.0
10679.0,0.928118483,4.125534485251953E-8,10679.0,79.9,39.60626892937841,10679.0,245088.0,10.0,0.0
10860.0,0.947180258,4.2509787355264024E-8,10860.0,79.7,42.39500567536892,10860.0,254384.0,10.0,0.0
11041.0,0.962685589,4.3546131378157684E-8,11041.0,79.4,37.95180722891567,11041.0,258360.0,10.0,0.0
11222.0,0.979208825,4.465163853798682E-8,11222.0,77.0,34.288718230023775,11222.0,258624.0,10.0,0.0
11403.0,0.997956354,4.596816110996736E-8,11403.0,78.10000000000001,33.61624734768114,11403.0,271448.0,10.0,0.0
11584.0,1.014139234,4.7106459866844944E-8,11584.0,78.10000000000001,32.069431864709635,11584.0,271896.0,10.0,0.0
11765.0,1.028663228,4.8129756398014723E-8,11765.0,79.4,29.812128191674216,11765.0,272344.0,10.0,0.0
11946.0,1.046941332,4.945598467915836E-8,11946.0,77.8,29.54349261158786,11946.0,280472.0,10.0,0.0
12127.0,1.064909638,5.078156349223935E-8,12127.0,79.7,36.61954241182935,12127.0,285168.0,10.0,0.0
12308.0,1.081586792,5.202980328928265E-8,12308.0,77.9,36.802973977695196,12308.0,289320.0,10.0,0.0
