learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7659.0,0.189133013,1.608780447455744E-9,7659.0,100.0,?,7659.0,32880.0,10.0,0.0
15318.0,0.320521983,2.7291047072865896E-9,15318.0,100.0,?,15318.0,32960.0,10.0,0.0
22977.0,0.444209485,3.786320121524235E-9,22977.0,100.0,?,22977.0,33040.0,10.0,0.0
30636.0,0.565305484,4.823890947115918E-9,30636.0,100.0,?,30636.0,33120.0,10.0,0.0
38295.0,0.685262622,5.851703820688029E-9,38295.0,100.0,?,38295.0,33120.0,10.0,0.0
45954.0,0.815567204,6.968175329578419E-9,45954.0,100.0,?,45954.0,33120.0,10.0,0.0
53613.0,0.945253296,8.07934751243641E-9,53613.0,100.0,?,53613.0,33120.0,10.0,0.0
61272.0,1.08319833,9.261283695263167E-9,61272.0,100.0,?,61272.0,33120.0,10.0,0.0
68931.0,1.214162912,1.0383410194826623E-8,68931.0,100.0,?,68931.0,33120.0,10.0,0.0
76590.0,1.344502184,1.1500178933454057E-8,76590.0,100.0,?,76590.0,33120.0,10.0,0.0
84249.0,1.474382301,1.2613013555047413E-8,84249.0,100.0,?,84249.0,33120.0,10.0,0.0
91908.0,1.60414862,1.3724873136294385E-8,91908.0,100.0,?,91908.0,33120.0,10.0,0.0
99567.0,1.735089955,1.4846800451663635E-8,99567.0,100.0,?,99567.0,33120.0,10.0,0.0
107226.0,1.868208803,1.599014009885076E-8,107226.0,100.0,?,107226.0,33200.0,10.0,0.0
114885.0,1.996166512,1.7089151426404717E-8,114885.0,100.0,?,114885.0,33200.0,10.0,0.0
122544.0,2.124151036,1.8188393064339958E-8,122544.0,100.0,?,122544.0,33200.0,10.0,0.0
130203.0,2.244648593,1.92233301628588E-8,130203.0,100.0,?,130203.0,33200.0,10.0,0.0
137862.0,2.359496112,2.020973985484905E-8,137862.0,100.0,?,137862.0,33200.0,10.0,0.0
145521.0,2.475704242,2.1207835649326445E-8,145521.0,100.0,?,145521.0,33200.0,10.0,0.0
153180.0,2.58981695,2.218793414976034E-8,153180.0,100.0,?,153180.0,33200.0,10.0,0.0
160839.0,2.702802005,2.315834739222709E-8,160839.0,100.0,?,160839.0,33200.0,10.0,0.0
168498.0,2.815903088,2.4129757183376287E-8,168498.0,100.0,?,168498.0,33200.0,10.0,0.0
176157.0,2.930789761,2.5116503163737556E-8,176157.0,100.0,?,176157.0,33200.0,10.0,0.0
183816.0,3.047680606,2.6120462704325716E-8,183816.0,100.0,?,183816.0,33200.0,10.0,0.0
191475.0,3.164934953,2.712754431406243E-8,191475.0,100.0,?,191475.0,33200.0,10.0,0.0
199134.0,3.28046274,2.8119796735213862E-8,199134.0,100.0,?,199134.0,33200.0,10.0,0.0
206793.0,3.396104003,2.9113023786267473E-8,206793.0,100.0,?,206793.0,33200.0,10.0,0.0
214452.0,3.512397809,3.011426226349755E-8,214452.0,100.0,?,214452.0,33280.0,10.0,0.0
222111.0,3.628529906,3.111410849742178E-8,222111.0,100.0,?,222111.0,33280.0,10.0,0.0
229770.0,3.744566511,3.21131325872615E-8,229770.0,100.0,?,229770.0,33280.0,10.0,0.0
237429.0,3.863168811,3.313424618163457E-8,237429.0,100.0,?,237429.0,33280.0,10.0,0.0
245088.0,3.979597637,3.413664712162896E-8,245088.0,100.0,?,245088.0,33280.0,10.0,0.0
252747.0,4.092649551,3.5109974335817005E-8,252747.0,100.0,?,252747.0,33280.0,10.0,0.0
260406.0,4.206538959,3.6090512004680934E-8,260406.0,100.0,?,260406.0,33280.0,10.0,0.0
268065.0,4.319088248,3.7059511838874057E-8,268065.0,100.0,?,268065.0,33280.0,10.0,0.0
275724.0,4.431411266,3.802656357936147E-8,275724.0,100.0,?,275724.0,33280.0,10.0,0.0
283383.0,4.545478316,3.900863066764755E-8,283383.0,100.0,?,283383.0,33280.0,10.0,0.0
291042.0,4.659208007,3.998779324344877E-8,291042.0,100.0,?,291042.0,33280.0,10.0,0.0
298701.0,4.773438351,4.0971266221192975E-8,298701.0,100.0,?,298701.0,33280.0,10.0,0.0
306360.0,4.887684326,4.195487377496643E-8,306360.0,100.0,?,306360.0,33280.0,10.0,0.0
314019.0,5.002580128,4.294645394324842E-8,314019.0,100.0,?,314019.0,33360.0,10.0,0.0
321678.0,5.118110533,4.394351089778873E-8,321678.0,100.0,?,321678.0,33360.0,10.0,0.0
329337.0,5.234925701,4.4951655685736067E-8,329337.0,100.0,?,329337.0,33360.0,10.0,0.0
336996.0,5.350896289,4.595251153219077E-8,336996.0,100.0,?,336996.0,33360.0,10.0,0.0
344655.0,5.465939198,4.694536127152128E-8,344655.0,100.0,?,344655.0,33360.0,10.0,0.0
352314.0,5.580811184,4.793673590162976E-8,352314.0,100.0,?,352314.0,33360.0,10.0,0.0
359973.0,5.693640735,4.891048379511469E-8,359973.0,100.0,?,359973.0,33360.0,10.0,0.0
367632.0,5.806252651,4.988235344286594E-8,367632.0,100.0,?,367632.0,33360.0,10.0,0.0
375291.0,5.919150201,5.085668818511897E-8,375291.0,100.0,?,375291.0,33360.0,10.0,0.0
382950.0,6.033111087,5.1840199789115124E-8,382950.0,100.0,?,382950.0,33360.0,10.0,0.0
390609.0,6.147839272,5.283033337980095E-8,390609.0,100.0,?,390609.0,33360.0,10.0,0.0
398268.0,6.262401114,5.3819031387836574E-8,398268.0,100.0,?,398268.0,33360.0,10.0,0.0
405927.0,6.374655121,5.4787812189343906E-8,405927.0,100.0,?,405927.0,33360.0,10.0,0.0
413586.0,6.487752612,5.5763872473583454E-8,413586.0,100.0,?,413586.0,33360.0,10.0,0.0
421245.0,6.696559522,5.7868433114741414E-8,421245.0,24.0,0.0,421245.0,38960.0,10.0,0.0
428904.0,6.887548427,5.979735915960951E-8,428904.0,72.7,0.0,428904.0,39040.0,10.0,0.0
436563.0,7.076879648,6.171346154308154E-8,436563.0,83.5,0.0,436563.0,39120.0,10.0,0.0
444222.0,7.26500377,6.362124106325209E-8,444222.0,73.0,0.0,444222.0,39200.0,10.0,0.0
451881.0,7.45465897,6.554454734958709E-8,451881.0,31.4,0.0,451881.0,39200.0,10.0,0.0
459540.0,7.646976682,6.74948543512573E-8,459540.0,56.00000000000001,0.0,459540.0,39200.0,10.0,0.0
467199.0,7.841329038,6.94657948161579E-8,467199.0,44.6,0.0,467199.0,39200.0,10.0,0.0
474858.0,8.036723225,7.144730056011015E-8,474858.0,2.1,0.0,474858.0,39200.0,10.0,0.0
482517.0,8.232842285,7.343615729047193E-8,482517.0,21.8,0.0,482517.0,39200.0,10.0,0.0
490176.0,8.427481514,7.541000695398285E-8,490176.0,19.5,0.0,490176.0,39200.0,10.0,0.0
497835.0,8.619693052,7.735923723789554E-8,497835.0,7.1,0.0,497835.0,39200.0,10.0,0.0
505494.0,8.80979216,7.928704522545967E-8,505494.0,6.9,0.0,505494.0,39200.0,10.0,0.0
513153.0,8.998341869,8.119914065235192E-8,513153.0,9.0,0.0,513153.0,39200.0,10.0,0.0
520812.0,9.191761938,8.316062673135765E-8,520812.0,97.3,0.0,520812.0,39200.0,10.0,0.0
528471.0,9.382968809,8.510362584721298E-8,528471.0,6.5,0.0,528471.0,39280.0,10.0,0.0
