learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
7659.0,0.67526181,8.657671744935215E-9,7659.0,100.0,?,7659.0,49560.0,10.0,0.0,0.0
15318.0,1.085427371,1.410324330703459E-8,15318.0,100.0,?,15318.0,51320.0,10.0,0.0,0.0
22977.0,1.428887654,1.8819582885483073E-8,22977.0,100.0,?,22977.0,53080.0,10.0,0.0,0.0
30636.0,1.749041621,2.322250992718877E-8,30636.0,100.0,?,30636.0,53160.0,10.0,0.0,0.0
38295.0,2.062038863,2.7527013893497902E-8,38295.0,100.0,?,38295.0,53160.0,10.0,0.0,0.0
45954.0,2.393999449,3.2236587598309336E-8,45954.0,100.0,?,45954.0,54840.0,10.0,0.0,0.0
53613.0,2.731947033,3.703109972515247E-8,53613.0,100.0,?,53613.0,54840.0,10.0,0.0,0.0
61272.0,3.069431226,4.181903765565819E-8,61272.0,100.0,?,61272.0,54840.0,10.0,0.0,0.0
68931.0,3.407762354,4.6618991177694664E-8,68931.0,100.0,?,68931.0,54840.0,10.0,0.0,0.0
76590.0,3.746376384,5.142295827205396E-8,76590.0,100.0,?,76590.0,54840.0,10.0,0.0,0.0
84249.0,4.085247426,5.637785081743366E-8,84249.0,100.0,?,84249.0,56520.0,10.0,0.0,0.0
91908.0,4.424293378,6.133530085562832E-8,91908.0,100.0,?,91908.0,56520.0,10.0,0.0,0.0
99567.0,4.762967574,6.628731516516872E-8,99567.0,100.0,?,99567.0,56520.0,10.0,0.0,0.0
107226.0,5.106892452,7.132322159891743E-8,107226.0,100.0,?,107226.0,56600.0,10.0,0.0,0.0
114885.0,5.4480988,7.631932206458103E-8,114885.0,100.0,?,114885.0,56600.0,10.0,0.0,0.0
122544.0,5.788262502,8.130015562739639E-8,122544.0,100.0,?,122544.0,56600.0,10.0,0.0,0.0
130203.0,6.115967732,8.609856650632704E-8,130203.0,100.0,?,130203.0,56600.0,10.0,0.0,0.0
137862.0,6.43375301,9.075172488014733E-8,137862.0,100.0,?,137862.0,56600.0,10.0,0.0,0.0
145521.0,6.75474318,9.545181075841604E-8,145521.0,100.0,?,145521.0,56600.0,10.0,0.0,0.0
