learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
10000.0,0.92855087,3.419725996680144E-8,10000.0,61.4,22.761689798139873,10000.0,142360.0,10.0,1455.1,371.71678137468524,6000.000000000001,544.0000000000001,1.2000000000000002,0.19999999999999998,1.1,0.09999999999999999,1.1,0.09999999999999999,0.10000000000000002,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.72417,7.562781303620173E-8,20000.0,63.5,26.729191090269627,20000.0,201288.0,10.0,3137.8,1166.6928073261902,11984.0,2785.6955245603485,3.4,1.024152766382481,2.2,0.5120763831912405,2.2,0.5120763831912405,1.0,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.476424414,1.2199763028190367E-7,30000.0,72.89999999999999,45.96168264552459,30000.0,238272.0,10.0,4714.8,970.8916726391261,15248.0,3012.5355876182884,4.6,1.1075498483890767,2.8,0.5537749241945383,2.8,0.5537749241945383,1.3,0.36666666666666664,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.194752595,1.4987391906084077E-7,40000.0,72.7,45.38383361474996,40000.0,150008.0,10.0,2249.5,491.3020173195122,6544.0,1087.9999999999998,1.4,0.39999999999999997,1.2000000000000002,0.19999999999999998,1.2000000000000002,0.19999999999999998,0.20000000000000004,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.885543009,1.752547403793968E-7,50000.0,67.10000000000001,34.16418531681234,50000.0,142024.0,10.0,1134.7,374.4360515050156,6000.000000000001,544.0000000000001,1.2000000000000002,0.19999999999999998,1.1,0.09999999999999999,1.1,0.09999999999999999,0.10000000000000002,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,4.573456485,2.0875747623348606E-7,60000.0,60.699999999999996,21.411316770385056,60000.0,188256.0,10.0,2708.7000000000003,800.7157638291159,10352.0,2492.9211780559767,2.8,0.9165151389911679,1.9,0.45825756949558394,1.9,0.45825756949558394,0.6,0.30550504633038933,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,5.246489535,2.3221273909842594E-7,70000.0,62.9,25.736430384409058,70000.0,134712.0,10.0,813.5999999999999,248.66493296982767,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,5.925056002,2.680394956958956E-7,80000.0,67.60000000000001,35.20000000000001,80000.0,204088.0,10.0,3377.4999999999995,928.3566155069697,11928.0,3275.128089098196,3.4000000000000004,1.222020185321557,2.2,0.6110100926607785,2.2,0.6110100926607785,1.0,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,6.586869868,2.926720683396525E-7,90000.0,64.0,28.023032629558546,90000.0,143872.0,10.0,1779.6000000000001,314.87313847537604,6000.000000000001,544.0000000000001,1.2000000000000002,0.19999999999999998,1.1,0.09999999999999999,1.1,0.09999999999999999,0.10000000000000002,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,7.258444597,3.166310766510955E-7,100000.0,68.89999999999999,37.68334321850502,100000.0,137904.0,10.0,1163.1000000000001,81.53369446635747,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110000.0,7.923650641,3.449487117415708E-7,110000.0,68.5,36.63807669407658,110000.0,164552.0,10.0,2275.1,744.601555643464,8176.0,1461.95607169147,2.0,0.5374838498865699,1.5,0.26874192494328497,1.5,0.26874192494328497,0.49999999999999994,0.26874192494328497,0.0,0.0,0.0,0.0,1.0,0.0
120000.0,8.59307853,3.811034616303816E-7,120000.0,73.9,47.78454422509062,120000.0,208768.0,10.0,3233.3,1035.539280332287,12528.0,2929.52965508117,3.6,1.0770329614269007,2.3,0.5385164807134504,2.3,0.5385164807134504,1.0,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
130000.0,9.260158849,4.147084818024043E-7,130000.0,74.6,49.154442380372814,130000.0,194728.0,10.0,3982.3999999999996,866.082202924308,10896.0,2432.841959519771,3.0,0.8944271909999159,2.0,0.4472135954999579,2.0,0.4472135954999579,0.9,0.37859388972001823,0.0,0.0,0.0,0.0,1.0,0.0
140000.0,9.939489338,4.457545872644231E-7,140000.0,68.30000000000001,35.780559944896886,140000.0,176656.0,10.0,2332.4,896.1373059476495,9264.0,2570.843700681419,2.4,0.9451631252505217,1.7,0.47258156262526085,1.7,0.47258156262526085,0.5,0.34156502553198664,0.0,0.0,0.0,0.0,1.0,0.0
150000.0,10.622008822,4.749872314742269E-7,150000.0,73.2,46.44883865914286,150000.0,165560.0,10.0,1644.5,358.89993189064705,8176.0,906.6666666666666,2.0,0.3333333333333333,1.5,0.16666666666666666,1.5,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
160000.0,11.27830203,4.982869638025822E-7,160000.0,66.0,31.18328320507787,160000.0,137232.0,10.0,890.5999999999999,131.2588790647449,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
170000.0,11.939290684,5.219257601559223E-7,170000.0,65.9,31.679208841231304,170000.0,138240.0,10.0,1310.3,104.96169142437951,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
180000.0,12.59864753,5.477141353856171E-7,180000.0,75.2,50.37200981353484,180000.0,151184.0,10.0,3171.6000000000004,680.2579608746474,6544.0,1087.9999999999998,1.4,0.39999999999999997,1.2000000000000002,0.19999999999999998,1.2000000000000002,0.19999999999999998,0.20000000000000004,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
190000.0,13.270186281,5.812115876591722E-7,190000.0,68.7,37.43053389945708,190000.0,192816.0,10.0,2775.0,600.6702367633453,10856.0,1800.395018384083,3.0,0.6666666666666666,2.0,0.3333333333333333,2.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
200000.0,13.942925197,6.053875596900303E-7,200000.0,66.7,33.51966460371332,200000.0,138912.0,10.0,2058.1,122.12129216479819,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210000.0,14.596897809,6.296714369628183E-7,210000.0,62.1,24.303552739851884,210000.0,143536.0,10.0,1574.7,328.8671819037791,6000.0,544.0,1.2,0.19999999999999998,1.1,0.09999999999999999,1.1,0.09999999999999999,0.1,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,0.0
220000.0,15.260147668,6.531893184503083E-7,220000.0,68.0,36.00000000000001,220000.0,137064.0,10.0,776.2,73.99020956255706,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
230000.0,15.92216872,6.919240532560065E-7,230000.0,77.60000000000001,54.98446562139524,230000.0,226168.0,10.0,4589.9,854.096201321087,14160.0,1849.2444102629831,4.199999999999999,0.679869268479038,2.6,0.339934634239519,2.6,0.339934634239519,1.4,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
240000.0,16.606681737,7.191581568669691E-7,240000.0,69.6,38.1110011767053,240000.0,153792.0,10.0,1482.5,507.45726147353747,7088.0,1161.0998617211565,1.6,0.4268749491621899,1.2999999999999998,0.21343747458109494,1.2999999999999998,0.21343747458109494,0.3,0.21343747458109494,0.0,0.0,0.0,0.0,1.0,0.0
250000.0,17.281518148,7.458312887527584E-7,250000.0,65.0,30.456207280241625,250000.0,152784.0,10.0,1721.4999999999998,658.7015046454821,7088.0,1632.0,1.6,0.6,1.2999999999999998,0.3,1.2999999999999998,0.3,0.20000000000000004,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
260000.0,17.938571705,7.696720352045982E-7,260000.0,67.7,35.27417299229704,260000.0,140256.0,10.0,2648.8,69.26740455173221,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
270000.0,18.620387532,7.979996656793995E-7,270000.0,70.19999999999999,40.38211463439031,270000.0,160600.0,10.0,2934.5,1072.5879321632433,7632.0,2176.0,1.8,0.7999999999999999,1.4,0.39999999999999997,1.4,0.39999999999999997,0.3,0.3,0.0,0.0,0.0,0.0,1.0,0.0
280000.0,19.300192817,8.296147651542597E-7,280000.0,63.6,26.991780558151845,280000.0,179768.0,10.0,2800.1,968.2138015725429,9808.0,1776.6965600987317,2.6,0.6531972647421808,1.7999999999999998,0.3265986323710904,1.7999999999999998,0.3265986323710904,0.7999999999999999,0.3265986323710904,0.0,0.0,0.0,0.0,1.0,0.0
290000.0,19.959319597,8.551076743420004E-7,290000.0,72.2,44.41422995713097,290000.0,149504.0,10.0,1900.7,345.2328055095575,6544.0,1087.9999999999998,1.4,0.39999999999999997,1.2000000000000002,0.19999999999999998,1.2000000000000002,0.19999999999999998,0.20000000000000004,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
300000.0,20.626366293,8.906837690205415E-7,300000.0,69.1,38.30364986822137,300000.0,206160.0,10.0,4495.799999999999,864.7844407069827,11984.0,1776.6965600987317,3.4000000000000004,0.6531972647421808,2.2,0.3265986323710904,2.2,0.3265986323710904,1.2000000000000002,0.3265986323710904,0.0,0.0,0.0,0.0,1.0,0.0
310000.0,21.307545636,9.155042265702203E-7,310000.0,64.60000000000001,29.165999679846326,310000.0,140848.0,10.0,1409.1,498.77306017421944,6000.000000000001,544.0000000000001,1.2000000000000002,0.19999999999999998,1.1,0.09999999999999999,1.1,0.09999999999999999,0.10000000000000002,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,0.0
320000.0,21.980246994,9.539129734396353E-7,320000.0,76.4,52.80547456495047,320000.0,220704.0,10.0,3515.7,1083.0774677330846,13616.000000000002,3368.1171792758832,3.9999999999999996,1.2382783747337807,2.5,0.6191391873668903,2.5,0.6191391873668903,1.2,0.5120763831912405,0.0,0.0,0.0,0.0,1.0,0.0
