learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
10000.0,0.574282425,8.135543927395096E-9,10000.0,59.8,19.632147141143534,10000.0,54760.0,10.0,59.0,97430.70000000001,38486.265491023616,3231.2,56.800000000000004
20000.0,1.067623045,1.5060105431338566E-8,20000.0,59.0,17.501046328192903,20000.0,54256.0,10.0,133.0,144849.6,47994.98266305204,3231.2,56.800000000000004
30000.0,1.552050843,2.1951802835317535E-8,30000.0,60.9,21.217640800799504,30000.0,54992.0,10.0,192.0,171971.39999999997,63959.1293047886,3288.0,0.0
40000.0,2.0329948,2.902386664910035E-8,40000.0,66.60000000000001,33.23071387161905,40000.0,56840.0,10.0,247.0,173435.6,70696.88857214454,3288.0,0.0
50000.0,2.517138656,3.568006558821847E-8,50000.0,63.6,27.269820971867016,50000.0,53144.0,10.0,317.0,198109.9,64941.6920900673,3288.0,0.0
60000.0,3.009765857,4.283828452960277E-8,60000.0,54.2,8.543769194825733,60000.0,56168.0,10.0,369.0,620589.8,340030.94553508575,3288.0,0.0
70000.0,3.501498837,4.974842263950862E-8,70000.0,60.699999999999996,21.430799126742308,70000.0,54320.0,10.0,416.0,396845.29999999993,160945.02407268347,3288.0,0.0
80000.0,3.988901812,5.674599642411288E-8,80000.0,64.0,28.000000000000004,80000.0,55496.0,10.0,462.0,510049.9,198636.92854734013,3288.0,0.0
90000.0,4.478346689,6.379415761570135E-8,90000.0,58.8,17.621089001215683,90000.0,55664.0,10.0,511.0,757973.4,357303.61240351945,3288.0,0.0
100000.0,4.968935987,7.073086770335833E-8,100000.0,51.9,3.4989166198539463,100000.0,54656.0,10.0,559.0,373583.1,91631.45656626027,3288.0,0.0
110000.0,5.457770515,7.770650290773973E-8,110000.0,61.9,23.03714417304321,110000.0,55160.0,10.0,611.0,664779.2999999999,250933.05797346076,3288.0,0.0
120000.0,5.951575529,8.492475952922055E-8,120000.0,65.2,30.758670088939294,120000.0,56504.0,10.0,654.0,846354.9,371878.3645647667,3288.0,0.0
130000.0,6.443898057,9.209994854203942E-8,130000.0,70.39999999999999,40.83407957016757,130000.0,56336.0,10.0,705.0,1183476.5,475488.28577182395,3288.0,0.0
