learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
10000.0,1.051312927,3.879674772698225E-8,10000.0,62.3,24.569224243491348,10000.0,142648.0,10.0,3.0,0.0,0.0
20000.0,2.006910276,8.862910006627854E-8,20000.0,65.10000000000001,30.207816724526847,20000.0,201576.0,10.0,4.0,0.0,0.0
30000.0,2.939524254,1.4618597102672276E-7,30000.0,71.8,43.716394496181884,30000.0,238560.0,10.0,3.0,0.0,0.0
40000.0,3.828578848,1.807539096423487E-7,40000.0,72.2,44.38331499449835,40000.0,150296.0,10.0,2.0,0.0,0.0
50000.0,4.685803541,2.123136792524511E-7,50000.0,67.9,35.7773936425622,50000.0,142312.0,10.0,3.0,0.0,0.0
60000.0,5.547431015,2.543408238567764E-7,60000.0,61.199999999999996,22.432578317106806,60000.0,188544.0,10.0,5.0,0.0,0.0
70000.0,6.391934153,2.838347552350143E-7,70000.0,63.9,27.746243204944477,70000.0,135000.0,10.0,3.0,0.0,0.0
80000.0,7.238951086,3.286184186273937E-7,80000.0,67.2,34.400000000000006,80000.0,204376.0,10.0,3.0,0.0,0.0
90000.0,8.073141365,3.5972895706117567E-7,90000.0,61.5,23.01293382711704,90000.0,144160.0,10.0,3.0,0.0,0.0
100000.0,8.919578237,3.899893877658289E-7,100000.0,67.4,34.63056241778692,100000.0,138192.0,10.0,3.0,0.0,0.0
110000.0,9.760008273,4.258288760647302E-7,110000.0,64.1,27.98221822792124,110000.0,164840.0,10.0,2.0,0.0,0.0
120000.0,10.605179203,4.7153820198171255E-7,120000.0,71.8,43.774748082958155,120000.0,209056.0,10.0,2.0,0.0,0.0
130000.0,11.449706672,5.14145270400782E-7,130000.0,74.9,49.77267633592674,130000.0,195016.0,10.0,4.0,0.0,0.0
140000.0,12.306117663,5.53347945414974E-7,140000.0,68.10000000000001,35.466381828627846,140000.0,176944.0,10.0,3.0,0.0,0.0
150000.0,13.166143628,5.902473561835205E-7,150000.0,74.2,48.45690357844939,150000.0,165848.0,10.0,3.0,0.0,0.0
160000.0,13.99547922,6.197522324082172E-7,160000.0,66.5,32.25425483724844,160000.0,137520.0,10.0,3.0,0.0,0.0
170000.0,14.830970175,6.496939662866956E-7,170000.0,65.4,30.594281450218453,170000.0,138528.0,10.0,0.0,0.0,0.0
180000.0,15.670764166,6.826020620074247E-7,180000.0,77.60000000000001,55.14779202992284,180000.0,151472.0,10.0,3.0,0.0,0.0
190000.0,16.520685688,7.250608630162601E-7,190000.0,70.19999999999999,40.412394222001815,190000.0,193104.0,10.0,3.0,0.0,0.0
200000.0,17.360206571,7.552929666906223E-7,200000.0,67.60000000000001,35.3675273690594,200000.0,139200.0,10.0,3.0,0.0,0.0
210000.0,18.188412195,7.861083211526565E-7,210000.0,61.5,23.105192097211017,210000.0,143824.0,10.0,2.0,0.0,0.0
220000.0,19.025566927,8.1585499100164E-7,220000.0,69.69999999999999,39.39999999999999,220000.0,137352.0,10.0,2.0,0.0,0.0
230000.0,19.864862095,8.650245353817485E-7,230000.0,74.0,47.88179591313098,230000.0,226456.0,10.0,0.0,0.0,0.0
240000.0,20.723136788,8.992358849253051E-7,240000.0,70.5,39.87837088727296,240000.0,154080.0,10.0,3.0,0.0,0.0
250000.0,21.571910104,9.328471689319901E-7,250000.0,68.10000000000001,36.4288561179753,250000.0,153072.0,10.0,4.0,0.0,0.0
260000.0,22.40276805,9.63056194497376E-7,260000.0,68.0,35.907707098221444,260000.0,140544.0,10.0,2.0,0.0,0.0
270000.0,23.259351816,9.98708787519849E-7,270000.0,71.6,43.135174098472255,270000.0,160888.0,10.0,3.0,0.0,0.0
280000.0,24.113097883,1.038476805203377E-6,280000.0,62.7,25.15210376767855,280000.0,180056.0,10.0,2.0,0.0,0.0
290000.0,24.94946935,1.0708872847640949E-6,290000.0,70.3,40.57337687283902,290000.0,149792.0,10.0,6.0,0.0,0.0
300000.0,25.788737055,1.1157111001794598E-6,300000.0,66.8,33.59362498799885,300000.0,206448.0,10.0,1.0,0.0,0.0
310000.0,26.650305176,1.1471686617458135E-6,310000.0,66.2,32.367536417480395,310000.0,141136.0,10.0,3.0,0.0,0.0
320000.0,27.495412224,1.1954840980021427E-6,320000.0,73.2,46.407502949587055,320000.0,220992.0,10.0,2.0,0.0,0.0
330000.0,28.339714068,1.2257048954779426E-6,330000.0,66.7,33.364283255825136,330000.0,138360.0,10.0,2.0,0.0,0.0
340000.0,29.195764598,1.2670844187938856E-6,340000.0,67.0,34.030873551178054,340000.0,186848.0,10.0,4.0,0.0,0.0
350000.0,30.036802857,1.305327527923439E-6,350000.0,68.10000000000001,36.226019783928166,350000.0,175768.0,10.0,3.0,0.0,0.0
360000.0,30.888680633,1.3375578654319915E-6,360000.0,64.7,29.332158872517617,360000.0,146248.0,10.0,5.0,0.0,0.0
370000.0,31.738114858,1.3675562738873931E-6,370000.0,64.0,28.15174351769064,370000.0,136512.0,10.0,3.0,0.0,0.0
380000.0,32.567568277,1.4035405138817923E-6,380000.0,72.8,45.39841093316524,380000.0,167696.0,10.0,3.0,0.0,0.0
390000.0,33.417047555,1.435978980328014E-6,390000.0,67.10000000000001,34.262582021915144,390000.0,147608.0,10.0,3.0,0.0,0.0
400000.0,34.250325892,1.4733070298775676E-6,400000.0,73.5,46.881439372679814,400000.0,173160.0,10.0,4.0,0.0,0.0
410000.0,35.093771055,1.5166118482571651E-6,410000.0,75.0,49.67793880837358,410000.0,198464.0,10.0,3.0,0.0,0.0
420000.0,35.938739015,1.5525311840281033E-6,420000.0,75.9,51.69450078972476,420000.0,164320.0,10.0,1.0,0.0,0.0
430000.0,36.765395774,1.5845652060487265E-6,430000.0,70.0,39.97118616936128,430000.0,149792.0,10.0,3.0,0.0,0.0
440000.0,37.596807094,1.615135048984825E-6,440000.0,70.6,40.884322280980435,440000.0,142128.0,10.0,3.0,0.0,0.0
450000.0,38.430640017,1.6450536032984113E-6,450000.0,71.0,41.876312793624834,450000.0,138696.0,10.0,3.0,0.0,0.0
460000.0,39.283637581,1.6816885332901068E-6,460000.0,68.7,37.38346923587828,460000.0,166016.0,10.0,2.0,0.0,0.0
470000.0,40.132092234,1.7293279072612354E-6,470000.0,70.7,41.19299935773923,470000.0,217040.0,10.0,3.0,0.0,0.0
480000.0,40.983350195,1.7597236965424584E-6,480000.0,70.39999999999999,40.520446096654254,480000.0,138024.0,10.0,5.0,0.0,0.0
