learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10000.0,0.486327126,5.062722174202403E-9,10000.0,55.50000000000001,10.990743037275877,10000.0,40240.0,10.0,0.0
20000.0,0.922011421,9.598246563701995E-9,20000.0,51.300000000000004,1.5970774129932315,20000.0,40240.0,10.0,0.0
30000.0,1.354670683,1.4102280006412831E-8,30000.0,52.7,5.350024813101315,30000.0,40240.0,10.0,0.0
40000.0,1.785493124,1.8587191928012504E-8,40000.0,50.0,0.02519365119990062,40000.0,40240.0,10.0,0.0
50000.0,2.21790552,2.3088655466834706E-8,50000.0,51.6,3.3052039381153318,50000.0,40240.0,10.0,0.0
60000.0,2.649786861,2.758459066109111E-8,60000.0,54.1,8.125030024500006,60000.0,40240.0,10.0,0.0
70000.0,3.086066389,3.212631149563111E-8,70000.0,51.5,3.0473129112992927,70000.0,40240.0,10.0,0.0
80000.0,3.513115985,3.6571947660193676E-8,80000.0,53.1,6.2000000000000055,80000.0,40240.0,10.0,0.0
90000.0,3.940851066,4.1024719803656143E-8,90000.0,53.6,7.152462060575014,90000.0,40240.0,10.0,0.0
100000.0,4.374820423,4.5542391488307884E-8,100000.0,50.5,0.5848423014508639,100000.0,40240.0,10.0,0.0
110000.0,4.800029885,4.9968871643042404E-8,110000.0,51.800000000000004,3.979090550506599,110000.0,40240.0,10.0,0.0
120000.0,5.211147692,5.4248656023624875E-8,120000.0,53.6,5.933107086237449,120000.0,40240.0,10.0,0.0
130000.0,5.616457367,5.8467977071822525E-8,130000.0,55.300000000000004,10.402167986915119,130000.0,40240.0,10.0,0.0
140000.0,6.016175456,6.262908905678327E-8,140000.0,52.400000000000006,5.751159300340962,140000.0,40240.0,10.0,0.0
150000.0,6.415189009,6.678286673970936E-8,150000.0,53.6,7.373397000814491,150000.0,40240.0,10.0,0.0
160000.0,6.814201895,7.093663747908755E-8,160000.0,51.9,5.137934570813253,160000.0,40240.0,10.0,0.0
170000.0,7.213406678,7.50924058886452E-8,170000.0,53.2,5.886138315201001,170000.0,40240.0,10.0,0.0
180000.0,7.612368288,7.924564283887547E-8,180000.0,53.5,7.0869665992631,180000.0,40240.0,10.0,0.0
190000.0,8.011277989,8.339833941035389E-8,190000.0,51.300000000000004,2.5149930739604978,190000.0,40240.0,10.0,0.0
200000.0,8.417643772,8.762865466616222E-8,200000.0,51.1,1.9434841545483048,200000.0,40240.0,10.0,0.0
210000.0,8.821590907,9.183379151384451E-8,210000.0,50.0,-0.6814117950287655,210000.0,40240.0,10.0,0.0
220000.0,9.220935153,9.599101174951843E-8,220000.0,50.7,1.4000000000000012,220000.0,40240.0,10.0,0.0
230000.0,9.622519723,1.0017155401965397E-7,230000.0,50.0,1.2197386669406198,230000.0,40240.0,10.0,0.0
240000.0,10.026022526,1.0437206531932785E-7,240000.0,50.9,-0.8511757069852353,240000.0,40240.0,10.0,0.0
250000.0,10.428470481,1.0856159552813819E-7,250000.0,50.1,-1.0858115225670593,250000.0,40240.0,10.0,0.0
260000.0,10.827220326,1.1271262797998886E-7,260000.0,49.7,0.06913705825790804,260000.0,40240.0,10.0,0.0
270000.0,11.226021258,1.1686419225347539E-7,270000.0,52.5,4.403477700853327,270000.0,40240.0,10.0,0.0
280000.0,11.625214643,1.21019842008522E-7,280000.0,48.8,-1.4572591479968078,280000.0,40240.0,10.0,0.0
290000.0,12.024135907,1.2517265895218071E-7,290000.0,51.1,2.877526376001028,290000.0,40240.0,10.0,0.0
300000.0,12.422580373,1.2932051237297968E-7,300000.0,54.800000000000004,9.286494123691496,300000.0,40240.0,10.0,0.0
310000.0,12.824481674,1.335043518498126E-7,310000.0,51.2,2.089820551507171,310000.0,40240.0,10.0,0.0
320000.0,13.224348962,1.3766701701378657E-7,320000.0,53.900000000000006,7.8376022582786256,320000.0,40240.0,10.0,0.0
330000.0,13.635652568,1.4194873558365635E-7,330000.0,53.2,6.47930554889454,330000.0,40240.0,10.0,0.0
340000.0,14.04667383,1.4622751491951444E-7,340000.0,53.300000000000004,6.707472991114247,340000.0,40240.0,10.0,0.0
350000.0,14.458003729,1.5050950720258469E-7,350000.0,52.300000000000004,4.489972448260396,350000.0,40240.0,10.0,0.0
360000.0,14.893569911,1.5504380202196123E-7,360000.0,53.2,6.176700547302581,360000.0,40240.0,10.0,0.0
370000.0,15.428509058,1.6061258101161152E-7,370000.0,50.3,0.14305461793166446,370000.0,40240.0,10.0,0.0
380000.0,15.86767833,1.6518438441865143E-7,380000.0,56.10000000000001,12.554678225118934,380000.0,40240.0,10.0,0.0
390000.0,16.267116023,1.6934257744850795E-7,390000.0,50.2,0.7695342544364849,390000.0,40240.0,10.0,0.0
400000.0,16.666513052,1.735003471613758E-7,400000.0,52.6,5.931476836122318,400000.0,40240.0,10.0,0.0
410000.0,17.065900344,1.7765801551093656E-7,410000.0,53.800000000000004,6.353376143218532,410000.0,40240.0,10.0,0.0
420000.0,17.465250936,1.8181530180921155E-7,420000.0,49.6,-0.08698035197255741,420000.0,40240.0,10.0,0.0
430000.0,17.864995867,1.8597669322252685E-7,430000.0,54.2,7.152124554005834,430000.0,40240.0,10.0,0.0
440000.0,18.264822252,1.9013893258149423E-7,440000.0,53.1,6.837233324063408,440000.0,40240.0,10.0,0.0
450000.0,18.6645521,1.9430016697901816E-7,450000.0,52.2,4.879407784764793,450000.0,40240.0,10.0,0.0
460000.0,19.064051491,1.9845900229225966E-7,460000.0,52.5,5.096422035212219,460000.0,40240.0,10.0,0.0
470000.0,19.469025651,2.0267483059012637E-7,470000.0,51.9,4.246593886115162,470000.0,40240.0,10.0,0.0
480000.0,19.869827775,2.0684722750602905E-7,480000.0,50.5,0.0,480000.0,40240.0,10.0,0.0
490000.0,20.268823198,2.1100081645353796E-7,490000.0,52.0,2.9298992088786897,490000.0,40240.0,10.0,0.0
500000.0,20.667616105,2.1515229718583735E-7,500000.0,53.6,6.282316442606002,500000.0,40240.0,10.0,0.0
510000.0,21.070212944,2.1934337729447413E-7,510000.0,53.300000000000004,4.636270073350444,510000.0,40240.0,10.0,0.0
520000.0,21.476074658,2.2356844513312804E-7,520000.0,51.300000000000004,2.7633575593003683,520000.0,40240.0,10.0,0.0
530000.0,21.882901214,2.2780355708967474E-7,530000.0,54.0,8.117976518150707,530000.0,40240.0,10.0,0.0
540000.0,22.289749238,2.3203889253060845E-7,540000.0,51.300000000000004,3.24708350551512,540000.0,40240.0,10.0,0.0
550000.0,22.696796636,2.3627630347816474E-7,550000.0,51.4,3.724247226624413,550000.0,40240.0,10.0,0.0
560000.0,23.102696366,2.4050176706781814E-7,560000.0,49.1,-1.0562261753494264,560000.0,40240.0,10.0,0.0
570000.0,23.508789573,2.4472924477563543E-7,570000.0,55.00000000000001,9.350222394121063,570000.0,40240.0,10.0,0.0
580000.0,23.912857259,2.489356365733055E-7,580000.0,52.1,3.710851123708445,580000.0,40240.0,10.0,0.0
590000.0,24.316231477,2.5313480928811346E-7,590000.0,51.5,3.5984607556290564,590000.0,40240.0,10.0,0.0
600000.0,24.72013788,2.5733952211091914E-7,600000.0,49.3,-0.23724792408066012,600000.0,40240.0,10.0,0.0
610000.0,25.124508143,2.6154906377049367E-7,610000.0,54.1,8.703954172965236,610000.0,40240.0,10.0,0.0
620000.0,25.527697456,2.6574631160265867E-7,620000.0,52.0,3.6113610075825733,620000.0,40240.0,10.0,0.0
630000.0,25.931463833,2.6994956673845234E-7,630000.0,52.1,2.736377001112753,630000.0,40240.0,10.0,0.0
640000.0,26.335700868,2.741577214789887E-7,640000.0,50.8,1.4107085604360463,640000.0,40240.0,10.0,0.0
650000.0,26.743309571,2.784009756771434E-7,650000.0,51.300000000000004,3.0745470178008505,650000.0,40240.0,10.0,0.0
660000.0,27.152649664,2.826622538473871E-7,660000.0,52.1,4.101032265297799,660000.0,40240.0,10.0,0.0
670000.0,27.560379878,2.869067729892416E-7,670000.0,49.8,-0.5532431425492536,670000.0,40240.0,10.0,0.0
680000.0,27.965309803,2.911221407955926E-7,680000.0,53.300000000000004,5.388978930307955,680000.0,40240.0,10.0,0.0
690000.0,28.366828186,2.953019940513289E-7,690000.0,53.900000000000006,8.570204596479265,690000.0,40240.0,10.0,0.0
700000.0,28.768558585,2.9948405441838416E-7,700000.0,52.300000000000004,5.188589238010435,700000.0,40240.0,10.0,0.0
710000.0,29.170146872,3.036646353829238E-7,710000.0,50.4,0.2766518690085657,710000.0,40240.0,10.0,0.0
720000.0,29.571805344,3.078459469815095E-7,720000.0,51.0,2.1268436106805564,720000.0,40240.0,10.0,0.0
730000.0,30.098336587,3.1332719870865753E-7,730000.0,50.2,1.0082055848864508,730000.0,40240.0,10.0,0.0
740000.0,30.542945303,3.179556273629474E-7,740000.0,52.5,5.097938927027305,740000.0,40240.0,10.0,0.0
750000.0,30.945274006,3.2214391614451167E-7,750000.0,53.300000000000004,6.420327027893569,750000.0,40240.0,10.0,0.0
760000.0,31.347557695,3.2633173632507926E-7,760000.0,50.6,1.1466191743541538,760000.0,40240.0,10.0,0.0
770000.0,31.750330043,3.305246435029017E-7,770000.0,53.5,6.37684427549772,770000.0,40240.0,10.0,0.0
780000.0,32.152255702,3.3470873654935913E-7,780000.0,49.9,0.06702092010148941,780000.0,40240.0,10.0,0.0
790000.0,32.553855894,3.38889441446339E-7,790000.0,53.2,5.745496729288177,790000.0,40240.0,10.0,0.0
800000.0,32.955236307,3.430678584182634E-7,800000.0,50.3,0.7595785976150409,800000.0,40240.0,10.0,0.0
810000.0,33.356731754,3.472474729075613E-7,810000.0,49.2,-1.9179841104245272,810000.0,40240.0,10.0,0.0
820000.0,33.758363379,3.5142850502574185E-7,820000.0,52.6,5.935583735190806,820000.0,40240.0,10.0,0.0
830000.0,34.159769496,3.556071895793079E-7,830000.0,53.7,7.473281161320232,830000.0,40240.0,10.0,0.0
840000.0,34.562164354,3.5979616704214767E-7,840000.0,52.6,4.643115796250099,840000.0,40240.0,10.0,0.0
850000.0,34.963792993,3.639771680757195E-7,850000.0,50.8,2.4985731498509858,850000.0,40240.0,10.0,0.0
860000.0,35.365269978,3.681565903734414E-7,860000.0,53.7,7.789497163979359,860000.0,40240.0,10.0,0.0
870000.0,35.766511365,3.723335600684706E-7,870000.0,57.099999999999994,14.233620420795035,870000.0,40240.0,10.0,0.0
880000.0,36.167976861,3.7651286276436087E-7,880000.0,51.2,2.1357665697383026,880000.0,40240.0,10.0,0.0
890000.0,36.569891,3.80696835886273E-7,890000.0,54.7,8.115081296855232,890000.0,40240.0,10.0,0.0
900000.0,36.971500977,3.8487764264624555E-7,900000.0,55.800000000000004,11.202185792349734,900000.0,40240.0,10.0,0.0
910000.0,37.371466456,3.890413299899961E-7,910000.0,53.7,7.362945178071239,910000.0,40240.0,10.0,0.0
920000.0,37.771517531,3.9320590839810246E-7,920000.0,52.800000000000004,5.367203320167626,920000.0,40240.0,10.0,0.0
930000.0,38.17134052,3.973681124043133E-7,930000.0,51.800000000000004,4.029945842625047,930000.0,40240.0,10.0,0.0
940000.0,38.571278076,4.01531509066373E-7,940000.0,51.800000000000004,3.817372737612991,940000.0,40240.0,10.0,0.0
950000.0,38.971237842,4.056951369371264E-7,950000.0,50.0,-0.6603317764535249,950000.0,40240.0,10.0,0.0
