learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
10000.0,0.776086912,1.1241751199563345E-8,10000.0,58.699999999999996,17.322613966672794,10000.0,55992.0,10.0,0.0,0.0,0.0
20000.0,1.449612373,2.055879367393752E-8,20000.0,56.8,13.483722122532674,20000.0,53472.0,10.0,0.0,0.0,0.0
30000.0,2.109375751,2.9714136338693397E-8,30000.0,60.0,20.193132619061867,30000.0,53640.0,10.0,0.0,0.0,0.0
40000.0,2.764985959,3.886883457766225E-8,40000.0,58.9,17.775661595832354,40000.0,53976.0,10.0,0.0,0.0,0.0
50000.0,3.430762303,4.7760387984228634E-8,50000.0,58.4,16.65598153609437,50000.0,51624.0,10.0,0.0,0.0,0.0
60000.0,4.085772637,5.6177389938210455E-8,60000.0,62.6,25.249335438610522,60000.0,49672.0,10.0,0.0,0.0,0.0
70000.0,4.736982608,6.504422325252867E-8,70000.0,57.8,15.570280738820063,70000.0,52632.0,10.0,0.0,0.0,0.0
80000.0,5.388361101,7.447955174709361E-8,80000.0,62.4,24.8,80000.0,55992.0,10.0,0.0,0.0,0.0
90000.0,6.033997257,8.388782242732744E-8,90000.0,61.1,22.26032598703407,90000.0,56328.0,10.0,0.0,0.0,0.0
100000.0,6.683387651,9.301211673330517E-8,100000.0,64.5,29.00340783642386,100000.0,54312.0,10.0,0.0,0.0,0.0
110000.0,7.32290769,1.0222008421855049E-7,110000.0,59.9,19.038312443468136,110000.0,55656.0,10.0,0.0,0.0,0.0
120000.0,7.959823736,1.1136287730243679E-7,120000.0,57.4,14.152019442753888,120000.0,55488.0,10.0,0.0,0.0,0.0
130000.0,8.595775582,1.2057474818582957E-7,130000.0,58.9,17.886711632516054,130000.0,55992.0,10.0,0.0,0.0,0.0
140000.0,9.230710494,1.2963391178961222E-7,140000.0,61.1,20.87835199166883,140000.0,55152.0,10.0,0.0,0.0,0.0
150000.0,9.863919022,1.3844828093027694E-7,150000.0,53.300000000000004,6.624651092111693,150000.0,53808.0,10.0,0.0,0.0,0.0
160000.0,10.49860242,1.4685233794874406E-7,160000.0,58.699999999999996,15.570238202320674,160000.0,51184.0,10.0,0.0,0.0,0.0
