learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
10000.0,0.139370413,5.941901165164179E-10,10000.0,85.39999999999999,70.78889978191712,10000.0,16480.0,10.0,9980.100000000002,19.668615722628875,1120.0,0.0
20000.0,0.237318101,1.011779093204273E-9,20000.0,86.4,72.84171512556713,20000.0,16480.0,10.0,20015.699999999997,24.566938035588596,1120.0,0.0
30000.0,0.329310357,1.4039777538428702E-9,30000.0,85.9,71.79661559387127,30000.0,16480.0,10.0,29947.7,33.35534273379444,1120.0,0.0
40000.0,0.418283258,1.7833037332528165E-9,40000.0,85.2,70.36479337452893,40000.0,16480.0,10.0,39927.5,41.53318619556598,1120.0,0.0
50000.0,0.507705888,2.1645470817883808E-9,50000.0,84.7,69.3713315663461,50000.0,16480.0,10.0,49915.3,46.12929895654414,1120.0,0.0
60000.0,0.59687344,2.544702933894263E-9,60000.0,84.7,69.40807626786528,60000.0,16480.0,10.0,59897.6,45.115949384767504,1120.0,0.0
70000.0,0.683287723,2.9131205325739247E-9,70000.0,84.6,69.17965857465927,70000.0,16480.0,10.0,69921.3,51.70386832723462,1120.0,0.0
80000.0,0.767618372,3.2726547915074555E-9,80000.0,85.39999999999999,70.80934101087651,80000.0,16480.0,10.0,79908.4,51.961139325461524,1120.0,0.0
90000.0,0.85243985,3.6342816448046098E-9,90000.0,86.1,72.21444848678688,90000.0,16480.0,10.0,89911.5,59.95502944337175,1120.0,0.0
100000.0,0.936883215,3.99429645575583E-9,100000.0,87.7,75.37714999519554,100000.0,16480.0,10.0,99860.20000000001,73.07785802370806,1120.0,0.0
110000.0,1.025876544,4.373709527651469E-9,110000.0,85.6,71.25232077618733,110000.0,16480.0,10.0,109884.6,100.17131991410213,1120.0,0.0
120000.0,1.113446754,4.747055291384459E-9,120000.0,87.4,74.81933874784167,120000.0,16480.0,10.0,119887.99999999999,105.20614684196778,1120.0,0.0
130000.0,1.200189263,5.1168722447835735E-9,130000.0,85.6,71.19550649901385,130000.0,16480.0,10.0,129843.9,89.52224428722852,1120.0,0.0
140000.0,1.286594558,5.485251524133815E-9,140000.0,87.2,74.37745215789894,140000.0,16480.0,10.0,139820.0,96.22589164160658,1120.0,0.0
150000.0,1.373222308,5.8545792154139946E-9,150000.0,88.2,76.35763287811758,150000.0,16480.0,10.0,149842.7,114.48920861325138,1120.0,0.0
160000.0,1.459416412,6.222058105634319E-9,160000.0,83.6,67.13268774450073,160000.0,16480.0,10.0,159794.6,110.83222555837396,1120.0,0.0
170000.0,1.545650447,6.589707237192327E-9,170000.0,86.5,73.00993234489708,170000.0,16480.0,10.0,169761.1,114.87301684904097,1120.0,0.0
180000.0,1.632546917,6.960180586038365E-9,180000.0,85.39999999999999,70.7733452909053,180000.0,16480.0,10.0,179783.80000000005,111.2626322416147,1120.0,0.0
190000.0,1.718750374,7.327699351724651E-9,190000.0,86.0,71.96939057450736,190000.0,16480.0,10.0,189790.80000000002,113.60260169164759,1120.0,0.0
200000.0,1.805503018,7.697559514558978E-9,200000.0,86.5,73.00345555768861,200000.0,16480.0,10.0,199784.19999999998,119.59225169995989,1120.0,0.0
210000.0,1.891655837,8.064862390814557E-9,210000.0,86.7,73.40425531914893,210000.0,16480.0,10.0,209752.1,112.95549270988542,1120.0,0.0
220000.0,1.979475373,8.439271127970683E-9,220000.0,86.1,72.21333759795297,220000.0,16480.0,10.0,219712.0,116.64818901294583,1120.0,0.0
230000.0,2.066516017,8.810359146487383E-9,230000.0,86.5,73.00194386004208,230000.0,16480.0,10.0,229674.4,116.19640461066152,1120.0,0.0
240000.0,2.153408252,9.180814439886148E-9,240000.0,87.2,74.41361195843811,240000.0,16480.0,10.0,239685.5,120.07213109904694,1120.0,0.0
250000.0,2.236675772,9.535816167626117E-9,250000.0,85.7,71.38397502601457,250000.0,16480.0,10.0,249665.5,143.0753686387402,1120.0,0.0
260000.0,2.321218122,9.896252990017336E-9,260000.0,83.8,67.54391588665213,260000.0,16480.0,10.0,259675.9,149.81606871242016,1120.0,0.0
270000.0,2.40548746,1.0255525856382318E-8,270000.0,85.1,70.15272191150783,270000.0,16480.0,10.0,269645.39999999997,148.20625267961105,1120.0,0.0
280000.0,2.486715854,1.0601833999239738E-8,280000.0,88.7,77.3971068296742,280000.0,16480.0,10.0,279599.0,148.9182475200537,1120.0,0.0
290000.0,2.567791112,1.0947489263945157E-8,290000.0,84.89999999999999,69.8318575584183,290000.0,16480.0,10.0,289619.60000000003,162.26988493110846,1120.0,0.0
300000.0,2.648495926,1.1291565182225573E-8,300000.0,83.8,67.63042739824564,300000.0,16480.0,10.0,299553.4,159.44683544471624,1120.0,0.0
310000.0,2.729294385,1.163604034545521E-8,310000.0,84.39999999999999,68.82531384515774,310000.0,16480.0,10.0,309609.5,162.29337290502332,1120.0,0.0
320000.0,2.810090487,1.1980505459879836E-8,320000.0,85.1,70.16085103655996,320000.0,16480.0,10.0,319602.4,156.9910967043806,1120.0,0.0
330000.0,2.890896148,1.2325011328028308E-8,330000.0,85.1,70.22786671675311,330000.0,16480.0,10.0,329590.8,150.46851276374514,1120.0,0.0
340000.0,2.974175522,1.2680063593967094E-8,340000.0,86.2,72.42084983752282,340000.0,16480.0,10.0,339600.5,146.47390742229567,1120.0,0.0
350000.0,3.055588772,1.3027159849637086E-8,350000.0,85.3,70.55335651672249,350000.0,16480.0,10.0,349689.0,142.03231244254883,1120.0,0.0
360000.0,3.13676688,1.3373253603776298E-8,360000.0,85.39999999999999,70.76643987297416,360000.0,16480.0,10.0,359694.3,130.25599154485548,1120.0,0.0
370000.0,3.217653487,1.3718104576112497E-8,370000.0,85.8,71.61986609373439,370000.0,16480.0,10.0,369643.4,124.32718483456745,1120.0,0.0
380000.0,3.298608525,1.4063247296338283E-8,380000.0,85.9,71.79255323405378,380000.0,16480.0,10.0,379682.4,110.72992168133464,1120.0,0.0
390000.0,3.379445657,1.4407887337563768E-8,390000.0,86.4,72.83422887162175,390000.0,16480.0,10.0,389652.8,119.85609890382943,1120.0,0.0
400000.0,3.460431722,1.475316233792239E-8,400000.0,84.0,67.96925048046123,400000.0,16480.0,10.0,399665.4,126.1398870742759,1120.0,0.0
410000.0,3.541605018,1.5099235576639577E-8,410000.0,83.89999999999999,67.74012567324954,410000.0,16480.0,10.0,409674.6,121.20819554249113,1120.0,0.0
420000.0,3.622354401,1.5443501509850226E-8,420000.0,86.3,72.59276448982531,420000.0,16480.0,10.0,419691.0,125.28758030139198,1120.0,0.0
430000.0,3.703077351,1.5787654748931528E-8,430000.0,83.8,67.54859697761253,430000.0,16480.0,10.0,429677.3,137.2478738956957,1120.0,0.0
440000.0,3.783772019,1.6131687410879468E-8,440000.0,87.2,74.42128149379715,440000.0,16480.0,10.0,439700.89999999997,144.28316680133713,1120.0,0.0
450000.0,3.864531442,1.647599614850349E-8,450000.0,87.5,75.01159462009628,450000.0,16480.0,10.0,449747.69999999995,128.9101366585849,1120.0,0.0
460000.0,3.945512039,1.68212478366577E-8,460000.0,87.4,74.76719735656353,460000.0,16480.0,10.0,459727.8,143.02577856223598,1120.0,0.0
470000.0,4.026103103,1.7164838794577454E-8,470000.0,89.2,78.39507407688954,470000.0,16480.0,10.0,469741.6,136.45049570367212,1120.0,0.0
480000.0,4.106734112,1.7508600053522324E-8,480000.0,85.2,70.4132548618219,480000.0,16480.0,10.0,479740.2,122.53777648817675,1120.0,0.0
