learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
10000.0,1.040032562,3.8350332439678414E-8,10000.0,86.3,72.58464740254541,10000.0,142536.0,10.0,9980.100000000002,19.668615722628875,7796.8,250.5849512196967,7.4,0.26666666666666666,4.2,0.13333333333333333,4.2,0.13333333333333333,2.2,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.713487748,8.320656999985377E-8,20000.0,89.0,78.01969435385895,20000.0,257464.0,10.0,20015.699999999997,24.566938035588596,19143.2,640.2682215724559,19.599999999999998,0.6699917080747261,10.299999999999999,0.33499585403736304,10.299999999999999,0.33499585403736304,4.1,0.09999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.055340498,1.1061725827853298E-7,30000.0,87.9,75.79845110087045,30000.0,309944.0,10.0,29947.7,33.35534273379444,24324.0,953.8366969478814,25.2,1.0088497300281036,13.1,0.5044248650140518,13.1,0.5044248650140518,4.7,0.21343747458109494,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.417318084,1.4672932744230246E-7,40000.0,89.0,77.98969917921588,40000.0,385632.0,10.0,39927.5,41.53318619556598,31796.8,704.9520834780191,33.2,0.7571877794400365,17.1,0.37859388972001834,17.1,0.37859388972001834,5.799999999999999,0.1333333333333334,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.772500674,1.8775458427950325E-7,50000.0,87.6,75.19017530942253,50000.0,446480.0,10.0,49915.3,46.12929895654414,37804.79999999999,1026.7582296832215,39.6,1.1175369742826804,20.3,0.5587684871413402,20.3,0.5587684871413402,6.2,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,3.135758658,2.353044814055951E-7,60000.0,88.9,77.80159828492349,60000.0,505984.0,10.0,59897.6,45.115949384767504,43678.4,1549.9467747133908,45.99999999999999,1.6666666666666667,23.499999999999996,0.8333333333333334,23.499999999999996,0.8333333333333334,6.4,0.1632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,3.505855957,2.897608527429857E-7,70000.0,87.6,75.1975197519752,70000.0,568768.0,10.0,69921.3,51.70386832723462,49875.2,1357.4795991919077,52.800000000000004,1.5902480589168746,26.900000000000002,0.7951240294584373,26.900000000000002,0.7951240294584373,6.800000000000001,0.1333333333333334,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,3.890818773,3.5296873283465284E-7,80000.0,87.8,75.6023421751512,80000.0,634680.0,10.0,79908.4,51.961139325461524,56384.8,1694.2319715237738,59.6,1.8147543451754933,30.3,0.9073771725877466,30.3,0.9073771725877466,7.1,0.17950549357115014,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,4.275766703,4.2401838281773854E-7,90000.0,89.3,78.60000000000001,90000.0,713448.0,10.0,89911.5,59.95502944337175,64158.4,1389.4954735842466,68.19999999999999,1.5832456116050557,34.599999999999994,0.7916228058025279,34.599999999999994,0.7916228058025279,7.6,0.16329931618554522,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,4.662747595,5.027674666007857E-7,100000.0,89.3,78.59246454752073,100000.0,786608.0,10.0,99860.20000000001,73.07785802370806,71373.6,1585.744516342751,76.6,1.8330302779823366,38.8,0.9165151389911683,38.8,0.9165151389911683,7.799999999999999,0.1333333333333334,0.0,0.0,0.0,0.0,1.0,0.0
