learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10000.0,0.270586229,1.1995345820114018E-9,10000.0,73.2,46.39892797855957,10000.0,17136.0,10.0,5.0
20000.0,0.495505775,2.196624399162829E-9,20000.0,71.39999999999999,42.74136715997181,20000.0,17136.0,10.0,5.0
30000.0,0.715020058,3.1697521694749596E-9,30000.0,70.5,41.00094398489623,30000.0,17136.0,10.0,3.0
40000.0,0.93344457,4.138048880919815E-9,40000.0,70.8,41.58527949043159,40000.0,17136.0,10.0,4.0
50000.0,1.154597366,5.118440335765482E-9,50000.0,65.4,30.76261181037761,50000.0,17136.0,10.0,5.0
60000.0,1.375051302,6.095733677521349E-9,60000.0,67.60000000000001,35.20311025070798,60000.0,17136.0,10.0,3.0
70000.0,1.590490549,7.050796424262226E-9,70000.0,65.3,30.56945055824563,70000.0,17136.0,10.0,6.0
80000.0,1.804876345,8.00118912216276E-9,80000.0,64.0,28.01382134630151,80000.0,17136.0,10.0,4.0
90000.0,2.018812692,8.949589369744063E-9,90000.0,66.4,32.80134397312054,90000.0,17136.0,10.0,4.0
100000.0,2.233236601,9.90015102621168E-9,100000.0,68.89999999999999,37.766144782761806,100000.0,17136.0,10.0,5.0
110000.0,2.447822584,1.0851431172192098E-8,110000.0,66.7,33.40692567972932,110000.0,17136.0,10.0,7.0
120000.0,2.66138469,1.1798172373697163E-8,120000.0,69.69999999999999,39.4247147163957,120000.0,17136.0,10.0,4.0
130000.0,2.874277019,1.2741944389827551E-8,130000.0,65.9,31.79672624285966,130000.0,17136.0,10.0,6.0
140000.0,3.085036055,1.3676259314455093E-8,140000.0,72.3,44.597783911356444,140000.0,17136.0,10.0,4.0
150000.0,3.297233204,1.4616949531286957E-8,150000.0,73.3,46.55553420445811,150000.0,17136.0,10.0,3.0
160000.0,3.507246946,1.5547960496470335E-8,160000.0,69.0,37.99206298406195,160000.0,17136.0,10.0,5.0
170000.0,3.713954355,1.6464314171858133E-8,170000.0,71.7,43.39909438551016,170000.0,17136.0,10.0,5.0
180000.0,3.918547655,1.73712958002463E-8,180000.0,70.89999999999999,41.79022075708719,180000.0,17136.0,10.0,5.0
190000.0,4.123881423,1.8281559993959963E-8,190000.0,69.0,37.9704739455981,190000.0,17136.0,10.0,4.0
200000.0,4.328578708,1.9189002597779035E-8,200000.0,73.9,47.8,200000.0,17136.0,10.0,4.0
210000.0,4.532781749,2.0094254170767963E-8,210000.0,73.2,46.401500757978766,210000.0,17136.0,10.0,5.0
220000.0,4.736848999,2.0998903769291936E-8,220000.0,74.9,49.7987951710841,220000.0,17136.0,10.0,5.0
230000.0,4.941100548,2.1904370382875202E-8,230000.0,74.2,48.39772950009801,230000.0,17136.0,10.0,5.0
