learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10000.0,0.391975253,1.4638721612561494E-8,10000.0,85.1,70.17136450992952,10000.0,144360.0,10.0,2.0
20000.0,0.69155899,3.45258700447364E-8,20000.0,88.6,77.21166762617541,20000.0,256600.0,10.0,2.0
30000.0,1.001698838,5.9247385400823423E-8,30000.0,88.3,76.5990639625585,30000.0,308120.0,10.0,3.0
40000.0,1.248270376,8.35889751981116E-8,40000.0,88.8,77.59274004777548,40000.0,381600.0,10.0,1.0
50000.0,1.490976712,1.1124295293275681E-7,50000.0,87.4,74.79001684667128,50000.0,440432.0,10.0,1.0
60000.0,1.742876966,1.4374084205360048E-7,60000.0,88.8,77.60143350825548,60000.0,498688.0,10.0,1.0
70000.0,1.979221994,1.7796408281044E-7,70000.0,87.4,74.79747974797479,70000.0,559728.0,10.0,1.0
80000.0,2.217942483,2.1651981965242783E-7,80000.0,87.7,75.40196784257259,80000.0,624312.0,10.0,3.0
90000.0,2.432099788,2.5537037250971215E-7,90000.0,89.3,78.60085596576137,90000.0,701240.0,10.0,5.0
100000.0,2.64776069,2.9848078785409943E-7,100000.0,89.5,78.99529494606792,100000.0,772704.0,10.0,3.0
110000.0,2.871980604,3.4792312000315636E-7,110000.0,88.8,77.60349385495863,110000.0,852368.0,10.0,1.0
120000.0,3.103431131,4.0476452104687276E-7,120000.0,90.8,81.60176623044188,120000.0,949312.0,10.0,1.0
130000.0,3.340158865,4.689624112941035E-7,130000.0,89.4,78.7999151996608,130000.0,1048272.0,10.0,3.0
140000.0,3.558523963,5.316658433687646E-7,140000.0,89.8,79.60000000000001,140000.0,1109968.0,10.0,1.0
150000.0,3.775492373,5.971415762170819E-7,150000.0,91.5,82.99891193036355,150000.0,1166504.0,10.0,0.0
160000.0,4.000528693,6.690759689610535E-7,160000.0,87.3,74.5951222634746,160000.0,1235624.0,10.0,4.0
170000.0,4.22546328,7.450735389987649E-7,170000.0,88.9,77.80106554885366,170000.0,1306008.0,10.0,2.0
180000.0,4.456402668,8.277279458832266E-7,180000.0,90.0,79.99711958522028,180000.0,1383472.0,10.0,2.0
190000.0,4.68896412,9.145116003034783E-7,190000.0,89.2,78.39455542796784,190000.0,1442456.0,10.0,2.0
200000.0,4.920899507,1.0042599681929314E-6,200000.0,90.4,80.8006911751177,200000.0,1495760.0,10.0,1.0
210000.0,5.149402695,1.0961121511203197E-6,210000.0,89.9,79.80096955346144,210000.0,1553816.0,10.0,1.0
220000.0,5.380444483,1.1920507800789242E-6,220000.0,90.7,81.40089275714766,220000.0,1605112.0,10.0,2.0
230000.0,5.62295465,1.2978152537050576E-6,230000.0,89.8,79.6000815996736,230000.0,1685824.0,10.0,1.0
240000.0,5.869828101,1.410133661877182E-6,240000.0,90.5,81.00319146383409,240000.0,1758648.0,10.0,1.0
250000.0,6.112140091,1.5242989272955226E-6,250000.0,89.2,78.41148508993216,250000.0,1821216.0,10.0,1.0
260000.0,6.346498799,1.638414389467678E-6,260000.0,81.6,63.09607855721712,260000.0,1882200.0,10.0,3.0
270000.0,6.586833554,1.7599262788258843E-6,270000.0,85.0,69.92722388179394,270000.0,1954360.0,10.0,4.0
280000.0,6.825808658,1.8838023211243602E-6,280000.0,87.4,74.79465646717104,280000.0,2003720.0,10.0,4.0
290000.0,7.072275158,2.0150674700111503E-6,290000.0,84.2,68.44443024221894,290000.0,2058704.0,10.0,3.0
300000.0,7.323092496,2.1522237791538054E-6,300000.0,84.89999999999999,69.82896419437338,300000.0,2113784.0,10.0,4.0
310000.0,7.579329871,2.297726617337569E-6,310000.0,85.39999999999999,70.83021989219168,310000.0,2194984.0,10.0,5.0
320000.0,7.834236873,2.446472365713223E-6,320000.0,85.39999999999999,70.76444957067794,320000.0,2255616.0,10.0,4.0
330000.0,8.088120219,2.5986587749428467E-6,330000.0,87.2,74.43068318018379,330000.0,2317096.0,10.0,2.0
340000.0,8.347957939,2.7590117649242528E-6,340000.0,88.5,77.02150786863497,340000.0,2385488.0,10.0,2.0
350000.0,8.616999377,2.930066488619153E-6,350000.0,87.4,74.77336066886633,350000.0,2457640.0,10.0,3.0
360000.0,8.885053941,3.1063543258374723E-6,360000.0,88.8,77.59184343100888,360000.0,2542152.0,10.0,3.0
370000.0,9.142719561,3.2785262643190265E-6,370000.0,87.8,75.61979672505925,370000.0,2582904.0,10.0,3.0
380000.0,9.415286469,3.467119885339716E-6,380000.0,87.3,74.5969516341961,380000.0,2674584.0,10.0,3.0
390000.0,9.695954859,3.6667444107488457E-6,390000.0,88.9,77.8111831636855,390000.0,2749304.0,10.0,2.0
400000.0,9.970254345,3.866866551314596E-6,400000.0,88.0,75.99423861726814,400000.0,2820152.0,10.0,2.0
410000.0,10.248771108,4.075629694340009E-6,410000.0,88.4,76.78216870556588,410000.0,2897376.0,10.0,2.0
