learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10000.0,1.17335752,4.334428735590643E-8,10000.0,85.1,70.17136450992952,10000.0,142792.0,10.0,2.0
20000.0,1.902504961,9.195825951441914E-8,20000.0,88.6,77.21166762617541,20000.0,257720.0,10.0,2.0
30000.0,2.293475935,1.233332742898518E-7,30000.0,88.3,76.5990639625585,30000.0,310200.0,10.0,3.0
40000.0,2.702365353,1.641525010884491E-7,40000.0,88.8,77.59274004777548,40000.0,385888.0,10.0,1.0
50000.0,3.103759015,2.1054193696875744E-7,50000.0,87.4,74.79001684667128,50000.0,446736.0,10.0,1.0
60000.0,3.508805965,2.6358876902857797E-7,60000.0,88.8,77.60143350825548,60000.0,506240.0,10.0,1.0
70000.0,3.919233511,3.2400654221385094E-7,70000.0,87.4,74.79747974797479,70000.0,569024.0,10.0,1.0
80000.0,4.288358288,3.846383864830848E-7,80000.0,87.7,75.40196784257259,80000.0,634936.0,10.0,3.0
90000.0,4.67237838,4.555422185089025E-7,90000.0,89.3,78.60085596576137,90000.0,713704.0,10.0,5.0
100000.0,5.061681582,5.34789665741134E-7,100000.0,89.5,78.99529494606792,100000.0,786864.0,10.0,3.0
110000.0,5.462339358,6.248494715088688E-7,110000.0,88.8,77.60349385495863,110000.0,868880.0,10.0,1.0
120000.0,5.878938152,7.291475062177992E-7,120000.0,90.8,81.60176623044188,120000.0,967744.0,10.0,1.0
130000.0,6.308342818,8.479504795151451E-7,130000.0,89.4,78.7999151996608,130000.0,1069456.0,10.0,3.0
140000.0,6.721038693,9.689225920808605E-7,140000.0,89.8,79.60000000000001,140000.0,1133072.0,10.0,1.0
150000.0,7.125558079,1.093618696035693E-6,150000.0,91.5,82.99891193036355,150000.0,1191560.0,10.0,0.0
160000.0,7.548854747,1.2318964414766844E-6,160000.0,87.3,74.5951222634746,160000.0,1262728.0,10.0,4.0
170000.0,7.978765291,1.380319307289165E-6,170000.0,88.9,77.80106554885366,170000.0,1334520.0,10.0,2.0
180000.0,8.425263709,1.5436811023861585E-6,180000.0,90.0,79.99711958522028,180000.0,1414272.0,10.0,2.0
190000.0,8.876581881,1.7158966948385868E-6,190000.0,89.2,78.39455542796784,190000.0,1475000.0,10.0,2.0
200000.0,9.346679077,1.9018870713709294E-6,200000.0,90.4,80.8006911751177,200000.0,1529344.0,10.0,1.0
210000.0,9.870853726,2.1174144660348385E-6,210000.0,89.9,79.80096955346144,210000.0,1589384.0,10.0,1.0
220000.0,10.355507758,2.323265922030577E-6,220000.0,90.7,81.40089275714766,220000.0,1641816.0,10.0,2.0
230000.0,10.86198311,2.5491937774762204E-6,230000.0,89.8,79.6000815996736,230000.0,1724304.0,10.0,1.0
240000.0,11.430839568,2.8139033705547435E-6,240000.0,90.5,81.00319146383409,240000.0,1798744.0,10.0,1.0
250000.0,11.939781046,3.059147224145497E-6,250000.0,89.2,78.41148508993216,250000.0,1862656.0,10.0,1.0
260000.0,12.410284056,3.293414349359657E-6,260000.0,81.6,63.09607855721712,260000.0,1924648.0,10.0,3.0
