learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
10000.0,0.358705235,3.3948964535672636E-9,10000.0,85.6,71.18905183969908,10000.0,36584.0,10.0,4.0,0.0,0.0
20000.0,0.647244533,6.251125083178696E-9,20000.0,86.6,73.24793969207181,20000.0,38264.0,10.0,4.0,0.0,0.0
30000.0,0.933094948,9.204972171295021E-9,30000.0,86.5,72.99654355757536,30000.0,39944.0,10.0,4.0,0.0,0.0
40000.0,1.224503456,1.2216254043347306E-8,40000.0,85.39999999999999,70.76526913973801,40000.0,39944.0,10.0,4.0,0.0,0.0
50000.0,1.514275786,1.5336568441486193E-8,50000.0,84.6,69.17003327234072,50000.0,41624.0,10.0,3.0,0.0,0.0
60000.0,1.812070586,1.8543270068694322E-8,60000.0,84.8,69.60729424938015,60000.0,41624.0,10.0,3.0,0.0,0.0
70000.0,2.10278794,2.1673760635116036E-8,70000.0,84.7,69.37917784093183,70000.0,41624.0,10.0,4.0,0.0,0.0
80000.0,2.392898191,2.4797713820166474E-8,80000.0,85.5,71.00881332075049,80000.0,41624.0,10.0,3.0,0.0,0.0
90000.0,2.683252622,2.805048940441675E-8,90000.0,86.1,72.21444848678688,90000.0,43304.0,10.0,2.0,0.0,0.0
100000.0,2.97485352,3.131722887897244E-8,100000.0,87.7,75.37557256798743,100000.0,43304.0,10.0,2.0,0.0,0.0
110000.0,3.267295845,3.4593394671535745E-8,110000.0,85.7,71.45047555921131,110000.0,43304.0,10.0,3.0,0.0,0.0
120000.0,3.558128944,3.785153266605818E-8,120000.0,87.6,75.21903178359021,120000.0,43304.0,10.0,3.0,0.0,0.0
130000.0,3.846769654,4.1085109818213523E-8,130000.0,85.8,71.59556890874977,130000.0,43304.0,10.0,3.0,0.0,0.0
140000.0,4.139266693,4.43618885594503E-8,140000.0,87.3,74.58068131780152,140000.0,43304.0,10.0,2.0,0.0,0.0
150000.0,4.4293779,4.761193935976675E-8,150000.0,88.1,76.15574506283662,150000.0,43304.0,10.0,2.0,0.0,0.0
160000.0,4.714958608,5.081123599566106E-8,160000.0,83.8,67.53350862566535,160000.0,43304.0,10.0,2.0,0.0,0.0
