learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
10000.0,1.357043085,5.7097702221013604E-8,10000.0,85.1,70.17136450992952,10000.0,162640.0,10.0,2.0,0.0,0.0
20000.0,2.196081327,1.1760181723381081E-7,20000.0,88.6,77.21166762617541,20000.0,278744.0,10.0,2.0,0.0,0.0
30000.0,2.69297858,1.6039585233799491E-7,30000.0,88.3,76.5990639625585,30000.0,332904.0,10.0,3.0,0.0,0.0
40000.0,3.217342462,2.158910793707168E-7,40000.0,88.8,77.59274004777548,40000.0,409096.0,10.0,1.0,0.0,0.0
50000.0,3.742366059,2.798348359830574E-7,50000.0,87.4,74.79001684667128,50000.0,470784.0,10.0,1.0,0.0,0.0
60000.0,4.27955051,3.5364569502070545E-7,60000.0,88.8,77.60143350825548,60000.0,531128.0,10.0,1.0,0.0,0.0
70000.0,4.791718165,4.323379295342519E-7,70000.0,87.4,74.79747974797479,70000.0,593912.0,10.0,1.0,0.0,0.0
80000.0,5.273982568,5.146589877285788E-7,80000.0,87.7,75.40196784257259,80000.0,659824.0,10.0,3.0,0.0,0.0
90000.0,5.765166808,6.085970529037942E-7,90000.0,89.3,78.60085596576137,90000.0,739264.0,10.0,5.0,0.0,0.0
100000.0,6.2864611,7.182731903381873E-7,100000.0,89.5,78.99529494606792,100000.0,813264.0,10.0,3.0,0.0,0.0
110000.0,6.80624042,8.386590584015909E-7,110000.0,88.8,77.60349385495863,110000.0,895280.0,10.0,1.0,0.0,0.0
120000.0,7.33085123,9.73490288307375E-7,120000.0,90.8,81.60176623044188,120000.0,993472.0,10.0,1.0,0.0,0.0
130000.0,7.871321681,1.1267364650435E-6,130000.0,89.4,78.7999151996608,130000.0,1096024.0,10.0,3.0,0.0,0.0
140000.0,8.383432368,1.2803695161485196E-6,140000.0,89.8,79.60000000000001,140000.0,1159640.0,10.0,1.0,0.0,0.0
150000.0,8.898800353,1.4427777306331922E-6,150000.0,91.5,82.99891193036355,150000.0,1218128.0,10.0,0.0,0.0,0.0
160000.0,9.431517743,1.6204612463292127E-6,160000.0,87.3,74.5951222634746,160000.0,1289296.0,10.0,4.0,0.0,0.0
170000.0,9.98122739,1.8140219503013437E-6,170000.0,88.9,77.80106554885366,170000.0,1361088.0,10.0,2.0,0.0,0.0
180000.0,10.543729334,2.0236924902966266E-6,180000.0,90.0,79.99711958522028,180000.0,1440840.0,10.0,2.0,0.0,0.0
190000.0,11.096818593,2.2385437272138374E-6,190000.0,89.2,78.39455542796784,190000.0,1501568.0,10.0,2.0,0.0,0.0
200000.0,11.64974857,2.4611066394378077E-6,200000.0,90.4,80.8006911751177,200000.0,1555912.0,10.0,1.0,0.0,0.0
210000.0,12.208111326,2.6946261079087354E-6,210000.0,89.9,79.80096955346144,210000.0,1616624.0,10.0,1.0,0.0,0.0
220000.0,12.772007497,2.93810856920739E-6,220000.0,90.7,81.40089275714766,220000.0,1669056.0,10.0,2.0,0.0,0.0
230000.0,13.40600782,3.225362845399839E-6,230000.0,89.8,79.6000815996736,230000.0,1751376.0,10.0,1.0,0.0,0.0
240000.0,14.024092294,3.517416259170547E-6,240000.0,90.5,81.00319146383409,240000.0,1826488.0,10.0,1.0,0.0,0.0
250000.0,14.608773898,3.803302707456673E-6,250000.0,89.2,78.41148508993216,250000.0,1890064.0,10.0,1.0,0.0,0.0
260000.0,15.230355474,3.999189791556389E-6,260000.0,86.2,72.39999999999999,260000.0,1218176.0,10.0,2.0,0.0,0.0
270000.0,15.765365305,4.179914457484935E-6,270000.0,86.9,73.81843182399591,270000.0,1305744.0,10.0,4.0,0.0,0.0
280000.0,16.311802407,4.373071513101719E-6,280000.0,89.9,79.80161587073034,280000.0,1366384.0,10.0,2.0,0.0,0.0
