learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10000.0,0.201338649,8.92553449831903E-10,10000.0,85.3,70.58941218838783,10000.0,17136.0,10.0,0.0
20000.0,0.364725934,1.6168648803979158E-9,20000.0,86.5,73.05001916443081,20000.0,17136.0,10.0,0.0
30000.0,0.522147481,2.3147296249493954E-9,30000.0,86.4,72.79619146680535,30000.0,17136.0,10.0,0.0
40000.0,0.679491417,3.012250312529504E-9,40000.0,84.89999999999999,69.76516947523547,40000.0,17136.0,10.0,0.0
50000.0,0.834531239,3.6995566428080196E-9,50000.0,84.6,69.17003327234072,50000.0,17136.0,10.0,0.0
60000.0,0.992202445,4.398528149537741E-9,60000.0,84.6,69.2078827820078,60000.0,17136.0,10.0,0.0
70000.0,1.146658098,5.083244802877306E-9,70000.0,84.3,68.5798911303234,70000.0,17136.0,10.0,0.0
80000.0,1.299897515,5.762569765932857E-9,80000.0,85.39999999999999,70.80934101087651,80000.0,17136.0,10.0,0.0
90000.0,1.453124557,6.44183986943215E-9,90000.0,86.0,72.0151118396066,90000.0,17136.0,10.0,0.0
100000.0,1.605983162,7.119476656541227E-9,100000.0,87.8,75.57811799372237,100000.0,17136.0,10.0,0.0
110000.0,1.759159029,7.798519896380602E-9,110000.0,85.6,71.25232077618733,110000.0,17136.0,10.0,0.0
120000.0,1.909571634,8.465313332006333E-9,120000.0,87.8,75.61638578874997,120000.0,17136.0,10.0,0.0
130000.0,2.059374194,9.129402379915116E-9,130000.0,85.6,71.19550649901385,130000.0,17136.0,10.0,0.0
140000.0,2.207327521,9.78529360141605E-9,140000.0,87.0,73.97918334667735,140000.0,17136.0,10.0,0.0
150000.0,2.350012392,1.041782925456762E-8,150000.0,88.1,76.15574506283662,150000.0,17136.0,10.0,0.0
160000.0,2.491664879,1.1045788250900803E-8,160000.0,83.7,67.33938189279301,160000.0,17136.0,10.0,0.0
170000.0,2.632449075,1.166989803034812E-8,170000.0,86.6,73.21028724969611,170000.0,17136.0,10.0,0.0
180000.0,2.773191716,1.2293823592513798E-8,180000.0,85.6,71.1737104239066,180000.0,17136.0,10.0,0.0
190000.0,2.913654579,1.291650887209922E-8,190000.0,86.2,72.37137674630917,190000.0,17136.0,10.0,0.0
200000.0,3.055545896,1.354552662461996E-8,200000.0,86.5,73.00345555768861,200000.0,17136.0,10.0,0.0
210000.0,3.196507019,1.4170420738346873E-8,210000.0,86.7,73.40425531914893,210000.0,17136.0,10.0,0.0
220000.0,3.337220076,1.4794215151816604E-8,220000.0,86.3,72.6138026434677,220000.0,17136.0,10.0,0.0
230000.0,3.477616601,1.541660634871572E-8,230000.0,86.4,72.80228460809292,230000.0,17136.0,10.0,0.0
240000.0,3.618347994,1.604048204742372E-8,240000.0,87.2,74.41361195843811,240000.0,17136.0,10.0,0.0
250000.0,3.761052764,1.6673105914741754E-8,250000.0,85.7,71.38397502601457,250000.0,17136.0,10.0,0.0
260000.0,3.902122863,1.729848312947899E-8,260000.0,83.8,67.54391588665213,260000.0,17136.0,10.0,0.0
270000.0,4.04335079,1.7924560010805727E-8,270000.0,85.2,70.35173262070651,270000.0,17136.0,10.0,0.0
280000.0,4.184002701,1.8548083358220757E-8,280000.0,88.7,77.3971068296742,280000.0,17136.0,10.0,0.0
290000.0,4.324714731,1.9171873218901455E-8,290000.0,84.8,69.63303925329242,290000.0,17136.0,10.0,0.0
300000.0,4.46517186,1.9794533079117536E-8,300000.0,83.8,67.63042739824564,300000.0,17136.0,10.0,0.0
310000.0,4.60567222,2.041738458648324E-8,310000.0,84.39999999999999,68.82531384515774,310000.0,17136.0,10.0,0.0
320000.0,4.746384147,2.1041173990555108E-8,320000.0,85.1,70.16085103655996,320000.0,17136.0,10.0,0.0
330000.0,4.887022143,2.166463565144688E-8,330000.0,85.3,70.62749266686382,330000.0,17136.0,10.0,0.0
