learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38.0,0.06134071,2.6278874464333057E-9,38.0,94.73684210526315,0.0,38.0,165600.0,10.0,37.7,2.016873267654113,8672.8,123.67383627015778,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76.0,0.098102338,4.21853540174663E-9,76.0,89.47368421052632,0.0,76.0,167256.0,10.0,76.10000000000001,3.2607088527223986,8838.400000000001,5.438954147832247,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
114.0,0.121780469,5.2437073532823055E-9,114.0,90.35087719298247,31.0231023102311,114.0,167360.0,10.0,115.10000000000001,4.212283624512164,8848.8,5.392999577641839,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
152.0,0.142061773,6.122313459391395E-9,152.0,90.78947368421053,36.817102137767264,152.0,167456.0,10.0,150.89999999999998,5.84132785512944,8858.4,5.60000000000009,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
190.0,0.166137018,7.165625617940806E-9,190.0,91.57894736842105,38.3367139959432,190.0,167512.0,10.0,188.89999999999998,6.597053214209439,8864.0,4.917090377222912,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
228.0,0.179735169,7.755358224742941E-9,228.0,92.98245614035088,39.13913913913913,228.0,167640.0,10.0,227.79999999999998,8.13879597975032,8876.800000000001,4.945929864264368,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
266.0,0.190610668,8.227418402894916E-9,266.0,93.23308270676691,36.48182541788276,266.0,167784.0,10.0,267.3,8.273182915635044,8891.199999999999,4.165466493816868,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
304.0,0.200623588,8.66214122828303E-9,304.0,93.42105263157895,34.1563786008231,304.0,167824.0,10.0,305.30000000000007,8.304015093114092,8895.2,3.855155278613588,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
342.0,0.209979829,9.068469736590566E-9,342.0,93.56725146198829,32.106118029236505,342.0,167872.0,10.0,343.2,9.621503693983248,8900.0,3.211091887677964,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
380.0,0.219162702,9.467630207857323E-9,380.0,93.42105263157895,29.294432866924687,380.0,168024.0,10.0,382.0,10.108302418199496,8915.199999999999,3.199999999999942,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
418.0,0.228488392,9.87307584034072E-9,418.0,93.30143540669856,26.93220127356717,418.0,168056.0,10.0,419.7,10.917926135998133,8918.4,1.9955506062794788,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
456.0,0.237221896,1.0252775471475388E-8,456.0,93.85964912280701,27.198084160109552,456.0,168056.0,10.0,460.9,11.450812683434792,8918.4,1.9955506062794788,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
494.0,0.245314213,1.0604598723623073E-8,494.0,94.12955465587044,26.63115845539266,494.0,168056.0,10.0,499.79999999999995,11.553546833957286,8918.4,1.9955506062794788,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
532.0,0.253432131,1.0957568611935195E-8,532.0,93.98496240601504,24.67923192637816,532.0,168072.0,10.0,536.8000000000002,12.017394799946361,8920.0,1.6865480854231227,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
570.0,0.262528098,1.1353252660412756E-8,570.0,93.85964912280701,22.99081293908735,570.0,168152.0,10.0,576.3,10.651082365447914,8928.0,1.1925695879998728,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
608.0,0.271066552,1.1724684312095244E-8,608.0,93.75,21.516407364630773,608.0,168152.0,10.0,614.6,11.310958305014555,8928.0,1.1925695879998728,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
646.0,0.279802423,1.2104721888924638E-8,646.0,93.49845201238391,19.770536400733278,646.0,168160.0,10.0,653.6999999999999,11.492074563705971,8928.8,1.4360439485692236,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
684.0,0.287896397,1.245703596452044E-8,684.0,93.42105263157895,18.66610294894848,684.0,168256.0,10.0,693.0,11.599808427536876,8938.400000000001,3.5876330792196387,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
722.0,0.296576037,1.2834842879035405E-8,722.0,93.62880886426593,18.410062398663555,722.0,168256.0,10.0,732.0000000000001,12.833116881291504,8938.400000000001,3.5876330792196387,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
760.0,0.304776507,1.3191792506931555E-8,760.0,93.55263157894737,17.449902464975995,760.0,168256.0,10.0,768.9000000000001,13.58630846763674,8938.400000000001,3.5876330792196387,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
798.0,0.31362421,1.3577043037689807E-8,798.0,93.60902255639097,16.898762608731126,798.0,168312.0,10.0,806.7,13.38494178794464,8944.0,3.1552425509864617,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
836.0,0.322476543,1.39625318115991E-8,836.0,93.6602870813397,16.381067411489436,836.0,168328.0,10.0,843.1999999999999,12.836406558431111,8945.6,3.537733109712417,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
874.0,0.330234572,1.4300367395412175E-8,874.0,93.59267734553775,15.616702872314747,874.0,168328.0,10.0,879.0999999999999,12.321120078953859,8945.6,3.537733109712417,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
912.0,0.338729808,1.4670305818391755E-8,912.0,93.75,15.434669442998361,912.0,168328.0,10.0,918.6999999999999,12.685994026659651,8945.6,3.537733109712417,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
950.0,0.346597612,1.5013019426876885E-8,950.0,93.6842105263158,14.754882900128646,950.0,168376.0,10.0,956.5,12.30469648368279,8950.400000000001,3.7333333333332765,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
