learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38.0,0.348983575,1.6235646651902546E-8,38.0,94.73684210526315,0.0,38.0,179832.0,10.0,37.7,2.016873267654113,9568.8,123.67383627015778,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76.0,0.507102098,2.372820237658297E-8,76.0,89.47368421052632,0.0,76.0,183168.0,10.0,76.10000000000001,3.2607088527223986,9734.400000000001,5.438954147832247,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
114.0,0.551710624,2.584320846358728E-8,114.0,90.35087719298247,31.0231023102311,114.0,183272.0,10.0,115.10000000000001,4.212283624512164,9744.8,5.392999577641839,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
152.0,0.594241266,2.786075293282875E-8,152.0,90.78947368421053,36.817102137767264,152.0,183368.0,10.0,150.89999999999998,5.84132785512944,9754.4,5.60000000000009,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
190.0,0.643915029,3.023945743164876E-8,190.0,91.57894736842105,38.3367139959432,190.0,185104.0,10.0,188.89999999999998,6.597053214209439,9760.0,4.917090377222912,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
228.0,0.694827873,3.2679183141057277E-8,228.0,92.98245614035088,39.13913913913913,228.0,185232.0,10.0,227.79999999999998,8.13879597975032,9772.800000000001,4.945929864264368,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
266.0,0.734804909,3.45963580097403E-8,266.0,93.23308270676691,36.48182541788276,266.0,185376.0,10.0,267.3,8.273182915635044,9787.199999999999,4.165466493816868,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
304.0,0.771288547,3.634637786041738E-8,304.0,93.42105263157895,34.1563786008231,304.0,185416.0,10.0,305.30000000000007,8.304015093114092,9791.2,3.855155278613588,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
342.0,0.808103437,3.812874449749581E-8,342.0,93.56725146198829,32.106118029236505,342.0,187144.0,10.0,343.2,9.621503693983248,9796.0,3.211091887677964,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
380.0,0.848940369,4.010744123945427E-8,380.0,93.42105263157895,29.294432866924687,380.0,187296.0,10.0,382.0,10.108302418199496,9811.199999999999,3.199999999999942,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
418.0,0.891078463,4.214953281336154E-8,418.0,93.30143540669856,26.93220127356717,418.0,187328.0,10.0,419.7,10.917926135998133,9814.4,1.9955506062794788,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
456.0,0.926085291,4.3846029776134013E-8,456.0,93.85964912280701,27.198084160109552,456.0,187328.0,10.0,460.9,11.450812683434792,9814.4,1.9955506062794788,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
494.0,0.960953118,4.5535790488072154E-8,494.0,94.12955465587044,26.63115845539266,494.0,187328.0,10.0,499.79999999999995,11.553546833957286,9814.4,1.9955506062794788,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
532.0,0.994653482,4.716911323229265E-8,532.0,93.98496240601504,24.67923192637816,532.0,187344.0,10.0,536.8000000000002,12.017394799946361,9816.0,1.6865480854231227,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
570.0,1.031703992,4.8965571041750825E-8,570.0,93.85964912280701,22.99081293908735,570.0,187424.0,10.0,576.3,10.651082365447914,9824.0,1.1925695879998728,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
608.0,1.065096296,5.058465443079463E-8,608.0,93.75,21.516407364630773,608.0,187424.0,10.0,614.6,11.310958305014555,9824.0,1.1925695879998728,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
646.0,1.096446238,5.211840048568323E-8,646.0,93.49845201238391,19.770536400733278,646.0,189112.0,10.0,653.6999999999999,11.492074563705971,9824.8,1.4360439485692236,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
