learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
38.0,0.062249422,1.2254477003879016E-9,38.0,94.73684210526315,0.0,38.0,76096.0,10.0,0.0
76.0,0.17975561,3.5890256846033864E-9,76.0,90.78947368421053,20.35928143712583,76.0,77752.0,10.0,0.0
114.0,0.218293296,4.365228744405839E-9,114.0,91.22807017543859,40.251572327044,114.0,77856.0,10.0,0.0
152.0,0.240706888,4.817226578452521E-9,152.0,91.44736842105263,43.413516609392886,152.0,77952.0,10.0,0.0
190.0,0.263992646,5.287150066126552E-9,190.0,92.10526315789474,44.00785854616897,190.0,78008.0,10.0,0.0
228.0,0.28289015,5.669141171007521E-9,228.0,92.98245614035088,42.910798122065714,228.0,78136.0,10.0,0.0
266.0,0.301711122,6.050286406199966E-9,266.0,92.4812030075188,37.16040633120725,266.0,78280.0,10.0,0.0
304.0,0.321501028,6.451258399465846E-9,304.0,93.0921052631579,39.568345323741056,304.0,78320.0,10.0,0.0
342.0,0.33979521,6.822152041093344E-9,342.0,92.39766081871345,39.43604413567629,342.0,78368.0,10.0,0.0
380.0,0.35745498,7.180878130603169E-9,380.0,92.36842105263158,41.220396842329876,380.0,78520.0,10.0,0.0
418.0,0.375240682,7.542309537078773E-9,418.0,93.0622009569378,47.14397837272174,418.0,78552.0,10.0,1.0
456.0,0.391392532,7.870538687813615E-9,456.0,93.2017543859649,45.58891454965354,456.0,78552.0,10.0,2.0
494.0,0.407204476,8.191860452849006E-9,494.0,93.11740890688259,44.88778054862843,494.0,78552.0,10.0,2.0
532.0,0.424570712,8.544839580903454E-9,532.0,93.23308270676691,46.445948213187116,532.0,78568.0,10.0,1.0
570.0,0.441227866,8.88375093083829E-9,570.0,92.98245614035088,46.31757393106042,570.0,78648.0,10.0,1.0
608.0,0.454689856,9.157652535140517E-9,608.0,93.25657894736842,48.20478723404252,608.0,78648.0,10.0,1.0
646.0,0.468046528,9.42943895151218E-9,646.0,93.03405572755418,49.939727914585816,646.0,78656.0,10.0,2.0
684.0,0.481331186,9.700089928888614E-9,684.0,92.98245614035088,51.03209640854318,684.0,78752.0,10.0,1.0
722.0,0.494668386,9.971811354872254E-9,722.0,93.07479224376732,50.931086040505605,722.0,78752.0,10.0,1.0
760.0,0.50864295,1.0256517924285598E-8,760.0,92.76315789473685,50.01434994738359,760.0,78752.0,10.0,1.0
798.0,0.521697344,1.0522666809571288E-8,798.0,92.73182957393483,49.44512408248862,798.0,78808.0,10.0,1.0
836.0,0.534889756,1.0791684168680676E-8,836.0,92.82296650717703,50.123299657942866,836.0,78824.0,10.0,1.0
874.0,0.548053086,1.1060108492730394E-8,874.0,92.44851258581235,48.257117740980604,874.0,78824.0,10.0,3.0
912.0,0.561412354,1.1332528350220787E-8,912.0,92.43421052631578,47.8520286396181,912.0,78824.0,10.0,3.0
950.0,0.574330864,1.1596120764964986E-8,950.0,92.42105263157895,48.73562873802707,950.0,78872.0,10.0,3.0
988.0,0.587101848,1.1856967332400383E-8,988.0,92.20647773279353,46.976497811480705,988.0,78952.0,10.0,3.0
1026.0,0.599785564,1.211603145627098E-8,1026.0,91.8,45.277151208574175,1026.0,78952.0,10.0,3.0
1064.0,0.612279524,1.2371271540584665E-8,1064.0,91.8,46.57005838198499,1064.0,78968.0,10.0,3.0
1102.0,0.624721658,1.2625607369368277E-8,1102.0,91.9,46.95064445143037,1102.0,79016.0,10.0,3.0
1140.0,0.637176552,1.2880281361796791E-8,1140.0,91.7,46.837129461197506,1140.0,79040.0,10.0,3.0
1178.0,0.649479996,1.3131858549374675E-8,1178.0,91.7,46.26440502395446,1178.0,79040.0,10.0,3.0
1216.0,0.661833832,1.3384466137679088E-8,1216.0,91.60000000000001,47.058601086559236,1216.0,79040.0,10.0,3.0
1254.0,0.674225856,1.3637854582923984E-8,1254.0,91.7,49.03222637060332,1254.0,79040.0,10.0,3.0
1292.0,0.68664771,1.3891852983194923E-8,1292.0,91.8,49.37334074211278,1292.0,79040.0,10.0,3.0
1330.0,0.699002848,1.4144487194410632E-8,1330.0,91.9,51.243589434907186,1330.0,79040.0,10.0,3.0
1368.0,0.71136047,1.4397172197724385E-8,1368.0,92.10000000000001,51.97334824793916,1368.0,79040.0,10.0,3.0
1406.0,0.723676138,1.4648999338042408E-8,1406.0,91.9,49.78674866098003,1406.0,79040.0,10.0,3.0
1444.0,0.736173144,1.4904560288079087E-8,1444.0,91.7,50.10819908631887,1444.0,79048.0,10.0,3.0
1482.0,0.748808387,1.5162948153542567E-8,1482.0,91.5,50.40145644664362,1482.0,79048.0,10.0,3.0
1520.0,0.761245645,1.5417287270474356E-8,1520.0,91.60000000000001,50.73371573353979,1520.0,79048.0,10.0,3.0
1558.0,0.773806675,1.5674157496850114E-8,1558.0,91.2,48.84018371024943,1558.0,79048.0,10.0,3.0
1596.0,0.786147747,1.5926529631807162E-8,1596.0,91.3,49.1988601859205,1596.0,79048.0,10.0,3.0
1634.0,0.799273845,1.6194955371152615E-8,1634.0,91.4,49.07385475389647,1634.0,79048.0,10.0,3.0
1672.0,0.811887787,1.645290763597729E-8,1672.0,91.2,48.4246061515379,1672.0,79048.0,10.0,3.0
1710.0,0.824146629,1.6703598186007396E-8,1710.0,91.2,48.4246061515379,1710.0,79048.0,10.0,3.0
1748.0,0.836417683,1.6954538468679212E-8,1748.0,91.10000000000001,48.14365954273201,1748.0,79048.0,10.0,3.0
1786.0,0.848667129,1.7205036872631566E-8,1786.0,91.4,49.63396778916549,1786.0,79048.0,10.0,3.0
1824.0,0.861055249,1.7458576236754247E-8,1824.0,90.9,48.00118854426187,1824.0,79112.0,10.0,3.0
1862.0,0.873418267,1.7711601855036702E-8,1862.0,90.7,47.4267366136035,1862.0,79112.0,10.0,3.0
1900.0,0.885626867,1.7961467103422105E-8,1900.0,91.3,50.24932522073291,1900.0,79112.0,10.0,3.0
