learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
38.0,0.015652571,3.1937885923725037E-10,38.0,94.73684210526315,0.0,38.0,78872.0,10.0,0.0
76.0,0.040311235,8.330842051924103E-10,76.0,90.78947368421053,20.35928143712583,76.0,80528.0,10.0,0.0
114.0,0.053594947,1.1101765404165618E-9,114.0,91.22807017543859,40.251572327044,114.0,80632.0,10.0,0.0
152.0,0.065029714,1.3489846892613503E-9,152.0,91.44736842105263,43.413516609392886,152.0,80728.0,10.0,0.0
190.0,0.073131398,1.5183007994252773E-9,190.0,92.10526315789474,44.00785854616897,190.0,80784.0,10.0,0.0
228.0,0.081041658,1.6838783005666399E-9,228.0,92.98245614035088,42.910798122065714,228.0,80912.0,10.0,0.0
266.0,0.088301054,1.8361023550687562E-9,266.0,92.4812030075188,37.16040633120725,266.0,81056.0,10.0,0.0
304.0,0.095283799,1.982597504570666E-9,304.0,93.0921052631579,39.568345323741056,304.0,81096.0,10.0,0.0
342.0,0.101313442,2.1091718357387514E-9,342.0,92.39766081871345,39.43604413567629,342.0,81144.0,10.0,0.0
380.0,0.106519516,2.2186625134282638E-9,380.0,92.36842105263158,41.220396842329876,380.0,81296.0,10.0,0.0
418.0,0.111985109,2.3336564682051535E-9,418.0,93.0622009569378,47.14397837272174,418.0,81328.0,10.0,1.0
456.0,0.117119811,2.441688604806032E-9,456.0,93.2017543859649,45.58891454965354,456.0,81328.0,10.0,2.0
494.0,0.12230311,2.5507432034197777E-9,494.0,93.11740890688259,44.88778054862843,494.0,81328.0,10.0,2.0
532.0,0.127850024,2.6674710803147815E-9,532.0,93.23308270676691,46.445948213187116,532.0,81344.0,10.0,1.0
570.0,0.133073906,2.7775092660056215E-9,570.0,92.98245614035088,46.31757393106042,570.0,81424.0,10.0,1.0
608.0,0.13851371,2.8920957292285223E-9,608.0,93.25657894736842,48.20478723404252,608.0,81424.0,10.0,1.0
646.0,0.143792496,3.0033013623249193E-9,646.0,93.03405572755418,49.939727914585816,646.0,81432.0,10.0,2.0
684.0,0.148998383,3.113100557027177E-9,684.0,92.98245614035088,51.03209640854318,684.0,81528.0,10.0,1.0
722.0,0.153816584,3.2147229298742275E-9,722.0,93.07479224376732,50.931086040505605,722.0,81528.0,10.0,1.0
760.0,0.158876255,3.3214382314661303E-9,760.0,92.76315789473685,50.01434994738359,760.0,81528.0,10.0,1.0
798.0,0.163370803,3.4162994385903902E-9,798.0,92.73182957393483,49.44512408248862,798.0,81584.0,10.0,1.0
836.0,0.168055661,3.515196689580463E-9,836.0,92.82296650717703,50.123299657942866,836.0,81600.0,10.0,1.0
874.0,0.17254118,3.6098858985946406E-9,874.0,92.44851258581235,48.257117740980604,874.0,81600.0,10.0,3.0
912.0,0.177425986,3.713004047537429E-9,912.0,92.43421052631578,47.8520286396181,912.0,81600.0,10.0,3.0
950.0,0.182035978,3.8103781240826675E-9,950.0,92.42105263157895,48.73562873802707,950.0,81648.0,10.0,3.0
988.0,0.186590357,3.906671778507944E-9,988.0,92.20647773279353,46.976497811480705,988.0,81728.0,10.0,3.0
1026.0,0.191497076,4.010414989985939E-9,1026.0,91.8,45.277151208574175,1026.0,81728.0,10.0,3.0
1064.0,0.196036863,4.106418915550327E-9,1064.0,91.8,46.57005838198499,1064.0,81744.0,10.0,3.0
1102.0,0.200487976,4.200602903823471E-9,1102.0,91.9,46.95064445143037,1102.0,81792.0,10.0,3.0
1140.0,0.204932354,4.294671976191716E-9,1140.0,91.7,46.837129461197506,1140.0,81816.0,10.0,3.0
1178.0,0.20933693,4.38789860509129E-9,1178.0,91.7,46.26440502395446,1178.0,81816.0,10.0,3.0
1216.0,0.213901926,4.484520660885092E-9,1216.0,91.60000000000001,47.058601086559236,1216.0,81816.0,10.0,3.0
1254.0,0.218979163,4.591984736799365E-9,1254.0,91.7,49.03222637060332,1254.0,81816.0,10.0,3.0
1292.0,0.223377632,4.68508210580589E-9,1292.0,91.8,49.37334074211278,1292.0,81816.0,10.0,3.0
1330.0,0.227838999,4.77951076493081E-9,1330.0,91.9,51.243589434907186,1330.0,81816.0,10.0,3.0
1368.0,0.232153281,4.870826243874098E-9,1368.0,92.10000000000001,51.97334824793916,1368.0,81816.0,10.0,3.0
1406.0,0.236512181,4.9630861010568E-9,1406.0,91.9,49.78674866098003,1406.0,81816.0,10.0,3.0
1444.0,0.24105881,5.059328813271389E-9,1444.0,91.7,50.10819908631887,1444.0,81824.0,10.0,3.0
1482.0,0.245427634,5.151807762169175E-9,1482.0,91.5,50.40145644664362,1482.0,81824.0,10.0,3.0
