learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
38.0,0.067009002,2.899290364260475E-9,38.0,89.47368421052632,-5.555555555555382,38.0,167248.0,10.0,1.0
76.0,0.10469985,4.533265176887313E-9,76.0,85.52631578947368,18.677042801556375,76.0,167576.0,10.0,1.0
114.0,0.131102789,5.678214070149179E-9,114.0,85.96491228070175,25.490196078431364,114.0,167624.0,10.0,4.0
152.0,0.155902824,6.754526462167915E-9,152.0,87.5,27.582748244734205,152.0,167760.0,10.0,2.0
190.0,0.176923501,7.66729465752426E-9,190.0,89.47368421052632,31.77737881508077,190.0,167848.0,10.0,1.0
228.0,0.18746594,8.125312641490664E-9,228.0,91.22807017543859,32.802829354553424,228.0,167936.0,10.0,1.0
266.0,0.211266946,9.19964484905617E-9,266.0,91.72932330827066,34.46808510638291,266.0,174480.0,10.0,1.0
304.0,0.226917265,9.911382483682697E-9,304.0,91.44736842105263,30.434782608695627,304.0,175792.0,10.0,7.0
342.0,0.23916791,1.0472593383969117E-8,342.0,90.93567251461988,26.282853566958707,342.0,177080.0,10.0,5.0
380.0,0.253010606,1.1133094300062705E-8,380.0,90.78947368421053,26.45432426454325,380.0,184440.0,10.0,5.0
418.0,0.26236064,1.1579345032790053E-8,418.0,91.6267942583732,34.11690534089884,418.0,184488.0,10.0,3.0
456.0,0.270215794,1.1954363161857341E-8,456.0,92.10526315789474,33.736982320174405,456.0,184544.0,10.0,3.0
494.0,0.278526507,1.2351130435990375E-8,494.0,92.51012145748987,33.31630791681868,494.0,184544.0,10.0,3.0
532.0,0.287246253,1.277029500985104E-8,532.0,93.04511278195488,39.38162108893821,532.0,185816.0,10.0,4.0
570.0,0.296132872,1.3197849126938315E-8,570.0,93.15789473684211,41.429098382252164,570.0,185976.0,10.0,4.0
608.0,0.314621135,1.4117548567064933E-8,608.0,93.25657894736842,43.159430864647874,608.0,192288.0,10.0,4.0
646.0,0.329557102,1.4893521526962932E-8,646.0,92.72445820433437,42.09040625596039,646.0,200824.0,10.0,4.0
684.0,0.341231793,1.552236192866125E-8,684.0,92.54385964912281,41.17369308600338,684.0,208208.0,10.0,3.0
722.0,0.359250165,1.6521646866812887E-8,722.0,92.5207756232687,39.76082321312689,722.0,214376.0,10.0,3.0
760.0,0.375778356,1.749572080442268E-8,760.0,92.89473684210526,43.264764432647624,760.0,227808.0,10.0,1.0
798.0,0.388144659,1.8225490197690413E-8,798.0,93.23308270676691,45.44487770294219,798.0,228112.0,10.0,1.0
836.0,0.400627217,1.8993353390666763E-8,836.0,93.30143540669856,45.51717717158548,836.0,237784.0,10.0,3.0
874.0,0.410893666,1.9641614664132813E-8,874.0,93.36384439359267,46.456260430530065,874.0,244080.0,10.0,4.0
912.0,0.421881805,2.0338970966082483E-8,912.0,93.53070175438597,46.97256385998111,912.0,245320.0,10.0,4.0
950.0,0.43241442,2.1008006239334745E-8,950.0,93.78947368421052,49.48721183828697,950.0,245536.0,10.0,4.0
988.0,0.442602233,2.1655835369678423E-8,988.0,93.92712550607287,49.891804165539625,988.0,245800.0,10.0,4.0
1026.0,0.453674555,2.2339606228584633E-8,1026.0,94.19999999999999,50.886581875455114,1026.0,238712.0,10.0,4.0
1064.0,0.468237579,2.329853148981722E-8,1064.0,94.3,50.632253594318286,1064.0,254528.0,10.0,4.0
1102.0,0.479343404,2.4030110836451255E-8,1102.0,94.69999999999999,53.387743615000325,1102.0,254632.0,10.0,5.0
1140.0,0.489873543,2.4724051054654023E-8,1140.0,94.89999999999999,55.14196249516229,1140.0,254736.0,10.0,3.0
1178.0,0.505693345,2.5757381951568856E-8,1178.0,94.89999999999999,54.43662223492832,1178.0,252488.0,10.0,4.0
1216.0,0.518449155,2.6622678276428745E-8,1216.0,94.6,52.865597123055686,1216.0,262216.0,10.0,3.0
1254.0,0.531982647,2.757546017339246E-8,1254.0,94.39999999999999,53.26556840752424,1254.0,272136.0,10.0,5.0
1292.0,0.542825392,2.8342399131016182E-8,1292.0,94.5,53.761307462084254,1292.0,273416.0,10.0,3.0
1330.0,0.553537853,2.9100189233287753E-8,1330.0,94.89999999999999,57.74087700109369,1330.0,273440.0,10.0,3.0
1368.0,0.564183194,2.985325335724486E-8,1368.0,95.3,60.48427778711953,1368.0,273448.0,10.0,3.0
1406.0,0.574507056,3.0583639772137E-8,1406.0,95.3,59.28903055921276,1406.0,273472.0,10.0,3.0
1444.0,0.585345939,3.135070933910086E-8,1444.0,95.39999999999999,61.04006098077408,1444.0,273560.0,10.0,3.0
1482.0,0.596479159,3.213867830902544E-8,1482.0,95.39999999999999,62.69443498288803,1482.0,273584.0,10.0,2.0
1520.0,0.606966604,3.2881115303451395E-8,1520.0,95.19999999999999,61.072453895187515,1520.0,273648.0,10.0,2.0
1558.0,0.627380979,3.4397246049845374E-8,1558.0,94.6,56.810365512277,1558.0,287080.0,10.0,2.0
1596.0,0.638669238,3.5236020746825044E-8,1596.0,94.8,57.825071372956046,1596.0,287224.0,10.0,3.0
1634.0,0.65095783,3.615296555518896E-8,1634.0,95.39999999999999,61.60779862455763,1634.0,288432.0,10.0,3.0
1672.0,0.662575162,3.6995226284486955E-8,1672.0,95.5,61.60016383930093,1672.0,280248.0,10.0,0.0
1710.0,0.674322558,3.784703826274101E-8,1710.0,96.0,66.12007047025341,1710.0,280288.0,10.0,0.0
1748.0,0.685948785,3.8690401055136064E-8,1748.0,95.8,64.4278817650546,1748.0,280400.0,10.0,2.0
1786.0,0.701358053,3.986603490523372E-8,1786.0,95.6,62.171363722337745,1786.0,294912.0,10.0,1.0
1824.0,0.712856283,4.074358959447798E-8,1824.0,95.8,64.42607399376608,1824.0,295016.0,10.0,0.0
1862.0,0.72499266,4.1673766537689485E-8,1862.0,95.89999999999999,65.01467676974532,1862.0,296264.0,10.0,1.0
1900.0,0.736661904,4.2568309730473475E-8,1900.0,96.1,67.20925539786096,1900.0,296320.0,10.0,1.0
1938.0,0.749088845,4.3524948751769115E-8,1938.0,95.8,65.44688692905088,1938.0,297568.0,10.0,2.0
1976.0,0.760820328,4.442812352155851E-8,1976.0,95.89999999999999,65.52767875159742,1976.0,297592.0,10.0,2.0
2014.0,0.778256132,4.581451843141059E-8,2014.0,95.39999999999999,63.20647566028374,2014.0,307360.0,10.0,4.0
2052.0,0.790373813,4.677827247925515E-8,2052.0,95.7,65.84265378749359,2052.0,307432.0,10.0,3.0
2090.0,0.803175127,4.779647730828572E-8,2090.0,95.89999999999999,67.87337407929788,2090.0,307456.0,10.0,1.0
2128.0,0.822077072,4.9323822817109095E-8,2128.0,95.89999999999999,67.8753878459272,2128.0,312344.0,10.0,2.0
2166.0,0.834495927,5.033214321098806E-8,2166.0,95.7,65.84373907793979,2166.0,313848.0,10.0,3.0
2204.0,0.846806972,5.133181213569515E-8,2204.0,95.89999999999999,66.9780927835051,2204.0,313880.0,10.0,2.0
2242.0,0.859089153,5.230661580024906E-8,2242.0,96.1,67.21035816378004,2242.0,306792.0,10.0,4.0
2280.0,0.873232876,5.3460398194794005E-8,2280.0,96.0,66.61380519155325,2280.0,315328.0,10.0,3.0
2318.0,0.886859961,5.4597784604080414E-8,2318.0,96.1,65.69438091552018,2318.0,322632.0,10.0,3.0
2356.0,0.900574124,5.577280870380499E-8,2356.0,96.3,67.94871794871791,2356.0,331192.0,10.0,3.0
2394.0,0.91642935,5.7131606381150564E-8,2394.0,96.2,67.32925235573288,2394.0,331272.0,10.0,2.0
2432.0,0.931496072,5.842766226350845E-8,2432.0,96.0,67.09227326576274,2432.0,332512.0,10.0,1.0
2470.0,0.945086955,5.959715865193968E-8,2470.0,96.0,67.09227326576274,2470.0,332624.0,10.0,2.0
2508.0,0.962373133,6.109032373762377E-8,2508.0,96.0,68.00614282057838,2508.0,333896.0,10.0,2.0
2546.0,0.988541667,6.335084735949833E-8,2546.0,96.6,72.42408512847126,2546.0,333912.0,10.0,2.0
2584.0,1.010772241,6.531297284583663E-8,2584.0,96.7,74.14198401504464,2584.0,341176.0,10.0,2.0
2622.0,1.023154487,6.640588615268882E-8,2622.0,96.8,74.04493470678882,2622.0,341184.0,10.0,2.0
2660.0,1.03608221,6.751925401403051E-8,2660.0,96.8,73.67381861261019,2660.0,332904.0,10.0,2.0
2698.0,1.050014272,6.874417470136657E-8,2698.0,96.8,73.67511805064242,2698.0,339856.0,10.0,0.0
2736.0,1.062379643,6.983142713888651E-8,2736.0,97.0,74.96035389366494,2736.0,339880.0,10.0,0.0
2774.0,1.073608337,7.079530987044588E-8,2774.0,96.89999999999999,74.31223069274108,2774.0,331816.0,10.0,3.0
2812.0,1.089737867,7.224207567697183E-8,2812.0,96.89999999999999,74.6798222686879,2812.0,346720.0,10.0,2.0
