learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
38.0,0.345200863,1.536309586207072E-8,38.0,94.73684210526315,0.0,38.0,172032.0,10.0,0.0
76.0,0.485805357,2.1680907092131675E-8,76.0,89.47368421052632,0.0,76.0,173688.0,10.0,0.0
114.0,0.52301595,2.335389962113152E-8,114.0,90.35087719298247,31.0231023102311,114.0,173792.0,10.0,0.0
152.0,0.555341136,2.4808046495777864E-8,152.0,90.78947368421053,36.817102137767264,152.0,173888.0,10.0,0.0
190.0,0.595701266,2.6624229631084535E-8,190.0,91.57894736842105,38.3367139959432,190.0,173944.0,10.0,0.0
228.0,0.636084588,2.8442793634206885E-8,228.0,92.54385964912281,37.403100775193714,228.0,174072.0,10.0,0.0
266.0,0.666778021,2.982614063728808E-8,266.0,92.85714285714286,34.95495495495505,266.0,174216.0,10.0,0.0
304.0,0.694686733,3.108426961142777E-8,304.0,93.0921052631579,32.800000000000054,304.0,174256.0,10.0,0.0
342.0,0.721816143,3.230760441618454E-8,342.0,93.27485380116958,30.890880337374778,342.0,174304.0,10.0,0.0
380.0,0.753724651,3.3747695752032515E-8,380.0,93.15789473684211,28.239395700174285,380.0,174456.0,10.0,0.0
418.0,0.786156867,3.521169150835731E-8,418.0,93.0622009569378,26.004150897326294,418.0,174488.0,10.0,0.0
456.0,0.812617223,3.640611648674433E-8,456.0,93.64035087719299,26.287625418060205,456.0,174488.0,10.0,0.0
494.0,0.838270691,3.756411840332672E-8,494.0,93.92712550607287,25.766379483069553,494.0,174488.0,10.0,0.0
532.0,0.863297522,3.869393741030246E-8,532.0,93.796992481203,23.907766990291346,532.0,174504.0,10.0,0.0
570.0,0.889762756,3.9889239853637085E-8,570.0,93.6842105263158,22.29627385640702,570.0,174584.0,10.0,0.0
608.0,0.914412554,4.100254811976105E-8,608.0,93.58552631578947,20.886160416388467,608.0,174584.0,10.0,0.0
646.0,0.937778606,4.2057924349047243E-8,646.0,93.343653250774,19.20772497236926,646.0,174592.0,10.0,0.0
684.0,0.959905142,4.305786478433758E-8,684.0,93.27485380116958,18.147762747138497,684.0,174688.0,10.0,0.0
722.0,0.98114512,4.4017739969810674E-8,722.0,93.49030470914127,17.910881029561104,722.0,174688.0,10.0,0.0
760.0,1.004759918,4.508493780825287E-8,760.0,93.42105263157895,16.98706745893048,760.0,174688.0,10.0,0.0
798.0,1.032139774,4.632268246952444E-8,798.0,93.48370927318295,16.45997745208586,798.0,174744.0,10.0,0.0
836.0,1.055317116,4.7370542547189525E-8,836.0,93.54066985645933,15.964259121370066,836.0,174760.0,10.0,0.0
874.0,1.076003222,4.8305772507542535E-8,874.0,93.47826086956522,15.226491508695556,874.0,174760.0,10.0,0.0
912.0,1.098042454,4.930217802096158E-8,912.0,93.64035087719299,15.056526207605184,912.0,174760.0,10.0,0.0
950.0,1.119753176,5.028400101668305E-8,950.0,93.57894736842105,14.39924369996156,950.0,174808.0,10.0,0.0
988.0,1.143256034,5.1347356113894946E-8,988.0,93.7246963562753,14.245716205622191,988.0,174888.0,10.0,0.0
1026.0,1.168669606,5.249715888786233E-8,1026.0,93.89999999999999,14.503560015697726,1026.0,174888.0,10.0,0.0
1064.0,1.188857162,5.3410601180067495E-8,1064.0,94.0,14.743662612254093,1064.0,174904.0,10.0,0.0
1102.0,1.20989576,5.4362812491489784E-8,1102.0,94.0,10.106972702483926,1102.0,174952.0,10.0,0.0
1140.0,1.229806147,5.526408435887761E-8,1140.0,93.89999999999999,4.966660434972218,1140.0,174976.0,10.0,0.0
1178.0,1.252872799,5.6308229031827714E-8,1178.0,94.19999999999999,-0.19693881076589723,1178.0,174976.0,10.0,0.0
1216.0,1.278345753,5.7461298372944196E-8,1216.0,94.1,0.0,1216.0,174976.0,10.0,0.0
1254.0,1.299483126,5.8418111499448616E-8,1254.0,93.89999999999999,0.0,1254.0,174976.0,10.0,0.0
1292.0,1.320387532,5.936437904473808E-8,1292.0,93.89999999999999,0.0,1292.0,174976.0,10.0,0.0
1330.0,1.34071973,6.028474478446776E-8,1330.0,93.7,0.0,1330.0,174976.0,10.0,0.0
1368.0,1.36141369,6.12214861935046E-8,1368.0,93.8,0.0,1368.0,174976.0,10.0,0.0
1406.0,1.385654006,6.231875842971935E-8,1406.0,94.1,0.0,1406.0,174976.0,10.0,0.0
1444.0,1.406940831,6.328238076801308E-8,1444.0,93.89999999999999,0.0,1444.0,174984.0,10.0,0.0
1482.0,1.426958259,6.418853942605563E-8,1482.0,93.7,0.0,1482.0,174984.0,10.0,0.0
1520.0,1.447511483,6.511895275779275E-8,1520.0,93.7,0.0,1520.0,174984.0,10.0,0.0
1558.0,1.467666284,6.603133008355481E-8,1558.0,93.5,0.0,1558.0,174984.0,10.0,0.0
1596.0,1.491739495,6.712108789732265E-8,1596.0,93.60000000000001,0.0,1596.0,174984.0,10.0,0.0
1634.0,1.513558113,6.810878369956173E-8,1634.0,93.8,0.0,1634.0,174984.0,10.0,0.0
1672.0,1.533210157,6.899840197713631E-8,1672.0,93.8,0.0,1672.0,174984.0,10.0,0.0
1710.0,1.553585827,6.992077770812023E-8,1710.0,93.8,0.0,1710.0,174984.0,10.0,0.0
1748.0,1.573260643,7.081142683965671E-8,1748.0,93.89999999999999,0.0,1748.0,174984.0,10.0,0.0
1786.0,1.594405365,7.176861639029244E-8,1786.0,93.89999999999999,0.0,1786.0,174984.0,10.0,0.0
1824.0,1.616912309,7.278784431238762E-8,1824.0,93.8,0.0,1824.0,175048.0,10.0,0.0
1862.0,1.637101847,7.370212840461276E-8,1862.0,93.89999999999999,0.0,1862.0,175048.0,10.0,0.0
1900.0,1.657133849,7.460927847233705E-8,1900.0,93.7,0.0,1900.0,175048.0,10.0,0.0
1938.0,1.677266613,7.552099155154287E-8,1938.0,93.60000000000001,0.0,1938.0,175048.0,10.0,0.0
1976.0,1.697753009,7.644871887100033E-8,1976.0,93.7,0.0,1976.0,175048.0,10.0,0.0
2014.0,1.719940693,7.745348909033463E-8,2014.0,93.30000000000001,0.0,2014.0,175048.0,10.0,0.0
2052.0,1.739838701,7.835469477712902E-8,2052.0,93.30000000000001,0.0,2052.0,175072.0,10.0,0.0
2090.0,1.759954499,7.926576444561077E-8,2090.0,93.30000000000001,0.0,2090.0,175072.0,10.0,0.0
2128.0,1.779394429,8.01462232064518E-8,2128.0,93.4,0.0,2128.0,175072.0,10.0,0.0
2166.0,1.800119347,8.108518092897411E-8,2166.0,93.4,0.0,2166.0,175128.0,10.0,0.0
2204.0,1.821992663,8.207616767137623E-8,2204.0,93.5,0.0,2204.0,175128.0,10.0,0.0
2242.0,1.843884671,8.306800126864886E-8,2242.0,93.8,0.0,2242.0,175128.0,10.0,0.0
2280.0,1.867946828,8.415815506977341E-8,2280.0,93.7,0.0,2280.0,175128.0,10.0,0.0
2318.0,1.888039742,8.506856255294135E-8,2318.0,94.1,0.0,2318.0,175144.0,10.0,0.0
2356.0,1.908427386,8.59923242164693E-8,2356.0,94.0,0.0,2356.0,175144.0,10.0,0.0
2394.0,1.929724816,8.695730817271605E-8,2394.0,93.8,0.0,2394.0,175144.0,10.0,0.0
2432.0,1.950323692,8.789064073240593E-8,2432.0,93.60000000000001,0.0,2432.0,175144.0,10.0,0.0
2470.0,1.97027354,8.879456591255965E-8,2470.0,93.60000000000001,0.0,2470.0,175144.0,10.0,0.0
2508.0,1.990226514,8.969863273139217E-8,2508.0,93.4,0.0,2508.0,175144.0,10.0,0.0
2546.0,2.06519234,9.325357786240679E-8,2546.0,93.60000000000001,0.0,2546.0,183304.0,10.0,0.0
2584.0,2.152293292,9.738668526685075E-8,2584.0,93.30000000000001,0.0,2584.0,183424.0,10.0,0.0
2622.0,2.175634592,9.849437138124476E-8,2622.0,93.5,0.0,2622.0,183440.0,10.0,0.0
2660.0,2.196992468,9.950802041365872E-8,2660.0,93.60000000000001,0.0,2660.0,183456.0,10.0,0.0
2698.0,2.219018618,1.0055347703359196E-7,2698.0,93.7,0.0,2698.0,183472.0,10.0,0.0
2736.0,2.240347606,1.0156584332098566E-7,2736.0,93.7,0.0,2736.0,183472.0,10.0,0.0
2774.0,2.262240391,1.026051510972654E-7,2774.0,93.60000000000001,0.0,2774.0,183504.0,10.0,0.0
2812.0,2.284521763,1.0366299834230297E-7,2812.0,93.7,0.0,2812.0,183520.0,10.0,0.0
2850.0,2.306973969,1.0472900269856058E-7,2850.0,93.8,0.0,2850.0,183528.0,10.0,0.0
2888.0,2.328623853,1.0575691374910378E-7,2888.0,93.7,0.0,2888.0,183528.0,10.0,0.0
2926.0,2.349679415,1.0675660708950214E-7,2926.0,94.1,0.0,2926.0,183528.0,10.0,0.0
2964.0,2.371230179,1.0777985664051028E-7,2964.0,94.1,0.0,2964.0,183536.0,10.0,0.0
3002.0,2.3931943,1.08829687683394E-7,3002.0,94.1,0.0,3002.0,184760.0,10.0,0.0
3040.0,2.415347258,1.0988863636689677E-7,3040.0,94.0,0.0,3040.0,184776.0,10.0,0.0
3078.0,2.43720451,1.109334498058239E-7,3078.0,94.0,0.0,3078.0,184776.0,10.0,0.0
3116.0,2.459350212,1.1199214330605544E-7,3116.0,94.0,0.0,3116.0,184792.0,10.0,0.0
3154.0,2.480251714,1.1299135680186047E-7,3154.0,94.1,0.0,3154.0,184792.0,10.0,0.0
3192.0,2.5013862,1.1400192698969405E-7,3192.0,93.89999999999999,0.0,3192.0,184832.0,10.0,0.0
3230.0,2.522735664,1.1497227317828895E-7,3230.0,93.89999999999999,0.0,3230.0,175688.0,10.0,0.0
3268.0,2.585876116,1.180935963094628E-7,3268.0,93.60000000000001,0.0,3268.0,191088.0,10.0,0.0
3306.0,2.608209531,1.1919777846119887E-7,3306.0,93.4,0.0,3306.0,191112.0,10.0,0.0
3344.0,2.671270816,1.224339539197874E-7,3344.0,93.4,0.0,3344.0,198368.0,10.0,0.0
3382.0,2.695340447,1.2361147252261642E-7,3382.0,93.60000000000001,0.0,3382.0,189104.0,10.0,0.0
3420.0,2.818671385,1.3063687484650151E-7,3420.0,93.89999999999999,0.0,3420.0,220192.0,10.0,0.0
3458.0,2.903691063,1.3561681586102483E-7,3458.0,94.19999999999999,0.0,3458.0,226416.0,10.0,0.0
3496.0,2.986240908,1.412624097542734E-7,3496.0,94.19999999999999,0.0,3496.0,264360.0,10.0,0.0
3534.0,3.018875108,1.4350736938889866E-7,3534.0,94.39999999999999,0.0,3534.0,265912.0,10.0,0.0
3572.0,3.06835595,1.4700514304480002E-7,3572.0,94.5,0.0,3572.0,273248.0,10.0,0.0
3610.0,3.100981374,1.4932755412351138E-7,3610.0,94.6,0.0,3610.0,275160.0,10.0,0.0
3648.0,3.132693869,1.5158609493336955E-7,3648.0,94.6,0.0,3648.0,275296.0,10.0,0.0
3686.0,3.164720521,1.5386800401422097E-7,3686.0,94.8,0.0,3686.0,275416.0,10.0,0.0
3724.0,3.1973297,1.5619378041301962E-7,3724.0,94.39999999999999,0.0,3724.0,275696.0,10.0,1.0
3762.0,3.229524574,1.5849034059237485E-7,3762.0,94.3,6.194457244421189,3762.0,275736.0,10.0,1.0
3772.0,3.259120326,1.6060180359884477E-7,3772.0,94.3,6.194457244421189,3772.0,275776.0,10.0,1.0
