learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
38.0,0.016353579,3.340208512855073E-10,38.0,94.73684210526315,0.0,38.0,78952.0,10.0,0.0
76.0,0.04771244,9.879580690359903E-10,76.0,89.47368421052632,0.0,76.0,80608.0,10.0,0.0
114.0,0.060981275,1.2650146892128718E-9,114.0,90.35087719298247,31.0231023102311,114.0,80712.0,10.0,0.0
152.0,0.071882482,1.4929053742210897E-9,152.0,90.13157894736842,29.716399506781677,152.0,80808.0,10.0,0.0
190.0,0.080110012,1.6650218020896942E-9,190.0,91.05263157894737,32.2851153039833,190.0,80864.0,10.0,0.0
228.0,0.088378417,1.8382671149840782E-9,228.0,92.10526315789474,31.5315315315315,228.0,80992.0,10.0,0.0
266.0,0.095653618,1.990973156382226E-9,266.0,91.35338345864662,25.698324022346352,266.0,81136.0,10.0,0.0
304.0,0.102337241,2.1313311726517148E-9,304.0,92.43421052631578,33.81294964028775,304.0,81176.0,10.0,0.0
342.0,0.108481788,2.260444737728685E-9,342.0,92.39766081871345,34.045393858477865,342.0,81224.0,10.0,0.0
380.0,0.113927041,2.375078363962885E-9,380.0,92.36842105263158,36.73938002296212,380.0,81376.0,10.0,0.0
418.0,0.119643916,2.495477511234995E-9,418.0,93.0622009569378,43.56085296582551,418.0,81408.0,10.0,0.0
456.0,0.12486354,2.605404399382985E-9,456.0,93.42105263157895,42.92866082603254,456.0,81408.0,10.0,0.0
494.0,0.130206401,2.717926696685867E-9,494.0,93.31983805668015,42.36724881566848,494.0,81408.0,10.0,0.0
532.0,0.135708516,2.833825706667784E-9,532.0,93.42105263157895,45.7964601769912,532.0,81424.0,10.0,0.0
570.0,0.141068699,2.9468459322075874E-9,570.0,93.15789473684211,44.37215354586854,570.0,81504.0,10.0,0.0
608.0,0.14671729,3.0659472816954883E-9,608.0,93.42105263157895,46.50006599498438,608.0,81504.0,10.0,0.0
646.0,0.152796848,3.194148214333173E-9,646.0,93.18885448916409,48.55384615384611,646.0,81512.0,10.0,0.0
684.0,0.158175,3.307692017313093E-9,684.0,92.98245614035088,49.22677223803048,684.0,81608.0,10.0,0.0
722.0,0.163099166,3.4116512460861766E-9,722.0,93.07479224376732,49.18498916134114,722.0,81608.0,10.0,0.0
760.0,0.16770338,3.5088556328891876E-9,760.0,92.76315789473685,48.3746665349274,760.0,81608.0,10.0,0.0
798.0,0.172221741,3.604312945618811E-9,798.0,92.73182957393483,47.85488958990538,798.0,81664.0,10.0,0.0
836.0,0.177160309,3.708668218103961E-9,836.0,92.82296650717703,48.627611634575956,836.0,81680.0,10.0,0.0
874.0,0.181873103,3.808252733703702E-9,874.0,92.33409610983982,45.60940721888875,874.0,81680.0,10.0,0.0
912.0,0.18678881,3.912124937841047E-9,912.0,92.54385964912281,46.10678531701895,912.0,81680.0,10.0,0.0
950.0,0.191479408,4.011298683122214E-9,950.0,92.63157894736842,47.5427940364439,950.0,81728.0,10.0,0.0
988.0,0.196127936,4.109679144722305E-9,988.0,92.4089068825911,45.727009052822766,988.0,81808.0,10.0,0.0
1026.0,0.20121637,4.217369683693266E-9,1026.0,92.0,43.97366762378324,1026.0,81808.0,10.0,0.0
1064.0,0.205719475,4.31269108303926E-9,1064.0,91.8,43.98907103825138,1064.0,81824.0,10.0,0.0
1102.0,0.210646715,4.417051725902904E-9,1102.0,92.0,45.38727250385705,1102.0,81872.0,10.0,0.0
1140.0,0.21510923,4.511597039898236E-9,1140.0,91.8,45.30999893287804,1140.0,81896.0,10.0,0.0
1178.0,0.219551618,4.605715932125846E-9,1178.0,92.0,46.04001133159768,1178.0,81896.0,10.0,0.0
1216.0,0.224021122,4.700409318945473E-9,1216.0,91.9,46.88245940770668,1216.0,81896.0,10.0,0.0
1254.0,0.228511515,4.795545271686795E-9,1254.0,91.9,48.59753775859885,1254.0,81896.0,10.0,0.0
1292.0,0.232958728,4.889766389036343E-9,1292.0,92.10000000000001,49.30177636307631,1292.0,81896.0,10.0,0.0
1330.0,0.237452861,4.984981579488763E-9,1330.0,91.8,49.30824297424613,1330.0,81896.0,10.0,0.0
1368.0,0.241824083,5.077592709430803E-9,1368.0,92.2,51.284101129209624,1368.0,81896.0,10.0,0.0
1406.0,0.246185789,5.170002228127171E-9,1406.0,92.0,49.012759556920905,1406.0,81896.0,10.0,0.0
1444.0,0.250749139,5.266693332607133E-9,1444.0,91.5,47.804087247003395,1444.0,81904.0,10.0,0.0
1482.0,0.255137829,5.359683632128354E-9,1482.0,91.2,47.85308792680467,1482.0,81904.0,10.0,0.0
1520.0,0.259496257,5.4520327215289896E-9,1520.0,91.3,48.17726947819871,1520.0,81904.0,10.0,0.0
1558.0,0.264529046,5.5586705921776586E-9,1558.0,90.8,45.968168203441586,1558.0,81904.0,10.0,0.0
1596.0,0.268853756,5.6503052435753236E-9,1596.0,90.9,46.3164849686158,1596.0,81904.0,10.0,0.0
1634.0,0.273310532,5.744738191707679E-9,1634.0,91.10000000000001,46.464233295637776,1634.0,81904.0,10.0,0.0
1672.0,0.277696023,5.8376607088227226E-9,1672.0,90.9,45.832043620086225,1672.0,81904.0,10.0,0.0
1710.0,0.282325386,5.935750537897563E-9,1710.0,91.0,46.14648157012928,1710.0,81904.0,10.0,0.0
1748.0,0.286764029,6.029799272722253E-9,1748.0,90.8,45.56019740345812,1748.0,81904.0,10.0,0.0
1786.0,0.291170592,6.123168276509062E-9,1786.0,91.10000000000001,47.06036308263346,1786.0,81904.0,10.0,0.0
1824.0,0.295517793,6.215351457171555E-9,1824.0,90.60000000000001,45.46804659581381,1824.0,81968.0,10.0,0.0
1862.0,0.300032291,6.311082200869503E-9,1862.0,90.7,46.36183269505838,1862.0,81968.0,10.0,0.0
1900.0,0.304478456,6.4053639309874E-9,1900.0,91.2,49.42470603110379,1900.0,81968.0,10.0,0.0
1938.0,0.30896682,6.500540498505449E-9,1938.0,91.0,49.255751014884986,1938.0,81968.0,10.0,0.0
1976.0,0.313395517,6.594451816535243E-9,1976.0,91.3,49.74700214874888,1976.0,81968.0,10.0,0.0
2014.0,0.318824881,6.709582458641379E-9,2014.0,91.60000000000001,52.0684736091298,2014.0,81968.0,10.0,0.0
