learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
38.0,0.020920075,4.68899003850917E-10,38.0,94.73684210526315,0.0,38.0,86640.0,10.0,0.0,0.0,0.0
76.0,0.051892584,1.1898416218099492E-9,76.0,90.78947368421053,20.35928143712583,76.0,89976.0,10.0,0.0,0.0,0.0
114.0,0.069233996,1.593961732447561E-9,114.0,91.22807017543859,40.251572327044,114.0,90080.0,10.0,0.0,0.0,0.0
152.0,0.08074493,1.8624956577623055E-9,152.0,91.44736842105263,43.413516609392886,152.0,90176.0,10.0,0.0,0.0,0.0
190.0,0.090511862,2.094730838075694E-9,190.0,92.10526315789474,44.00785854616897,190.0,91912.0,10.0,0.0,0.0,0.0
228.0,0.099801774,2.3159312031521564E-9,228.0,92.98245614035088,42.910798122065714,228.0,92040.0,10.0,0.0,0.0,0.0
266.0,0.108132615,2.5146056552148528E-9,266.0,92.4812030075188,37.16040633120725,266.0,92184.0,10.0,0.0,0.0,0.0
304.0,0.116659427,2.71804187245667E-9,304.0,93.0921052631579,39.568345323741056,304.0,92224.0,10.0,0.0,0.0,0.0
342.0,0.123562882,2.8858334499680336E-9,342.0,92.39766081871345,39.43604413567629,342.0,93952.0,10.0,0.0,0.0,0.0
380.0,0.130233499,3.048228100602412E-9,380.0,92.36842105263158,41.220396842329876,380.0,94104.0,10.0,0.0,0.0,0.0
418.0,0.137436934,3.223653717098965E-9,418.0,93.0622009569378,47.14397837272174,418.0,94136.0,10.0,0.0,0.0,0.0
456.0,0.143952919,3.382337829013252E-9,456.0,93.2017543859649,45.58891454965354,456.0,94136.0,10.0,0.0,0.0,0.0
494.0,0.151019853,3.554439229760319E-9,494.0,93.11740890688259,44.88778054862843,494.0,94136.0,10.0,0.0,0.0,0.0
532.0,0.157908379,3.722224364535262E-9,532.0,93.23308270676691,46.445948213187116,532.0,94152.0,10.0,0.0,0.0,0.0
570.0,0.164735134,3.888646218255162E-9,570.0,92.98245614035088,46.31757393106042,570.0,94232.0,10.0,0.0,0.0,0.0
