learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
48.0,0.691997538,6.257832137849182E-8,48.0,93.75,0.0,48.0,349560.0,10.0,0.0
96.0,0.880218103,7.959937472017482E-8,96.0,96.875,0.0,96.0,349560.0,10.0,0.0
144.0,0.93376537,8.444173021893948E-8,144.0,97.91666666666666,0.0,144.0,349560.0,10.0,0.0
192.0,0.984490822,8.902890497464687E-8,192.0,98.4375,0.0,192.0,349560.0,10.0,0.0
240.0,1.032064138,9.33310275895521E-8,240.0,98.75,0.0,240.0,349560.0,10.0,0.0
288.0,1.079908656,9.765767538696528E-8,288.0,98.95833333333334,0.0,288.0,349560.0,10.0,0.0
336.0,1.127275086,1.0194108900669962E-7,336.0,99.10714285714286,0.0,336.0,349560.0,10.0,0.0
384.0,1.174309684,1.0619449458681047E-7,384.0,99.21875,0.0,384.0,349560.0,10.0,0.0
432.0,1.221381371,1.104512541779317E-7,432.0,99.30555555555556,0.0,432.0,349560.0,10.0,0.0
480.0,1.268413139,1.1470440383711829E-7,480.0,99.375,0.0,480.0,349560.0,10.0,0.0
528.0,1.313660207,1.1879616053747013E-7,528.0,99.43181818181817,0.0,528.0,349560.0,10.0,0.0
576.0,1.356473809,1.2266785544706508E-7,576.0,99.47916666666666,0.0,576.0,349560.0,10.0,0.0
624.0,1.399184851,1.265302757100202E-7,624.0,99.51923076923077,0.0,624.0,349560.0,10.0,0.0
672.0,1.442752967,1.3047020239355043E-7,672.0,99.55357142857143,0.0,672.0,349560.0,10.0,0.0
720.0,1.485405599,1.3432734055714682E-7,720.0,99.58333333333333,0.0,720.0,349560.0,10.0,0.0
768.0,1.527949219,1.3817462061056867E-7,768.0,99.609375,0.0,768.0,349560.0,10.0,0.0
816.0,1.570847151,1.4205394160198047E-7,816.0,99.63235294117648,0.0,816.0,349560.0,10.0,0.0
864.0,1.613792035,1.4593750852951778E-7,864.0,99.65277777777779,0.0,864.0,349560.0,10.0,0.0
912.0,1.656559831,1.4980506113739684E-7,912.0,99.67105263157895,0.0,912.0,349560.0,10.0,0.0
960.0,1.699230405,1.5366382182156667E-7,960.0,99.6875,0.0,960.0,349560.0,10.0,0.0
1008.0,1.742602069,1.5758598307138308E-7,1008.0,100.0,?,1008.0,349560.0,10.0,0.0
1056.0,1.784511433,1.6137590645281596E-7,1056.0,100.0,?,1056.0,349560.0,10.0,0.0
1104.0,1.826609363,1.6518288212576878E-7,1104.0,100.0,?,1104.0,349560.0,10.0,0.0
1152.0,1.870699521,1.691700178097002E-7,1152.0,100.0,?,1152.0,349560.0,10.0,0.0
1200.0,1.912555335,1.7295509858848523E-7,1200.0,100.0,?,1200.0,349560.0,10.0,0.0
1248.0,1.954168763,1.7671826005661857E-7,1248.0,100.0,?,1248.0,349560.0,10.0,0.0
1296.0,1.996291327,1.8052746341722082E-7,1296.0,100.0,?,1296.0,349560.0,10.0,0.0
1344.0,2.03819983,1.8431730893719937E-7,1344.0,100.0,?,1344.0,349560.0,10.0,0.0
1392.0,2.080828282,1.8817226046901193E-7,1392.0,100.0,?,1392.0,349560.0,10.0,0.0
1440.0,2.122716916,1.9196030920706685E-7,1440.0,100.0,?,1440.0,349560.0,10.0,0.0
1488.0,2.16444291,1.9573365017864849E-7,1488.0,100.0,?,1488.0,349560.0,10.0,0.0
1536.0,2.20627142,1.9951626181788738E-7,1536.0,100.0,?,1536.0,349560.0,10.0,0.0
1584.0,2.248447764,2.0333032858036454E-7,1584.0,100.0,?,1584.0,349560.0,10.0,0.0
1632.0,2.290400016,2.0712413038462397E-7,1632.0,100.0,?,1632.0,349560.0,10.0,0.0
1680.0,2.332777402,2.1095637766104187E-7,1680.0,100.0,?,1680.0,349560.0,10.0,0.0
1728.0,2.37414733,2.1469751907791936E-7,1728.0,100.0,?,1728.0,349560.0,10.0,0.0
1776.0,2.415631644,2.184490045834332E-7,1776.0,100.0,?,1776.0,349560.0,10.0,0.0
1824.0,2.476965661,2.2435729807003705E-7,1824.0,98.9,0.0,1824.0,372360.0,10.0,0.0
1872.0,2.536616277,2.301034298778511E-7,1872.0,94.1,0.0,1872.0,372360.0,10.0,0.0
1920.0,2.597879171,2.360048721002104E-7,1920.0,89.3,0.0,1920.0,372360.0,10.0,0.0
1968.0,2.676550337,2.4358324965309967E-7,1968.0,88.0,33.01702483951997,1968.0,372360.0,10.0,0.0
2016.0,2.771949693,2.5277305037463077E-7,2016.0,87.2,48.29327408604321,2016.0,372360.0,10.0,0.0
2064.0,2.840223799,2.5934988123479605E-7,2064.0,86.4,55.88282998669995,2064.0,372360.0,10.0,0.0
2112.0,2.907860369,2.658652983806716E-7,2112.0,85.0,58.20539540482253,2112.0,372360.0,10.0,0.0
2160.0,2.977902781,2.726124698011514E-7,2160.0,84.39999999999999,61.52385274487846,2160.0,372360.0,10.0,0.0
2208.0,3.052309106,2.797800160807246E-7,2208.0,83.6,63.02225428964397,2208.0,372360.0,10.0,0.0
2256.0,3.118129344,2.8612046633139245E-7,2256.0,82.69999999999999,63.485161889484566,2256.0,372360.0,10.0,0.0
2304.0,3.182446954,2.9231616872989876E-7,2304.0,81.8,63.34798071539907,2304.0,372360.0,10.0,0.0
2352.0,3.304937557,3.049709972815525E-7,2352.0,80.60000000000001,62.116034290847324,2352.0,399352.0,10.0,0.0
2400.0,3.486214538,3.249650321241053E-7,2400.0,80.0,61.51344527789219,2400.0,426344.0,10.0,0.0
2448.0,3.591224192,3.365471241762695E-7,2448.0,79.3,60.149391652548914,2448.0,426344.0,10.0,0.0
2496.0,3.657772652,3.43887119693727E-7,2496.0,78.4,57.818926022988684,2496.0,426344.0,10.0,0.0
2544.0,3.721038036,3.5086500670974855E-7,2544.0,77.9,55.38778311599177,2544.0,426344.0,10.0,0.0
2592.0,3.778306602,3.571814716997907E-7,2592.0,77.3,51.803033648701444,2592.0,426344.0,10.0,0.0
2640.0,3.840178786,3.6400569502840423E-7,2640.0,76.7,46.86721821382639,2640.0,426344.0,10.0,0.0
2688.0,3.90115632,3.7073124248999256E-7,2688.0,75.7,39.40149625935161,2688.0,426344.0,10.0,0.0
2736.0,3.960827732,3.7731273057552245E-7,2736.0,75.1,29.420968491706255,2736.0,426344.0,10.0,0.0
2784.0,4.021038666,3.839537255085672E-7,2784.0,74.4,13.940901603523079,2784.0,426344.0,10.0,0.0
2832.0,4.08292391,3.9077938929638087E-7,2832.0,75.0,0.0,2832.0,426344.0,10.0,0.0
2880.0,4.142894652,3.9739389213323995E-7,2880.0,79.3,0.0,2880.0,426344.0,10.0,0.0
2928.0,4.205263126,4.0427285401441145E-7,2928.0,82.1,0.0,2928.0,426344.0,10.0,0.0
2976.0,4.264875476,4.1084782782725564E-7,2976.0,82.8,0.0,2976.0,426344.0,10.0,0.0
3024.0,4.324832412,4.1746080792447335E-7,3024.0,82.89999999999999,0.0,3024.0,426344.0,10.0,0.0
3072.0,4.386627416,4.2427651864657377E-7,3072.0,83.0,0.0,3072.0,426344.0,10.0,0.0
3120.0,4.452703162,4.3156437593812734E-7,3120.0,83.89999999999999,0.0,3120.0,426344.0,10.0,0.0
3168.0,4.520902348,4.390864391013358E-7,3168.0,83.8,0.0,3168.0,426344.0,10.0,0.0
3216.0,4.588672184,4.46561146892603E-7,3216.0,83.89999999999999,0.0,3216.0,426344.0,10.0,0.0
3264.0,4.656822998,4.5407787484199624E-7,3264.0,84.1,0.0,3264.0,426344.0,10.0,0.0
3312.0,4.72092488,4.611480238212602E-7,3312.0,83.2,0.0,3312.0,426344.0,10.0,0.0
3360.0,4.850378217,4.772337825302571E-7,3360.0,82.89999999999999,0.0,3360.0,480320.0,10.0,0.0
3408.0,4.955551179,4.910075050265506E-7,3408.0,83.0,0.0,3408.0,506232.0,10.0,0.0
3456.0,5.045635255,5.034341916397047E-7,3456.0,83.7,0.0,3456.0,533224.0,10.0,0.0
3504.0,5.177938949,5.234956300143482E-7,3504.0,84.7,0.0,3504.0,586128.0,10.0,0.0
3552.0,5.250078669,5.344343007603368E-7,3552.0,85.2,0.0,3552.0,586128.0,10.0,0.0
3600.0,5.345674293,5.503181088408909E-7,3600.0,85.9,0.0,3600.0,642272.0,10.0,0.0
3648.0,5.422433535,5.630721347818356E-7,3648.0,86.6,0.0,3648.0,642272.0,10.0,0.0
3696.0,5.501408001,5.761942339817764E-7,3696.0,87.6,0.0,3696.0,642272.0,10.0,0.0
3744.0,5.577187599,5.88785485973118E-7,3744.0,87.9,0.0,3744.0,642272.0,10.0,0.0
3792.0,5.65393734,6.015379332637621E-7,3792.0,88.8,0.0,3792.0,642272.0,10.0,0.0
3840.0,5.731926307,6.144962856693979E-7,3840.0,90.10000000000001,0.0,3840.0,642272.0,10.0,0.0
3888.0,5.808423405,6.272067547527038E-7,3888.0,90.60000000000001,0.0,3888.0,642272.0,10.0,0.0
3936.0,5.880434161,6.391717901819364E-7,3936.0,91.9,0.0,3936.0,642272.0,10.0,0.0
3984.0,5.973384935,6.552977120292311E-7,3984.0,92.5,0.0,3984.0,670616.0,10.0,0.0
4032.0,6.046313927,6.679500781665369E-7,4032.0,93.30000000000001,0.0,4032.0,670616.0,10.0,0.0
4080.0,6.153973771,6.866505864578029E-7,4080.0,93.89999999999999,0.0,4080.0,671432.0,10.0,0.0
4128.0,6.249075093,7.031830641612327E-7,4128.0,94.39999999999999,0.0,4128.0,671976.0,10.0,0.0
4176.0,6.409328371,7.380469474390107E-7,4176.0,94.8,0.0,4176.0,840952.0,10.0,0.0
4224.0,6.496223749,7.569514613046827E-7,4224.0,95.6,0.0,4224.0,840952.0,10.0,0.0
4272.0,6.613242501,7.841173345511405E-7,4272.0,96.8,0.0,4272.0,897368.0,10.0,0.0
4320.0,6.728788947,8.117886697177588E-7,4320.0,98.7,0.0,4320.0,925712.0,10.0,0.0
4368.0,6.824147851,8.346254447554382E-7,4368.0,99.6,0.0,4368.0,925712.0,10.0,0.0
4416.0,6.919110303,8.573672765339413E-7,4416.0,100.0,?,4416.0,925712.0,10.0,0.0
4464.0,7.012737167,8.797892585509684E-7,4464.0,100.0,?,4464.0,925712.0,10.0,0.0
4512.0,7.106282455,9.021917045552862E-7,4512.0,100.0,?,4512.0,925712.0,10.0,0.0
4560.0,7.200516383,9.247590676895445E-7,4560.0,100.0,?,4560.0,925712.0,10.0,0.0
4601.0,7.292914808,9.468868602401059E-7,4601.0,100.0,?,4601.0,925712.0,10.0,0.0
